代码	名称						
880201	黑龙江						
880202	新疆板块						
880203	吉林板块						
880204	甘肃板块						
880205	辽宁板块						
880206	青海板块						
880207	北京板块						
880208	陕西板块						
880209	天津板块						
880210	广西板块						
880211	河北板块						
880212	广东板块						
880213	河南板块						
880214	宁夏板块						
880215	山东板块						
880216	上海板块						
880217	山西板块						
880218	深圳板块						
880219	湖北板块						
880220	福建板块						
880221	湖南板块						
880222	江西板块						
880223	四川板块						
880224	安徽板块						
880225	重庆板块						
880226	江苏板块						
880227	云南板块						
880228	浙江板块						
880229	贵州板块						
880230	海南板块						
880231	西藏板块						
880232	内蒙板块						
