代码	名称
880601	种植业
880602	渔业
880603	林业
880604	饲料
880605	农产加工
880606	农业综合
880607	畜禽养殖
880608	动物保健
880609	石油开采
880610	煤炭开采
880612	采掘服务
880613	石油化工
880614	化学原料
880615	化学制品
880616	化学纤维
880617	塑料
880618	橡胶
880619	化工新材
880620	钢铁
880621	有色金属
880622	金属新材
880623	建筑材料
880624	建筑装饰
880625	通用机械
880626	专用设备
880627	仪器仪表
880628	电气设备
880629	金属制品
880630	半导体
880631	元件
880632	光学光电
880633	其他电子
880634	电子制造
880635	汽车整车
880636	汽车部件
880637	其它交运
880638	交运服务
880639	通信设备
880640	电脑设备
880641	白色家电
880642	视听器材
880643	食品加工
880644	饮料制造
880645	纺织制造
880646	服装家纺
880647	造纸
880648	包装印刷
880649	家用轻工
880650	其他轻工
880651	化学制药
880652	中药
880653	生物制品
880654	医药商业
880655	医疗器械
880656	医疗服务
880657	电力
880658	水务
880659	燃气
880660	环保工程
880661	港口
880662	高速公路
880663	公交
880664	航空运输
880665	机场
880666	航运
880667	铁路运输
880668	物流
880669	房产开发
880670	园区开发
880671	银行
880672	多元金融
880673	证券
880674	保险
880675	零售
880676	贸易
880677	景点
880678	酒店
880679	旅游综合
880680	餐饮
880681	通信运营
880682	网络服务
880683	电脑应用
880684	传媒
880685	综合
