代码	名称	  通达信行业	通达信细分行业
880301	煤炭	     	1	        0
880302	煤炭开采	0		2
880303	焦炭加工	0		2
880305	电力	     	1		0
880306	水力发电	0		2
880307	火力发电	0		2
880308	新型电力	0		2
880310	石油	    	1		0
880311	石油开采	0		2
880312	石油加工	0		2
880313	石油贸易	0		2
880318	钢铁	     	1		0
880319	普钢		0      	 	2
880320	特种钢		0        	2
880321	钢加工		0        	2
880324	有色	     	1		0
880325	铜		0        	2
880326	铝		0        	2
880327	铅锌		0       	2
880328	黄金		0        	2
880329	小金属		0        	2
880330	化纤	     	1		0
880335	化工	     	1		0
880336	化工原料	0		2
880337	农药化肥	0		2
880338	塑料		0        	2
880339	橡胶		0        	2
880340	染料涂料	0		2
880344	建材	    	1		0
880345	陶瓷		0		2
880346	水泥		0		2
880347	玻璃		0		2
880348	其他建材	0		2
880350	造纸	        1		0
880351	矿物制品	1		0
880355	日用化工	1		0
880360	农林牧渔	1		0
880361	种植业		0		2
880362	渔业		0		2
880363	林业		0		2
880364	饲料		0		2
880366	农业综合	0		2
880367	纺织服饰	1		0
880368	纺织		0		2
880369	服饰		0		2
880372	食品饮料	1		0
880373	乳制品		0		2
880374	软饮料		0		2
880375	食品		0		2
880380	酿酒		1		0
880381	白酒		0		2
880382	啤酒		0		2
880383	红黄药酒	0		2
880387	家用电器	1		0
880390	汽车类		1		0
880391	汽车整车	0		2
880392	汽车配件	0		2
880393	汽车服务	0		2
880394	摩托车		0		2
880398	医疗保健	1		0	
880399	家居用品	1		0	
880400	医药		1		0	
880401	化学制药	0		2
880402	生物制药	0		2
880403	中成药		0		2
880406	商业连锁	1		0	
880407	百货		0		2
880408	超市连锁	0		2
880409	电器连锁	0		2
880410	医药商业	0		2
880411	其他商业	0		2
880412	商品城		0		2
880413	批发业		0		2
880414	商贸代理	1		0	
880418	传媒娱乐	1		0	
880419	出版业		0		2
880420	影视音像	0		2
880421	广告包装	1		0	
880422	文教休闲	1		0	
880423	酒店餐饮	1		0	
880424	旅游		1		0	
880425	旅游服务	0		2
880426	旅游景点	0		2
880430	航空		1		0	
880431	船舶		1		0	
880432	运输设备	1		0	
880437	通用机械	1		0	
880438	机床制造	0		2
880439	机械基件	0		2
880440	工业机械	1		0	
880441	化工机械	0		2
880442	轻工机械	0		2
880443	纺织机械	0		2
880444	农用机械	0		2
880445	专用机械	0		2
880446	电气设备	1		0	
880447	工程机械	1		0	
880448	电器仪表	1		0	
880452	电信运营	1		0	
880453	公共交通	1		0	
880454	水务		1		0	
880455	供气供热	1		0	
880456	环境保护	1		0	
880459	运输服务	1		0	
880460	铁路		0		2
880461	水运		0		2
880462	空运		0		2
880463	公路		0		2
880464	仓储物流	1		0	
880465	交通设施	1		0	
880466	路桥		0		2
880467	机场		0		2
880468	港口		0		2
880471	银行		1		0	
880472	证券		1		0	
880473	保险		1		0	
880474	多元金融	1		0	
880476	建筑		1		0	
880477	建筑施工	0		2
880478	装修装饰	0		2
880482	房地产		1		0	
880483	全国地产	0		2
880484	区域地产	0		2
880485	园区开发	0		2
880486	房产服务	0		2
880489	电脑设备	1		0
880490	通信设备	1		0
880491	半导体		1		0	
880492	元器件		1		0	
880493	软件服务	1		0	
880494	互联网		1		0	
880497	综合类		1		0	
