代码,名称,通达信行业,通达信细分行业
880301,煤炭,10,0
880302,煤炭开采,02,880301
880303,焦炭加工,02,880301
880305,电力,10,0
880306,水力发电,02,880305
880307,火力发电,02,880305
880308,新型电力,02,880305
880310,石油,10,0
880311,石油开采,02,880310
880312,石油加工,02,880310
880313,石油贸易,02,880310
880318,钢铁,10,0
880319,普钢,02,880318
880320,特种钢,02,880318
880321,钢加工,02,880318
880324,有色,10,0
880325,铜,02,880324
880326,铝,02,880324
880327,铅锌,02,880324
880328,黄金,02,880324
880329,小金属,02,880324
880330,化纤,11,1
880335,化工,10,0
880336,化工原料,02,880335
880337,农药化肥,02,880335
880338,塑料,02,880335
880339,橡胶,02,880335
880340,染料涂料,02,880335
880344,建材,10,0
880345,陶瓷,02,880344
880346,水泥,02,880344
880347,玻璃,02,880344
880348,其他建材,02,880344
880350,造纸,11,1
880351,矿物制品,11,1
880355,日用化工,11,1
880360,农林牧渔,10,0
880361,种植业,02,880360
880362,渔业,02,880360
880363,林业,02,880360
880364,饲料,02,880360
880366,农业综合,02,880360
880367,纺织服饰,10,0
880368,纺织,02,880367
880369,服饰,02,880367
880372,食品饮料,10,0
880373,乳制品,02,880372
880374,软饮料,02,880372
880375,食品,02,880372
880380,酿酒,10,0
880381,白酒,02,880380
880382,啤酒,02,880380
880383,红黄药酒,02,880380
880387,家用电器,11,1
880390,汽车类,10,0
880391,汽车整车,02,880390
880392,汽车配件,02,880390
880393,汽车服务,02,880390
880394,摩托车,02,880390
880398,医疗保健,11,1
880399,家居用品,11,1
880400,医药,10,0
880401,化学制药,02,880400
880402,生物制药,02,880400
880403,中成药,02,880400
880406,商业连锁,10,0
880407,百货,02,880406
880408,超市连锁,02,880406
880409,电器连锁,02,880406
880410,医药商业,02,880406
880411,其他商业,02,880406
880412,商品城,02,880406
880413,批发业,02,880406
880414,商贸代理,11,1
880418,传媒娱乐,10,0
880419,出版业,02,880418
880420,影视音像,02,880418
880421,广告包装,11,1
880422,文教休闲,11,1
880423,酒店餐饮,11,1
880424,旅游,10,0
880425,旅游服务,02,880424
880426,旅游景点,02,880424
880430,航空,11,1
880431,船舶,11,1
880432,运输设备,11,1
880437,通用机械,10,0
880438,机床制造,02,880437
880439,机械基件,02,880437
880440,工业机械,10,0
880441,化工机械,02,880440
880442,轻工机械,02,880440
880443,纺织机械,02,880440
880444,农用机械,02,880440
880445,专用机械,02,880440
880446,电气设备,11,1
880447,工程机械,11,1
880448,电器仪表,11,1
880452,电信运营,11,1
880453,公共交通,11,1
880454,水务,11,1
880455,供气供热,11,1
880456,环境保护,11,1
880459,运输服务,10,0
880460,铁路,02,880459
880461,水运,02,880459
880462,空运,02,880459
880463,公路,02,880459
880464,仓储物流,11,1
880465,交通设施,10,0
880466,路桥,02,880465
880467,机场,02,880465
880468,港口,02,880465
880471,银行,11,1
880472,证券,11,1
880473,保险,11,1
880474,多元金融,11,1
880476,建筑,10,0
880477,建筑施工,02,880476
880478,装修装饰,02,880476
880482,房地产,10,0
880483,全国地产,02,880482
880484,区域地产,02,880482
880485,园区开发,02,880482
880486,房产服务,02,880482
880489,电脑设备,11,1
880490,通信设备,11,1
880491,半导体,11,1
880492,元器件,11,1
880493,软件服务,11,1
880494,互联网,11,1
880497,综合类,11,1
