代码	名称						
880851	已高送转						
880565	送转潜力						
880837	活跃股						
880824	高市盈率						
880870	两年新股						
880873	个人持股						
880836	配股股						
880827	高市净率						
880843	业绩预降						
880859	员工持股						
880852	参股新股						
880866	近期新低						
880877	户数减少						
880876	户数增加						
880828	中市净率						
880868	高贝塔值						
880562	高校背景						
880867	昨高换手						
880854	预高送转						
880825	中市盈率						
880842	业绩预升						
880871	股权分散						
880538	参股金融						
880823	小盘股						
880809	基金独门						
880808	高管减持						
880850	定增预案						
880848	被举牌						
880807	高管增持						
880804	信托重仓						
880862	梧桐持股						
880858	国开持股						
880855	定增获准						
880861	连续亏损						
880539	股权激励						
880511	承诺注资						
880532	整体上市						
880853	中字头						
880833	亏损股						
880845	高股息股						
880821	大盘股						
880869	股权转让						
880840	价值发现						
880874	昨曾涨停						
880844	预计扭亏						
880803	券商重仓						
880834	微利股						
880857	证金持股						
880806	社保重仓						
880847	行业龙头						
880805	保险重仓						
880841	价值稳健						
880826	低市盈率						
880875	中小银行						
880801	基金重仓						
880835	绩优股						
880822	中盘股						
880860	扣非亏损						
880829	低市净率						
880849	股份回购						
880856	定增实施						
880802	QFII重仓						
880839	价值优势						
880872	最近复牌						
880543	外资背景						
880846	破净资产						
880865	近期新高						
880864	昨日振荡						
880512	出口退税						
880863	昨日涨停						
