代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000928	中钢国际	3.55	19.81	0.68	19.80	19.81	139295	858	-0.15	          3.37	19.00	19.88	18.90	19.13	    28.13	271801728	  1.15	建筑施工	吉林	5.12	19.51	60472	78822	  0.77	732	507	--  	          4.13	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	0	--  	0	0	--  	          2.06	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002171	楚江新材	0.60	16.83	0.10	16.83	16.84	41088	696	0.17	          1.20	16.53	16.83	16.44	16.73	    46.53	68478592	  0.80	铜	安徽	2.33	16.67	22927	18161	  1.26	191	104	--  	          3.43	
002222	福晶科技	2.32	15.86	0.36	15.85	15.86	200032	5468	0.31	          4.77	15.32	15.86	15.09	15.50	    97.41	311164448	  0.66	元器件	福建	4.97	15.56	87599	112433	  0.78	320	411	--  	          4.20	
002309	中利集团	0.49	14.23	0.07	14.22	14.23	51514	523	-0.07	          1.42	14.17	14.25	14.01	14.16	--  	72849256	  1.20	电气设备	江苏	1.69	14.14	26562	24951	  1.06	154	1095	--  	          3.63	
002339	积成电子	1.67	18.91	0.31	18.90	18.91	62722	732	0.05	          2.12	18.62	18.92	18.42	18.60	    67.47	117444640	  1.08	电气设备	山东	2.69	18.72	25061	37660	  0.67	102	482	--  	          2.96	
002348	高乐股份	1.52	8.04	0.12	8.04	8.05	149913	3112	0.00	          2.03	7.86	8.16	7.86	7.92	   151.15	120517320	  1.15	文教休闲	广东	3.79	8.04	68946	80966	  0.85	203	2908	--  	          7.39	
002361	神剑股份	1.11	8.21	0.09	8.21	8.22	176832	3711	0.00	          3.06	8.12	8.28	8.05	8.12	    49.35	144625152	  0.92	化工原料	安徽	2.83	8.18	89462	87370	  1.02	55	1004	--  	          5.77	
002375	亚厦股份	1.18	11.15	0.13	11.15	11.16	66431	723	0.00	          0.59	10.98	11.20	10.95	11.02	    41.91	73916624	  0.92	装修装饰	浙江	2.27	11.13	23348	43083	  0.54	184	1115	--  	         11.32	
002526	山东矿机	--  	10.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.12	   505.65	0	  0.00	工程机械	山东	0.00	10.12	0	0	--  	0	0	--  	          4.59	
002529	海源机械	1.27	19.95	0.25	19.95	19.97	33603	439	0.05	          1.68	20.60	20.60	19.89	19.70	--  	67425824	  2.06	专用机械	福建	3.60	20.07	16597	17005	  0.98	329	15	--  	          2.00	
002540	亚太科技	1.15	7.90	0.09	7.90	7.91	39328	189	-0.25	          0.56	7.84	7.93	7.77	7.81	    30.72	30964988	  0.94	铝	江苏	2.05	7.87	11845	27482	  0.43	310	1	--  	          7.05	
002545	东方铁塔	-0.84	11.84	-0.10	11.84	11.85	45307	1229	-0.08	          1.61	11.83	11.93	11.76	11.94	   145.36	53700660	  0.54	钢加工	山东	1.42	11.85	25886	19420	  1.33	333	857	--  	          2.81	
002576	通达动力	--  	24.67	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.67	   972.54	0	  0.00	电气设备	江苏	0.00	24.67	0	0	--  	0	0	--  	          1.19	
002690	美亚光电	0.62	19.39	0.12	19.38	19.39	35117	356	0.10	          1.08	19.29	19.51	19.17	19.27	    45.16	67810200	  0.97	专用机械	安徽	1.76	19.31	18482	16635	  1.11	37	420	--  	          3.26	
002698	博实股份	1.53	15.88	0.24	15.87	15.88	38350	252	0.12	          0.74	15.56	16.05	15.56	15.64	   116.11	60728504	  1.14	化工机械	黑龙江	3.13	15.84	18378	19971	  0.92	170	98	--  	          5.21	
002730	电光科技	0.16	18.61	0.03	18.60	18.61	42504	1297	0.00	          4.14	18.53	18.79	18.05	18.58	   161.50	78441328	  0.86	电气设备	浙江	3.98	18.45	20849	21655	  0.96	353	19	--  	          1.03	
300004	南风股份	0.68	14.86	0.10	14.86	14.87	21730	408	-0.06	          0.57	14.88	14.92	14.72	14.76	   259.74	32271886	  0.65	电气设备	广东	1.36	14.85	10835	10894	  0.99	111	190	--  	          3.83	
300024	机器人	1.62	22.55	0.36	22.55	22.56	278703	2368	0.04	          1.84	22.38	22.88	22.30	22.19	    85.65	631489984	  0.60	专用机械	辽宁	2.61	22.66	132967	145736	  0.91	1372	850	--  	         15.14	
300043	星辉娱乐	0.30	9.95	0.03	9.95	9.96	83399	1905	0.00	          1.06	9.91	9.98	9.78	9.92	    25.02	82436928	  1.12	文教休闲	广东	2.02	9.88	43475	39923	  1.09	78	593	--  	          7.89	
300161	华中数控	-0.42	26.09	-0.11	26.08	26.09	35311	826	-0.22	          2.19	26.28	26.59	26.09	26.20	--  	92975992	  0.69	机床制造	湖北	1.91	26.33	18287	17023	  1.07	49	20	--  	          1.61	
300177	中海达	1.10	13.75	0.15	13.75	13.76	34844	762	0.07	          1.11	13.58	13.77	13.50	13.60	   214.38	47695292	  0.57	通信设备	广东	1.99	13.69	15819	19024	  0.83	52	305	--  	          3.13	
300210	森远股份	0.21	18.84	0.04	18.83	18.84	20435	204	0.00	          2.06	18.90	19.00	18.62	18.80	    74.67	38495760	  1.12	专用机械	辽宁	2.02	18.84	10540	9895	  1.07	80	195	--  	          0.99	
300220	金运激光	1.62	28.21	0.45	28.21	28.23	11025	344	0.32	          1.91	27.81	28.21	27.48	27.76	   360.12	30688960	  0.74	元器件	湖北	2.63	27.84	4780	6244	  0.77	106	3	--  	          0.58	
300221	银禧科技	-0.90	18.73	-0.17	18.73	18.74	64276	966	0.16	          1.61	18.71	18.87	18.40	18.90	    61.28	119303984	  0.88	塑料	广东	2.49	18.56	34582	29693	  1.16	94	91	--  	          4.00	
300227	光韵达	1.22	24.15	0.29	24.15	24.16	44805	354	0.04	          4.45	24.25	24.44	23.84	23.86	   223.50	108123976	  1.52	元器件	深圳	2.51	24.13	22899	21906	  1.05	140	174	--  	          1.01	
300331	苏大维格	0.80	26.49	0.21	26.48	26.49	47165	1502	-0.03	          3.64	26.20	26.60	25.87	26.28	   406.34	123920832	  0.81	元器件	江苏	2.78	26.27	21967	25197	  0.87	102	624	--  	          1.30	
300337	银邦股份	-0.72	9.64	-0.07	9.64	9.65	33341	419	0.10	          0.47	9.70	9.70	9.61	9.71	   574.49	32151074	  0.72	铝	江苏	0.93	9.64	12414	20927	  0.59	480	538	--  	          7.08	
600080	金花股份	-0.08	11.83	-0.01	11.82	11.84	27469	30	-0.08	          0.90	11.75	11.85	11.62	11.84	   106.47	32282664	  0.83	中成药	陕西	1.94	11.75	11378	16091	  0.71	27	19	--  	          3.05	
600288	大恒科技	0.07	13.84	0.01	13.83	13.84	56679	36	0.00	          1.30	13.87	13.89	13.62	13.83	--  	77978968	  0.71	软件服务	北京	1.95	13.76	30162	26517	  1.14	113	306	--  	          4.37	
600456	宝钛股份	1.83	23.38	0.42	23.39	23.40	145097	97	0.73	          3.37	22.78	23.41	22.44	22.96	--  	332005312	  0.73	小金属	陕西	4.22	22.88	72277	72820	  0.99	856	545	--  	          4.30	
600466	蓝光发展	3.42	9.08	0.30	9.06	9.07	409013	10	-0.11	          4.63	8.78	9.21	8.63	8.78	    69.58	367272096	  2.71	区域地产	四川	6.61	8.98	173832	235180	  0.74	1208	169	--  	          8.83	
600687	刚泰控股	0.00	14.08	0.00	14.08	14.09	101190	55	0.28	          0.94	14.08	14.09	13.75	14.08	    47.25	141080000	  0.90	黄金	甘肃	2.41	13.94	51352	49837	  1.03	661	166	--  	         10.79	
600765	中航重机	0.76	15.91	0.12	15.88	15.90	81607	8	-0.18	          1.05	15.79	15.95	15.72	15.79	    85.40	129504056	  0.58	机械基件	贵州	1.46	15.87	39529	42077	  0.94	65	22	--  	          7.78	
600806	*ST昆机	1.43	8.54	0.12	8.54	8.55	72083	1	0.35	          1.85	8.37	8.57	8.26	8.42	--  	60501632	  0.86	机床制造	云南	3.68	8.39	32670	39413	  0.83	149	431	--  	          3.90	
601313	江南嘉捷	0.08	12.06	0.01	12.05	12.08	25459	150	-0.08	          0.64	12.05	12.10	11.85	12.05	    27.57	30534988	  0.86	运输设备	江苏	2.07	11.99	13268	12191	  1.09	154	130	--  	          3.97	
603002	宏昌电子	-0.14	6.90	-0.01	6.88	6.90	65961	86	0.29	          1.09	6.91	6.91	6.79	6.91	   166.89	45250656	  0.38	化工原料	广东	1.74	6.86	34010	31951	  1.06	542	227	--  	          6.06	
数据来源:通达信
