代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
159001	保证金	0.00	100.000	0.000	100.000	100.001	45589	73	0.00	         65.09	99.999	100.000	99.997	100.000	--  	455886432	  0.34			0.00	99.999	36291	9298	  3.90	15	300	--  	--  	
159003	招商快线	0.00	100.000	0.002	99.999	100.000	51228	1460	0.00	         24.61	99.998	100.000	99.997	99.998	--  	512274080	  0.81			0.00	99.998	19982	31246	  0.64	269	8664	--  	--  	
159005	添富快钱	0.00	99.999	0.002	99.999	100.000	12899	1	0.00	        105.97	99.999	100.000	99.996	99.997	--  	128990056	  0.06			0.00	99.998	7060	5839	  1.21	184	257	--  	--  	
159901	深100ETF	1.24	4.171	0.051	4.170	4.171	94401	1264	0.09	          1.03	4.124	4.171	4.108	4.120	--  	39120452	  1.98			1.53	4.144	36140	58260	  0.62	70	4	--  	--  	
159902	中 小 板	1.43	3.273	0.046	3.273	3.274	100994	2717	0.09	          1.64	3.222	3.273	3.211	3.227	--  	32815120	  1.43			1.92	3.249	33090	67903	  0.49	646	159	--  	--  	
159903	深成ETF	1.08	1.127	0.012	1.126	1.127	10450	2131	0.08	          0.23	1.104	1.127	1.104	1.115	--  	1173606	  1.74			2.06	1.123	2950	7499	  0.39	1	124	--  	--  	
159905	深红利	0.47	1.274	0.006	1.274	1.280	4680	90	-0.46	          0.18	1.268	1.280	1.261	1.268	--  	594261	  6.50			1.50	1.270	4208	472	  8.92	20	1566	--  	--  	
159906	深成长	2.80	0.918	0.025	0.909	0.918	520	2	0.00	          0.00	0.926	0.926	0.897	0.893	--  	47858	  2.17			3.25	0.920	11	509	  0.02	195	6	--  	--  	
159907	中小300	0.90	1.463	0.013	1.464	1.466	761	260	0.00	          0.02	1.448	1.465	1.443	1.450	--  	111031	  0.04			1.52	1.459	520	241	  2.16	1515	30	--  	--  	
159908	深F200	--  	1.292	--  	1.256	1.291	0	0	--  	          0.00	--  	--  	--  	1.292	--  	0	  0.00			0.00	1.292	0	0	--  	1	150	--  	--  	
159909	深TMT	-1.46	4.661	-0.069	4.640	4.700	110	60	-0.78	          0.07	4.759	4.759	4.659	4.730	--  	51296	0.00			2.11	4.663	23	87	  0.26	20	49	--  	--  	
159910	深F120	0.14	1.420	0.002	1.420	1.432	73	20	0.00	          0.00	1.437	1.437	1.417	1.418	--  	10369	0.00			1.41	1.420	21	52	  0.40	22	9	--  	--  	
159911	民营ETF	2.03	4.530	0.090	4.202	4.514	25	10	0.00	          0.02	4.006	4.544	4.006	4.440	--  	10969	  0.01			12.12	4.388	7	18	  0.39	8	10	--  	--  	
159912	深300ETF	-1.44	1.301	-0.019	1.301	1.325	2558	1	-1.81	          0.28	1.319	1.329	1.261	1.320	--  	338960	  1.33			5.15	1.325	2194	363	  6.04	93	5009	--  	--  	
159913	深价值	0.73	1.510	0.011	1.500	1.510	107	1	0.66	          0.03	1.557	1.557	1.461	1.499	--  	16056	0.00			6.40	1.501	106	1	106.00	1	43	--  	--  	
159915	创业板	1.18	1.890	0.022	1.889	1.890	1215817	22436	0.10	          4.76	1.864	1.890	1.857	1.868	--  	228174384	  1.27			1.77	1.877	687528	528288	  1.30	4956	8957	--  	--  	
159916	深F60	-0.82	2.785	-0.023	2.785	2.838	349	1	-0.53	          0.03	2.806	2.810	2.779	2.808	--  	97462	0.00			1.10	2.793	70	279	  0.25	9	18	--  	--  	
159918	中创400	0.98	1.955	0.019	1.940	1.959	259	50	0.00	          0.03	1.965	1.965	1.940	1.936	--  	50544	0.00			1.29	1.951	154	105	  1.47	19	10	--  	--  	
159919	300ETF	0.78	3.725	0.029	3.722	3.725	116826	44	0.10	          0.25	3.696	3.725	3.674	3.696	--  	43375108	  1.52			1.38	3.713	38450	78376	  0.49	169	298	--  	--  	
