代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000890	法 尔 胜	-0.17	11.59	-0.02	11.59	11.60	42564	498	0.00	          1.12	11.55	11.63	11.44	11.61	    24.28	49223560	  0.93	钢加工	江苏	1.64	11.56	23094	19470	  1.19	736	271	--  	          3.80	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	0	--  	0	0	--  	          2.06	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002268	卫 士 通	2.10	32.62	0.67	32.62	32.63	49803	523	-0.09	          1.45	31.98	32.82	31.65	31.95	  2091.57	161263712	  1.37	软件服务	四川	3.66	32.38	23896	25906	  0.92	155	23	--  	          3.45	
002315	焦点科技	0.46	65.48	0.30	65.47	65.48	13717	133	0.00	          2.26	64.97	65.50	64.24	65.18	   128.70	88948144	  0.97	互联网	江苏	1.93	64.85	7162	6554	  1.09	24	128	--  	          0.61	
002396	星网锐捷	0.65	20.28	0.13	20.27	20.28	92385	1083	0.00	          1.74	20.09	20.53	20.06	20.15	    46.56	187714368	  0.69	通信设备	福建	2.33	20.32	45165	47219	  0.96	89	27	--  	          5.30	
002439	启明星辰	1.15	21.97	0.25	21.97	21.98	63320	1133	0.13	          1.13	21.64	21.98	21.49	21.72	   313.49	138058320	  0.82	软件服务	北京	2.26	21.80	31771	31548	  1.01	3	274	--  	          5.59	
002544	杰赛科技	-0.33	27.50	-0.09	27.49	27.50	23510	476	0.03	          0.46	27.37	27.58	27.16	27.59	   133.24	64459532	  1.48	软件服务	广东	1.52	27.42	10054	13455	  0.75	9	91	--  	          5.11	
300017	网宿科技	2.04	53.60	1.07	53.60	53.61	129555	1274	0.03	          2.56	52.70	54.20	52.02	52.53	    34.81	689855040	  0.83	电信运营	上海	4.15	53.25	57422	72132	  0.80	564	35	--  	          5.06	
300047	天源迪科	1.86	16.41	0.30	16.41	16.42	68345	1013	0.06	          2.61	16.05	16.45	16.04	16.11	   182.87	111275656	  0.72	软件服务	深圳	2.55	16.28	32504	35841	  0.91	54	579	--  	          2.62	
