代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000100	TCL 集团	0.85	3.58	0.03	3.58	3.59	503236	4821	0.00	          0.56	3.55	3.59	3.51	3.55	    21.32	178647712	  0.92	家用电器	广东	2.25	3.55	210404	292831	  0.72	721	35650	--  	         90.01	
000529	广弘控股	0.55	10.91	0.06	10.90	10.91	35418	164	-0.09	          0.62	10.80	10.97	10.62	10.85	    60.66	38338180	  0.88	食品	广东	3.23	10.82	12899	22519	  0.57	177	409	--  	          5.67	
000564	供销大集	-0.46	8.63	-0.04	8.63	8.64	77373	1938	0.23	          1.49	8.67	8.70	8.50	8.67	  1565.19	66415888	  0.51	百货	陕西	2.31	8.58	46296	31076	  1.49	28	297	--  	          5.20	
000759	中百集团	2.16	9.45	0.20	9.44	9.45	48810	1016	0.00	          0.72	9.23	9.46	9.11	9.25	--  	45436980	  0.67	超市连锁	湖北	3.78	9.31	17537	31272	  0.56	432	1443	--  	          6.81	
000785	武汉中商	-0.15	13.71	-0.02	13.70	13.71	22155	231	0.07	          0.88	13.77	13.77	13.52	13.73	   139.30	30224240	  0.85	百货	湖北	1.82	13.64	11943	10212	  1.17	81	191	--  	          2.51	
000826	启迪桑德	1.23	34.50	0.42	34.49	34.50	32952	617	0.00	          0.39	34.08	34.55	33.88	34.08	    30.87	112715056	  1.22	环境保护	湖北	1.97	34.21	15578	17374	  0.90	28	543	--  	          8.47	
000861	海印股份	0.21	4.72	0.01	4.71	4.72	52774	578	0.21	          0.30	4.71	4.72	4.66	4.71	    61.26	24763622	  0.73	房产服务	广东	1.27	4.69	30232	22541	  1.34	892	2078	--  	         17.61	
000882	华联股份	0.47	4.27	0.02	4.26	4.27	225142	5798	0.23	          1.19	4.23	4.27	4.20	4.25	    57.10	95582520	  0.75	百货	北京	1.65	4.25	106813	118328	  0.90	4725	6892	--  	         18.85	
000887	中鼎股份	-1.52	24.65	-0.38	24.64	24.65	148778	2590	0.08	          1.34	25.01	25.01	24.51	25.03	    28.57	367271296	  1.28	橡胶	安徽	2.00	24.69	95377	53401	  1.79	244	216	--  	         11.14	
002005	德豪润达	2.56	6.00	0.15	5.99	6.00	399166	3071	0.16	          3.42	5.88	6.14	5.86	5.85	   340.19	240179696	  3.16	家用电器	广东	4.79	6.02	171807	227358	  0.76	1263	4585	--  	         11.66	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002029	七 匹 狼	0.59	10.31	0.06	10.31	10.32	33630	791	-0.09	          0.45	10.25	10.33	10.20	10.25	    34.60	34520856	  0.85	服饰	福建	1.27	10.27	16990	16639	  1.02	67	307	--  	          7.55	
