代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	0	--  	0	0	--  	         29.89	
000536	华映科技	0.33	12.07	0.04	12.07	12.08	47256	913	0.00	          0.61	12.01	12.08	11.92	12.03	    38.25	56843140	  0.67	元器件	福建	1.33	12.03	23976	23279	  1.03	269	1042	--  	          7.77	
000725	京东方Ａ	1.91	3.20	0.06	3.20	3.21	3809817	28719	-0.31	          1.59	3.13	3.21	3.12	3.14	   599.76	1206541312	  1.88	元器件	北京	2.87	3.17	1356919	2452897	  0.55	45648	105935	--  	        240.29	
000960	锡业股份	1.62	13.83	0.22	13.83	13.84	145498	3093	0.00	          1.20	13.61	13.86	13.60	13.61	   270.26	200261360	  0.85	小金属	云南	1.91	13.76	63796	81702	  0.78	2825	221	--  	         12.09	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
000990	诚志股份	-0.93	16.03	-0.15	16.02	16.03	23887	227	-0.06	          0.80	16.18	16.23	16.00	16.18	   181.31	38428912	  1.44	化工原料	江西	1.42	16.09	14588	9299	  1.57	57	83	--  	          2.97	
002217	合力泰	-0.82	19.45	-0.16	19.44	19.45	111693	1735	0.15	          2.39	19.50	19.52	19.17	19.61	    39.46	216111200	  0.77	元器件	山东	1.78	19.35	57575	54117	  1.06	362	65	--  	          4.67	
002288	超华科技	-0.39	7.65	-0.03	7.65	7.66	88218	1141	0.00	          1.34	7.62	7.69	7.52	7.68	  1196.59	67324168	  0.77	元器件	广东	2.21	7.63	50266	37951	  1.32	776	590	--  	          6.60	
002326	永太科技	0.44	16.11	0.07	16.11	16.12	34558	906	0.00	          0.65	15.97	16.18	15.84	16.04	    80.61	55500040	  0.66	化工原料	浙江	2.12	16.06	17877	16681	  1.07	107	321	--  	          5.32	
002341	新纶科技	0.55	18.40	0.10	18.39	18.40	61656	586	0.05	          2.13	18.20	18.59	18.15	18.30	   134.68	113466192	  0.92	化工原料	深圳	2.40	18.40	37578	24077	  1.56	163	952	--  	          2.90	
002384	东山精密	1.38	21.36	0.29	21.35	21.36	128713	2403	0.09	          2.33	20.92	21.36	20.37	21.07	    92.23	269338240	  1.23	通信设备	江苏	4.70	20.93	62676	66037	  0.95	153	845	--  	          5.52	
