代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000010	美丽生态	0.29	6.98	0.02	6.97	6.98	61537	2834	0.14	          1.18	6.95	6.99	6.90	6.96	   195.56	42792592	  0.70	建筑施工	深圳	1.29	6.95	30723	30814	  1.00	1058	1289	--  	          5.22	
000018	神州长城	-0.82	9.66	-0.08	9.66	9.67	172647	1087	0.00	          2.29	9.72	9.75	9.54	9.74	    40.58	166010368	  1.51	装修装饰	深圳	2.16	9.62	108631	64016	  1.70	292	580	--  	          7.53	
000068	华控赛格	0.37	8.13	0.03	8.12	8.13	32288	191	0.12	          0.36	8.08	8.14	8.04	8.10	--  	26152146	  0.70	元器件	深圳	1.23	8.10	15058	17230	  0.87	1372	77	--  	          8.97	
000157	中联重科	1.46	4.85	0.07	4.85	4.86	528493	4927	-0.20	          0.84	4.80	4.86	4.77	4.78	--  	255423616	  1.10	工程机械	湖南	1.88	4.83	186074	342418	  0.54	8094	13470	--  	         62.66	
000598	兴蓉环境	0.17	5.87	0.01	5.86	5.87	212041	3143	0.00	          0.71	5.86	5.87	5.80	5.86	    17.32	123858504	  0.81	水务	四川	1.19	5.84	108415	103625	  1.05	7737	54	--  	         29.86	
000605	渤海股份	-0.05	20.74	-0.01	20.74	20.75	15596	327	0.00	          1.32	20.80	20.82	20.51	20.75	   122.32	32210712	  0.93	水务	北京	1.49	20.65	8437	7159	  1.18	129	136	--  	          1.18	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000711	京蓝科技	-9.99	29.29	-3.25	--  	29.29	155113	1024	0.00	          9.64	29.29	32.00	29.29	32.54	--  	462125504	  5.98	软件服务	黑龙江	8.33	29.79	58267	96845	  0.60	0	5131	--  	          1.61	
000826	启迪桑德	1.23	34.50	0.42	34.49	34.50	32952	617	0.00	          0.39	34.08	34.55	33.88	34.08	    30.87	112715056	  1.22	环境保护	湖北	1.97	34.21	15578	17374	  0.90	28	543	--  	          8.47	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
000961	中南建设	-3.25	9.82	-0.33	9.82	9.83	691595	11870	-0.60	          2.38	10.13	10.13	9.55	10.15	    55.97	677680384	  0.97	建筑施工	江苏	5.71	9.80	293452	398143	  0.74	556	1075	--  	         29.10	
000967	盈峰环境	0.32	15.65	0.05	15.65	15.66	48623	538	0.12	          1.09	15.51	15.78	15.40	15.60	    52.53	75776632	  0.76	电气设备	浙江	2.44	15.58	22408	26214	  0.85	272	302	--  	          4.45	
002002	鸿达兴业	3.30	8.13	0.26	8.12	8.13	216012	6516	0.37	          1.04	7.90	8.13	7.80	7.87	    28.29	172267152	  1.16	化工原料	江苏	4.19	7.97	81327	134684	  0.60	1209	1038	--  	         20.75	
002051	中工国际	2.20	25.59	0.55	25.58	25.59	59060	793	0.27	          0.64	25.05	25.70	24.80	25.04	    25.02	150016368	  0.75	建筑施工	北京	3.59	25.40	27073	31986	  0.85	41	100	--  	          9.20	
002060	粤 水 电	0.13	7.96	0.01	7.96	7.97	39639	342	0.12	          0.66	7.95	7.97	7.83	7.95	    52.97	31370572	  0.85	建筑施工	广东	1.76	7.91	20979	18660	  1.12	351	1250	--  	          6.01	
002062	宏润建设	-0.15	6.59	-0.01	6.59	6.60	93444	803	-0.15	          0.99	6.60	6.68	6.55	6.60	    34.25	61686560	  1.04	建筑施工	浙江	1.97	6.60	47646	45797	  1.04	1007	775	--  	          9.42	
002081	金 螳 螂	5.47	11.37	0.59	11.37	11.38	475675	3822	-0.17	          1.89	10.88	11.49	10.88	10.78	    16.53	535127424	  3.13	装修装饰	江苏	5.66	11.25	204645	271029	  0.76	880	1346	--  	         25.18	
002140	东华科技	1.11	14.52	0.16	14.51	14.52	31503	1045	0.06	          0.72	14.36	14.52	14.21	14.36	    59.13	45486900	  0.64	建筑施工	安徽	2.16	14.44	13306	18196	  0.73	382	2	--  	          4.39	
002200	云投生态	1.94	24.66	0.47	24.66	24.67	20241	127	0.00	          1.88	24.22	24.80	24.02	24.19	    98.95	49343824	  0.74	环境保护	云南	3.22	24.38	9539	10702	  0.89	39	16	--  	          1.08	
