代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000037	*ST南电A	1.22	12.40	0.15	12.30	12.40	54370	5666	0.89	          1.60	12.20	12.40	12.10	12.25	--  	66601536	  1.01	火力发电	深圳	2.45	12.25	27273	27097	  1.01	33	651	--  	          3.39	
000403	ST生化	-0.48	32.90	-0.16	32.89	32.90	18870	965	-0.15	          1.00	32.84	33.24	32.71	33.06	   114.90	62317840	  1.00	生物制药	山西	1.60	33.02	11238	7632	  1.47	11	271	--  	          1.88	
000408	*ST金源	0.00	16.06	0.00	16.06	16.07	11699	737	0.06	          0.46	16.03	16.10	15.90	16.06	    53.36	18723940	  0.79	商贸代理	河北	1.25	16.01	6143	5555	  1.11	420	153	--  	          2.52	
000504	*ST生物	-0.65	16.81	-0.11	16.81	16.87	6326	81	0.11	          0.20	16.85	16.92	16.67	16.92	--  	10631562	  0.48	出版业	湖南	1.48	16.81	3651	2675	  1.36	174	38	--  	          3.11	
000505	*ST珠江	-0.54	10.98	-0.06	10.98	10.99	28196	438	0.09	          0.78	11.00	11.08	10.91	11.04	--  	30903444	  0.61	房产服务	海南	1.54	10.96	18107	10089	  1.79	38	124	--  	          3.60	
000511	*ST烯碳	-1.22	6.47	-0.08	6.47	6.48	568318	12800	0.31	          4.92	6.40	6.53	6.22	6.55	--  	361703552	  0.77	矿物制品	辽宁	4.73	6.36	312224	256094	  1.22	3127	1027	--  	         11.55	
000606	*ST易桥	--  	12.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.64	   211.26	0	  0.00	化学制药	青海	0.00	12.64	0	0	--  	0	0	--  	          4.68	
000611	*ST天首	--  	10.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.05	--  	0	  0.00	纺织	内蒙	0.00	10.05	0	0	--  	0	0	--  	          3.19	
000622	*ST恒立	0.95	8.52	0.08	8.52	8.53	35145	513	0.00	          0.83	8.38	8.59	8.31	8.44	--  	29825204	  1.03	汽车配件	湖南	3.32	8.49	17437	17707	  0.98	79	554	--  	          4.25	
000629	*ST钒钛	0.79	2.55	0.02	2.54	2.55	295133	5655	0.39	          0.62	2.53	2.55	2.51	2.53	--  	74807904	  0.60	普钢	四川	1.58	2.53	150296	144836	  1.04	15799	50981	--  	         47.67	
000633	*ST合金	-1.36	11.64	-0.16	11.63	11.64	36390	306	-0.17	          0.95	11.79	11.79	11.46	11.80	--  	42214904	  0.98	综合类	辽宁	2.80	11.60	22193	14197	  1.56	125	1	--  	          3.85	
000670	*ST盈方	1.85	7.72	0.14	7.72	7.73	240105	5484	0.12	          4.00	7.50	7.83	7.45	7.58	   283.15	184048832	  1.12	元器件	湖北	5.01	7.67	116533	123571	  0.94	257	1280	--  	          6.00	
000691	ST亚太	0.65	9.24	0.06	9.24	9.25	15333	154	0.00	          0.53	9.19	9.28	9.15	9.18	 15386.41	14162327	  0.64	区域地产	甘肃	1.42	9.24	8396	6937	  1.21	432	12	--  	          2.90	
000693	ST华泽	--  	12.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.50	--  	0	  0.00	小金属	四川	0.00	12.50	0	0	--  	0	0	--  	          2.77	
000710	*ST天仪	4.99	52.98	2.52	52.98	--  	31672	2	0.00	          2.09	50.99	52.98	50.70	50.46	--  	165738928	  0.61	汽车配件	四川	4.52	52.33	16271	15400	  1.06	6730	0	--  	          1.51	
000717	*ST韶钢	0.32	6.20	0.02	6.19	6.20	172229	1850	0.00	          0.71	6.22	6.25	6.13	6.18	   147.90	106780280	  1.03	钢加工	广东	1.94	6.20	73996	98233	  0.75	1091	1551	--  	         24.20	
000831	*ST五稀	3.15	13.10	0.40	13.09	13.10	184348	1681	0.07	          1.88	12.70	13.17	12.66	12.70	--  	239319488	  1.37	小金属	山西	4.02	12.98	74349	109999	  0.68	362	1371	--  	          9.81	
000856	*ST冀装	1.20	15.17	0.18	15.16	15.17	21961	197	0.13	          0.97	14.90	15.24	14.86	14.99	    44.98	33121570	  0.85	机械基件	河北	2.54	15.08	10898	11062	  0.99	100	61	--  	          2.27	
000913	*ST钱江	-1.83	17.75	-0.33	17.75	17.78	22819	762	-0.39	          0.50	18.04	18.04	17.71	18.08	   109.51	40745684	  0.77	摩托车	浙江	1.83	17.86	14290	8528	  1.68	266	1	--  	          4.53	
000933	*ST神火	1.89	7.55	0.14	7.54	7.55	197944	2091	0.00	          1.05	7.38	7.57	7.35	7.41	    13.03	148199088	  0.86	煤炭开采	河南	2.97	7.49	84225	113718	  0.74	1524	3383	--  	         18.90	
000950	*ST建峰	-0.76	9.10	-0.07	9.10	9.11	41291	127	-0.10	          0.69	9.15	9.15	9.00	9.17	--  	37381188	  0.63	农药化肥	重庆	1.64	9.05	24325	16965	  1.43	281	113	--  	          5.99	
000953	*ST河化	0.67	12.01	0.08	12.01	12.02	78686	455	0.08	          2.68	11.92	12.20	11.83	11.93	--  	94838496	  0.61	农药化肥	广西	3.10	12.05	40072	38614	  1.04	2340	74	--  	          2.94	
000962	*ST东钽	0.45	13.26	0.06	13.25	13.26	80417	2215	0.15	          1.82	13.06	13.31	12.96	13.20	   201.53	105832152	  0.95	小金属	宁夏	2.65	13.16	39943	40474	  0.99	845	252	--  	          4.41	
000968	*ST煤气	1.00	13.08	0.13	13.07	13.08	59266	2106	0.53	          2.28	12.93	13.10	12.70	12.95	--  	76543520	  0.66	煤炭开采	山西	3.09	12.92	27939	31326	  0.89	27	914	--  	          2.60	
000995	*ST皇台	-0.32	15.82	-0.05	15.80	15.82	12769	161	-0.06	          0.72	15.82	16.03	15.72	15.87	--  	20326186	  0.54	白酒	甘肃	1.95	15.92	6355	6414	  0.99	156	5	--  	          1.77	
002061	*ST江化	--  	8.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.96	    75.10	0	  0.00	化工原料	浙江	0.00	8.96	0	0	--  	0	0	--  	          4.53	
002069	*ST獐岛	-0.69	11.48	-0.08	11.48	11.49	84815	879	0.17	          1.24	11.57	11.62	11.39	11.56	   192.34	97871576	  1.56	渔业	辽宁	1.99	11.54	53087	31728	  1.67	513	30	--  	          6.82	
002109	*ST兴化	-0.33	8.99	-0.03	8.98	8.99	78018	2154	0.11	          2.18	8.99	9.09	8.91	9.02	--  	70058504	  0.88	化工原料	陕西	2.00	8.98	47136	30882	  1.53	39	247	--  	          3.58	
002173	*ST创疗	2.32	19.83	0.45	19.82	19.83	23396	290	0.20	          1.14	19.38	19.94	19.32	19.38	   100.57	46130204	  1.57	农业综合	浙江	3.20	19.72	12280	11116	  1.10	10	441	--  	          2.06	
002199	*ST东晶	0.47	19.10	0.09	19.10	19.13	41142	352	-0.15	          3.13	19.01	19.17	18.70	19.01	   287.08	77857376	  0.95	元器件	浙江	2.47	18.92	22372	18770	  1.19	99	24	--  	          1.32	
