代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000099	中信海直	-0.16	12.64	-0.02	12.64	12.65	80907	2046	0.31	          1.33	12.58	12.65	12.34	12.66	    75.75	101210064	  0.79	空运	深圳	2.45	12.51	40417	40489	  1.00	566	249	--  	          6.06	
000505	*ST珠江	-0.54	10.98	-0.06	10.98	10.99	28196	438	0.09	          0.78	11.00	11.08	10.91	11.04	--  	30903444	  0.61	房产服务	海南	1.54	10.96	18107	10089	  1.79	38	124	--  	          3.60	
000566	海南海药	1.42	14.24	0.20	14.24	14.25	446604	4442	0.00	          4.52	14.80	14.86	14.12	14.04	    84.37	644135232	  3.68	化学制药	海南	5.27	14.42	198785	247819	  0.80	3741	362	--  	          9.89	
000567	海德股份	-1.45	33.97	-0.50	33.97	33.98	30479	266	0.02	          2.03	34.60	34.70	33.80	34.47	  2375.41	103579352	  0.50	区域地产	海南	2.61	33.98	16982	13496	  1.26	508	23	--  	          1.50	
000613	大东海A	--  	15.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.04	--  	0	  0.00	旅游服务	海南	0.00	15.04	0	0	--  	0	0	--  	          2.66	
000691	ST亚太	0.65	9.24	0.06	9.24	9.25	15333	154	0.00	          0.53	9.19	9.28	9.15	9.18	 15386.41	14162327	  0.64	区域地产	甘肃	1.42	9.24	8396	6937	  1.21	432	12	--  	          2.90	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000886	海南高速	0.00	5.45	0.00	5.45	5.46	80501	2317	0.18	          0.83	5.45	5.45	5.38	5.45	    85.71	43714940	  0.81	路桥	海南	1.28	5.43	46952	33549	  1.40	626	2769	--  	          9.65	
002320	海峡股份	1.41	15.80	0.22	15.80	15.81	27723	689	0.06	          0.65	15.58	15.80	15.31	15.58	    37.38	43355352	  0.75	水运	海南	3.15	15.64	11389	16333	  0.70	541	138	--  	          4.26	
002596	海南瑞泽	0.08	26.42	0.02	26.41	26.42	24426	287	0.00	          1.15	26.28	26.52	26.13	26.40	   390.35	64313016	  1.11	其他建材	海南	1.48	26.33	12091	12335	  0.98	309	67	--  	          2.12	
600209	罗顿发展	-3.78	14.76	-0.58	14.79	14.80	614521	654	0.20	         14.41	15.02	15.05	14.50	15.34	--  	905431872	  0.69	综合类	海南	3.59	14.73	334723	279798	  1.20	6	461	--  	          4.26	
600515	海航基础	1.35	12.05	0.16	12.05	12.06	27486	70	0.08	          0.65	11.93	12.10	11.82	11.89	    53.88	32864886	  1.27	百货	海南	2.35	11.96	11250	16235	  0.69	47	157	--  	          4.23	
600759	洲际油气	-0.37	8.08	-0.03	8.07	8.08	124624	168	0.00	          0.79	8.08	8.09	8.02	8.11	  1562.96	100439608	  0.67	石油开采	海南	0.86	8.06	69457	55167	  1.26	1687	769	--  	         15.81	
600896	览海投资	0.09	10.73	0.01	10.73	10.74	32754	6	0.00	          0.57	10.72	10.76	10.57	10.72	--  	34963616	  1.16	水运	海南	1.77	10.67	14352	18401	  0.78	11	872	--  	          5.77	
601118	海南橡胶	0.00	7.19	0.00	7.21	7.22	331743	577	0.70	          0.84	7.18	7.22	7.03	7.19	--  	235575312	  1.08	橡胶	海南	2.64	7.10	156306	175436	  0.89	257	769	--  	         39.31	
数据来源:通达信
