代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000503	海虹控股	-0.48	41.78	-0.20	41.70	41.78	43000	562	0.14	          0.48	42.17	42.17	41.00	41.98	--  	178581920	  1.15	医疗保健	海南	2.79	41.53	22785	20215	  1.13	38	241	--  	          8.99	
000665	湖北广电	0.70	14.45	0.10	14.45	14.46	20118	428	0.06	          0.44	14.36	14.47	14.26	14.35	    29.01	28964310	  0.74	影视音像	湖北	1.46	14.40	8666	11451	  0.76	143	272	--  	          4.61	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	0	--  	0	0	--  	          9.78	
000793	华闻传媒	1.12	10.85	0.12	10.84	10.85	346282	3135	-0.18	          1.89	10.76	10.99	10.63	10.73	    23.62	373629216	  1.99	出版业	海南	3.36	10.79	181876	164406	  1.11	3778	4489	--  	         18.27	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
002052	同洲电子	-0.31	9.80	-0.03	9.80	9.81	74012	1050	0.10	          1.19	9.82	9.83	9.66	9.83	--  	72159488	  0.62	通信设备	深圳	1.73	9.75	41163	32848	  1.25	143	300	--  	          6.21	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002093	国脉科技	-1.42	11.08	-0.16	11.07	11.08	192673	4074	0.00	          2.26	11.52	11.53	10.99	11.24	   164.60	215019456	  1.85	电信运营	福建	4.80	11.16	85960	106712	  0.81	1495	890	--  	          8.52	
002104	恒宝股份	1.19	11.04	0.13	11.04	11.05	64669	1615	0.09	          0.91	10.93	11.04	10.82	10.91	    47.18	70832200	  0.90	元器件	江苏	2.02	10.95	29192	35477	  0.82	75	1099	--  	          7.09	
002148	北纬通信	0.37	21.78	0.08	21.78	21.79	112848	1298	0.32	          5.63	21.64	22.31	21.56	21.70	    89.78	247743392	  1.12	互联网	北京	3.46	21.95	58554	54293	  1.08	181	44	--  	          2.01	
