代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
002183	怡 亚 通	1.48	10.99	0.16	10.98	10.99	212643	1216	0.00	          1.01	10.80	11.05	10.72	10.83	    38.33	232177712	  1.41	仓储物流	深圳	3.05	10.92	104900	107743	  0.97	272	2505	--  	         20.98	
300226	上海钢联	-0.02	41.39	-0.01	41.36	41.40	22337	306	-0.04	          1.51	41.25	41.59	40.54	41.40	   309.01	91828240	  0.96	互联网	上海	2.54	41.11	10908	11429	  0.95	3	146	--  	          1.48	
300330	华虹计通	0.39	18.05	0.07	18.04	18.05	21723	107	0.05	          1.30	18.15	18.18	17.81	17.98	--  	39116780	  1.03	软件服务	上海	2.06	18.01	7866	13857	  0.57	37	13	--  	          1.68	
600009	上海机场	3.47	28.35	0.95	28.33	28.36	152317	35	0.00	          1.39	27.39	28.59	27.39	27.40	    19.47	429974592	  4.44	机场	上海	4.38	28.23	62672	89644	  0.70	420	306	--  	         10.93	
600018	上港集团	-0.53	5.62	-0.03	5.62	5.63	372413	732	-0.17	          0.16	5.64	5.65	5.56	5.65	    24.68	208518368	  1.41	港口	上海	1.59	5.60	200528	171885	  1.17	388	3942	--  	        227.55	
600061	国投安信	0.39	15.47	0.06	15.45	15.46	54500	11	0.00	          0.28	15.35	15.49	15.28	15.41	    20.28	83873400	  0.85	证券	上海	1.36	15.39	28219	26281	  1.07	116	43	--  	         19.62	
600115	东方航空	1.11	7.26	0.08	7.25	7.26	1608976	352	0.27	          1.90	7.15	7.31	7.03	7.18	    11.77	1154189440	  1.30	空运	上海	3.90	7.17	779839	829137	  0.94	3926	1059	--  	         84.81	
600119	长江投资	0.36	19.69	0.07	19.69	19.70	49722	1	-0.15	          1.62	19.62	19.75	19.32	19.62	    36.20	97295488	  0.71	仓储物流	上海	2.19	19.57	26146	23575	  1.11	25	207	--  	          3.07	
600170	上海建工	0.61	4.92	0.03	4.91	4.92	286494	30	0.00	          0.41	4.90	4.93	4.85	4.89	    16.67	140205472	  1.04	建筑施工	上海	1.64	4.89	142203	144291	  0.99	5437	154	--  	         69.06	
600278	东方创业	-0.45	15.33	-0.07	15.33	15.34	33697	1	0.13	          0.65	15.50	15.50	15.14	15.40	    57.59	51333876	  1.30	商贸代理	上海	2.34	15.23	18713	14983	  1.25	420	14	--  	          5.22	
600284	浦东建设	-0.47	12.74	-0.06	12.73	12.74	72212	4	0.00	          1.04	12.80	12.80	12.58	12.80	    24.59	91629592	  0.90	建筑施工	上海	1.72	12.69	41865	30347	  1.38	347	105	--  	          6.93	
600611	大众交通	0.31	6.39	0.02	6.38	6.39	60984	8	0.00	          0.39	6.37	6.39	6.32	6.37	    26.11	38802464	  0.71	公共交通	上海	1.10	6.36	36730	24253	  1.51	1063	2867	--  	         15.63	
600621	华鑫股份	0.72	14.02	0.10	14.02	14.03	56736	15	-0.14	          1.08	13.82	14.14	13.68	13.92	    38.49	78947904	  0.57	全国地产	上海	3.30	13.91	25882	30854	  0.84	102	83	--  	          5.24	
600628	新世界	0.45	13.52	0.06	13.51	13.52	33190	10	0.00	          0.62	13.50	13.53	13.35	13.46	   159.68	44618708	  0.83	百货	上海	1.34	13.44	18264	14926	  1.22	356	2	--  	          5.32	
600630	龙头股份	0.86	15.22	0.13	15.22	15.24	77322	15	0.00	          1.82	15.09	15.24	14.83	15.09	    68.92	116314608	  0.95	纺织	上海	2.72	15.04	35953	41369	  0.87	3	431	--  	          4.25	
600639	浦东金桥	0.60	18.38	0.11	18.38	18.39	17647	1	0.00	          0.25	18.25	18.40	18.17	18.27	    32.74	32352752	  0.59	园区开发	上海	1.26	18.33	6700	10946	  0.61	17	383	--  	          7.03	
600643	爱建集团	0.14	13.97	0.02	13.97	13.98	100265	2	0.07	          0.70	14.00	14.04	13.84	13.95	    32.57	139771184	  0.80	多元金融	上海	1.43	13.94	50980	49284	  1.03	306	560	--  	         14.34	
600648	外高桥	0.25	20.19	0.05	20.18	20.19	21261	10	0.04	          0.23	20.10	20.20	19.93	20.14	    27.59	42723352	  0.92	园区开发	上海	1.34	20.09	11054	10206	  1.08	517	43	--  	          9.35	
600650	锦江投资	0.22	23.18	0.05	23.17	23.18	38220	24	0.12	          0.98	23.10	23.19	22.76	23.13	    53.87	87781504	  0.68	公共交通	上海	1.86	22.97	21589	16630	  1.30	54	15	--  	          3.91	
600655	豫园商城	0.00	11.42	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.42	    29.09	0	  0.00	百货	上海	0.00	11.42	0	0	--  	0	0	--  	         14.37	
600663	陆家嘴	-0.13	22.44	-0.03	22.43	22.44	27284	2	0.00	          0.11	22.33	22.46	22.25	22.47	    41.84	60949320	  1.21	园区开发	上海	0.93	22.34	15510	11773	  1.32	34	101	--  	         24.45	
600676	交运股份	0.46	8.79	0.04	8.78	8.79	42656	10	0.11	          0.49	8.75	8.80	8.70	8.75	    32.54	37278864	  1.33	公共交通	上海	1.14	8.74	26503	16153	  1.64	339	456	--  	          8.62	
600689	上海三毛	-0.11	17.43	-0.02	17.43	17.44	22600	19	0.00	          1.48	17.46	17.46	17.18	17.45	--  	39141416	  0.59	纺织	上海	1.60	17.32	11683	10916	  1.07	114	148	--  	          1.52	
600695	绿庭投资	-0.21	9.70	-0.02	9.70	9.72	26866	27	-0.10	          0.73	9.65	9.80	9.65	9.72	  1337.13	26115348	  0.77	多元金融	上海	1.54	9.72	14408	12458	  1.16	99	136	--  	          3.66	
600708	光明地产	0.44	9.17	0.04	9.16	9.17	90761	74	0.10	          1.21	9.15	9.20	9.03	9.13	    43.28	82770512	  1.47	全国地产	上海	1.86	9.12	50004	40757	  1.23	192	144	--  	          7.51	
600732	*ST新梅	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	区域地产	上海	--  	0.00	0	0	--  	0	0	--  	          4.46	
600754	锦江股份	0.07	29.84	0.02	29.84	29.86	16410	17	0.03	          0.37	29.74	29.86	29.53	29.82	    42.40	48726908	  0.84	酒店餐饮	上海	1.11	29.69	9291	7118	  1.31	115	64	--  	          4.47	
