代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000416	民生控股	-0.17	11.50	-0.02	11.49	11.50	37479	890	-0.34	          0.71	11.51	11.59	11.30	11.52	   466.50	43050552	  0.90	多元金融	山东	2.52	11.49	19302	18177	  1.06	40	227	--  	          5.32	
000599	青岛双星	3.04	8.80	0.26	8.79	8.80	304686	3393	0.00	          4.85	8.51	8.88	8.44	8.54	    54.91	265639280	  2.50	汽车配件	山东	5.15	8.72	134030	170655	  0.79	1072	4017	--  	          6.28	
000679	大连友谊	-0.75	13.16	-0.10	13.16	13.17	28691	537	0.00	          0.81	13.18	13.20	13.05	13.26	--  	37691140	  0.82	百货	辽宁	1.13	13.14	18231	10460	  1.74	830	15	--  	          3.56	
000739	普洛药业	-1.03	8.63	-0.09	8.62	8.63	111424	2662	0.23	          1.05	8.70	8.70	8.47	8.72	    43.02	95453552	  0.61	化学制药	浙江	2.64	8.57	70405	41019	  1.72	439	783	--  	         10.60	
000811	烟台冰轮	1.29	15.68	0.20	15.68	15.70	41881	350	0.19	          1.04	15.48	15.76	15.37	15.48	    20.93	65403448	  0.84	工程机械	山东	2.52	15.62	19019	22861	  0.83	158	187	--  	          4.03	
000881	中广核技	-0.19	26.71	-0.05	26.71	26.72	27830	531	0.03	          0.90	26.54	26.85	26.29	26.76	 35504.14	74101056	  0.52	综合类	辽宁	2.09	26.63	13058	14771	  0.88	336	374	--  	          3.08	
002073	软控股份	0.95	10.65	0.10	10.64	10.65	42608	461	0.09	          0.68	10.54	10.69	10.51	10.55	--  	45255732	  0.86	软件服务	山东	1.71	10.62	20221	22386	  0.90	557	402	--  	          6.26	
002094	青岛金王	1.01	27.87	0.28	27.85	27.87	24570	291	-0.07	          0.76	27.59	27.92	27.38	27.59	    68.70	67900016	  0.94	日用化工	山东	1.96	27.64	8732	15837	  0.55	17	89	--  	          3.22	
002376	新北洋	0.52	13.56	0.07	13.56	13.57	46400	1516	0.22	          0.81	13.47	13.57	13.33	13.49	    46.36	62475744	  0.60	电脑设备	山东	1.78	13.46	22269	24130	  0.92	132	375	--  	          5.72	
002498	汉缆股份	0.00	4.19	0.00	4.19	4.20	63744	582	-0.23	          0.19	4.19	4.20	4.14	4.19	    32.72	26611036	  0.89	电气设备	山东	1.43	4.17	33748	29996	  1.13	2481	4095	--  	         33.25	
002537	海立美达	0.39	30.75	0.12	30.75	30.81	13869	376	0.03	          0.46	30.60	30.98	30.25	30.63	   133.11	42460108	  0.98	汽车整车	山东	2.38	30.61	5393	8476	  0.64	138	42	--  	          3.00	
002545	东方铁塔	-0.84	11.84	-0.10	11.84	11.85	45307	1229	-0.08	          1.61	11.83	11.93	11.76	11.94	   145.36	53700660	  0.54	钢加工	山东	1.42	11.85	25886	19420	  1.33	333	857	--  	          2.81	
002621	三垒股份	-0.73	27.07	-0.20	27.07	27.10	10571	40	0.00	          0.94	27.00	27.31	26.70	27.27	   216.96	28512336	  1.42	专用机械	辽宁	2.24	26.97	4102	6469	  0.63	4	4	--  	          1.12	
300001	特锐德	0.06	17.81	0.01	17.81	17.82	43832	498	0.11	          0.52	17.62	17.97	17.59	17.80	   105.28	77950672	  0.54	电气设备	山东	2.13	17.78	24539	19293	  1.27	20	106	--  	          8.46	
300110	华仁药业	1.00	14.10	0.14	14.09	14.10	53799	508	0.00	          0.82	14.27	14.27	13.81	13.96	   494.89	75100168	  1.66	化学制药	山东	3.30	13.96	27829	25969	  1.07	127	102	--  	          6.54	
300183	东软载波	1.39	25.55	0.35	25.55	25.56	44116	801	0.19	          1.71	25.20	25.66	24.97	25.20	    36.58	111695328	  1.03	软件服务	山东	2.74	25.32	22415	21701	  1.03	2086	84	--  	          2.58	
300208	恒顺众昇	0.13	15.44	0.02	15.44	15.45	39305	259	0.12	          0.65	15.44	15.46	15.12	15.42	    42.32	60035352	  0.99	电气设备	山东	2.20	15.27	18591	20714	  0.90	907	254	--  	          6.08	
600017	日照港	0.74	4.08	0.03	4.07	4.08	132859	12	0.24	          0.43	4.05	4.08	4.03	4.05	    40.75	53877948	  0.80	港口	山东	1.23	4.06	56708	76151	  0.74	3855	3424	--  	         30.76	
600190	锦州港	1.63	4.37	0.07	4.35	4.37	56545	9	0.69	          0.32	4.30	4.37	4.28	4.30	   164.04	24429004	  0.80	港口	辽宁	2.09	4.32	26712	29833	  0.90	56	1699	--  	         17.79	
600241	时代万恒	-0.12	16.45	-0.02	16.43	16.44	43168	200	0.48	          2.24	16.47	16.49	16.19	16.47	--  	70652520	  1.20	商贸代理	辽宁	1.82	16.37	27932	15236	  1.83	34	5	--  	          1.93	
600317	营口港	0.57	3.51	0.02	3.50	3.51	86179	50	0.28	          0.13	3.49	3.51	3.47	3.49	    48.24	30101720	  0.35	港口	辽宁	1.15	3.49	36798	49380	  0.75	930	7052	--  	         64.73	
600350	山东高速	1.65	6.79	0.11	6.78	6.79	105421	1	0.00	          0.22	6.66	6.82	6.61	6.68	     9.95	70738952	  1.28	路桥	山东	3.14	6.71	35088	70333	  0.50	908	264	--  	         48.11	
600735	新华锦	0.00	20.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.74	   134.62	0	  0.00	商贸代理	山东	0.00	20.74	0	0	--  	0	0	--  	          3.76	
600798	宁波海运	1.07	5.69	0.06	5.68	5.69	92791	20	0.17	          0.90	5.64	5.71	5.56	5.63	    80.46	52408708	  0.77	水运	浙江	2.66	5.65	34886	57904	  0.60	2	587	--  	         10.31	
601000	唐山港	1.77	4.59	0.08	4.59	4.60	374244	30	0.00	          0.93	4.49	4.60	4.47	4.51	    16.33	170391104	  1.41	港口	河北	2.88	4.55	154986	219257	  0.71	454	31395	--  	         40.16	
601008	连云港	1.58	5.79	0.09	5.79	5.80	108942	59	0.17	          1.07	5.68	5.79	5.62	5.70	   602.60	62519944	  0.84	港口	江苏	2.98	5.74	46716	62226	  0.75	189	4154	--  	         10.15	
601880	大连港	0.69	2.91	0.02	2.90	2.91	324211	1248	0.34	          0.42	2.88	2.91	2.86	2.89	    81.43	93563824	  0.92	港口	辽宁	1.73	2.89	154191	170020	  0.91	19292	18819	--  	         77.36	
603167	渤海轮渡	0.64	11.07	0.07	11.07	11.08	48002	55	0.18	          1.00	11.00	11.08	10.86	11.00	    17.73	52807456	  0.72	水运	山东	2.00	11.00	21713	26288	  0.83	53	476	--  	          4.81	
数据来源:通达信
