代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000159	国际实业	0.96	9.49	0.09	9.48	9.49	136867	1679	0.21	          2.84	9.38	9.54	9.23	9.40	   294.68	128967680	  0.71	石油贸易	新疆	3.30	9.42	66872	69995	  0.96	394	1270	--  	          4.81	
000498	山东路桥	0.36	8.38	0.03	8.38	8.39	86009	594	-0.11	          2.43	8.31	8.42	8.12	8.35	    28.38	71324720	  1.01	建筑施工	山东	3.59	8.29	44473	41536	  1.07	1116	1632	--  	          3.54	
000564	供销大集	-0.46	8.63	-0.04	8.63	8.64	77373	1938	0.23	          1.49	8.67	8.70	8.50	8.67	  1565.19	66415888	  0.51	百货	陕西	2.31	8.58	46296	31076	  1.49	28	297	--  	          5.20	
000610	西安旅游	-0.51	13.72	-0.07	13.72	13.73	33851	335	0.00	          1.44	13.78	13.79	13.52	13.79	  1451.81	46304864	  0.71	旅游服务	陕西	1.96	13.68	16896	16954	  1.00	642	61	--  	          2.35	
000635	英 力 特	-2.38	26.71	-0.65	26.71	26.72	82233	871	0.07	          2.71	27.10	27.10	26.42	27.36	   147.14	219753712	  1.05	化工原料	宁夏	2.49	26.72	51092	31140	  1.64	217	29	--  	          3.03	
000672	上峰水泥	0.99	11.21	0.11	11.20	11.21	180469	3815	0.08	          2.22	11.06	11.27	11.05	11.10	    83.58	201508112	  0.88	水泥	甘肃	1.98	11.17	87892	92577	  0.95	784	1828	--  	          8.14	
000721	西安饮食	0.35	8.70	0.03	8.69	8.70	62167	1884	0.11	          1.43	8.65	8.70	8.55	8.67	   178.62	53720644	  0.91	酒店餐饮	陕西	1.73	8.64	31576	30590	  1.03	457	515	--  	          4.36	
000779	三毛派神	0.06	17.90	0.01	17.89	17.90	23359	245	0.11	          1.25	17.86	18.08	17.72	17.89	--  	41689028	  0.88	纺织	甘肃	2.01	17.85	12759	10600	  1.20	135	36	--  	          1.86	
000812	陕西金叶	-4.93	12.92	-0.67	12.92	12.93	196115	3286	-0.23	          4.39	13.46	13.50	12.60	13.59	   201.31	254311088	  0.79	广告包装	陕西	6.62	12.97	118208	77907	  1.52	1856	290	--  	          4.46	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	0	--  	0	0	--  	          3.34	
000877	天山股份	-0.97	14.25	-0.14	14.24	14.25	1167453	14730	0.14	         13.27	14.23	14.68	14.07	14.39	  2173.41	1672318976	  1.03	水泥	新疆	4.24	14.32	634918	532535	  1.19	11740	810	--  	          8.80	
000929	兰州黄河	-0.93	18.20	-0.17	18.19	18.20	23669	269	0.00	          1.28	18.37	18.40	17.68	18.37	--  	42888952	  0.84	啤酒	甘肃	3.92	18.12	16298	7370	  2.21	30	91	--  	          1.86	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	0	--  	0	0	--  	         12.94	
002207	准油股份	-0.06	16.24	-0.01	16.23	16.24	55246	1396	-0.30	          2.55	16.30	16.59	16.02	16.25	--  	89695640	  0.93	石油开采	新疆	3.51	16.24	28225	27020	  1.04	15	215	--  	          2.17	
002302	西部建设	-0.45	10.95	-0.05	10.95	10.96	103128	2722	0.00	          1.00	10.90	10.99	10.83	11.00	    46.73	112466160	  0.80	水泥	新疆	1.45	10.91	59126	44002	  1.34	1900	563	--  	         10.32	
002307	北新路桥	-0.79	12.53	-0.10	12.53	12.54	169290	2691	0.00	          3.04	12.57	12.68	12.42	12.63	   199.93	211781584	  0.74	建筑施工	新疆	2.06	12.51	101109	68180	  1.48	338	1487	--  	          5.57	
300103	达刚路机	1.51	22.19	0.33	22.18	22.19	49083	978	0.04	          3.32	21.84	22.21	21.23	21.86	   171.33	106656328	  0.89	工程机械	陕西	4.48	21.73	24018	25065	  0.96	150	313	--  	          1.48	
300345	红宇新材	1.78	12.00	0.21	12.00	12.01	63880	1617	0.33	          2.28	11.95	12.05	11.86	11.79	   331.50	76439744	  0.69	钢加工	湖南	1.61	11.97	29142	34737	  0.84	525	90	--  	          2.81	
600146	商赢环球	0.00	35.73	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	35.73	--  	0	  0.00	塑料	宁夏	0.00	35.73	0	0	--  	0	0	--  	          2.00	
600217	中再资环	0.94	8.58	0.08	8.58	8.59	47080	115	0.46	          0.68	8.58	8.59	8.40	8.50	   136.07	40134708	  0.78	环境保护	陕西	2.24	8.52	22862	24218	  0.94	3321	360	--  	          6.92	
600262	北方股份	2.99	34.40	1.00	34.41	34.42	73058	1	0.05	          4.30	33.43	34.69	32.89	33.40	--  	247163840	  3.46	汽车整车	内蒙	5.39	33.83	22594	50464	  0.45	34	95	--  	          1.70	
600354	敦煌种业	-0.24	8.28	-0.02	8.27	8.28	97366	10	0.00	          2.17	8.30	8.31	8.11	8.30	--  	80028888	  1.11	种植业	甘肃	2.41	8.22	49575	47790	  1.04	471	1028	--  	          4.48	
600425	青松建化	-1.13	6.10	-0.07	6.10	6.11	459946	15	0.49	          3.34	6.13	6.13	5.95	6.17	--  	277914592	  0.91	水泥	新疆	2.92	6.04	251497	208448	  1.21	553	513	--  	         13.79	
600449	宁夏建材	1.94	13.11	0.25	13.11	13.12	152476	51	0.15	          3.19	12.82	13.18	12.62	12.86	    53.14	197981840	  1.24	水泥	宁夏	4.35	12.98	68845	83630	  0.82	930	392	--  	          4.78	
600509	天富能源	0.25	8.03	0.02	8.03	8.04	68257	6	0.00	          0.75	8.01	8.04	7.90	8.01	    19.94	54358592	  0.81	火力发电	新疆	1.75	7.96	36591	31665	  1.16	333	1064	--  	          9.06	
600545	新疆城建	-0.17	11.86	-0.02	11.85	11.86	92188	60	0.16	          1.36	11.90	11.91	11.70	11.88	--  	108535576	  0.74	建筑施工	新疆	1.77	11.77	49058	43129	  1.14	1189	20	--  	          6.76	
600706	曲江文旅	-0.05	19.90	-0.01	19.89	19.90	17999	48	0.00	          1.01	19.88	19.98	19.62	19.91	    40.54	35639536	  0.65	旅游服务	陕西	1.81	19.80	11560	6439	  1.80	90	26	--  	          1.78	
600720	祁连山	0.51	9.92	0.05	9.91	9.92	240488	20	0.20	          3.10	9.84	9.97	9.72	9.87	    28.34	237569808	  0.76	水泥	甘肃	2.53	9.88	119984	120503	  1.00	1311	902	--  	          7.76	
600738	兰州民百	0.31	9.83	0.03	9.82	9.83	26027	1	-0.10	          0.71	9.80	9.87	9.72	9.80	    58.07	25588284	  0.52	百货	甘肃	1.53	9.83	10351	15676	  0.66	227	52	--  	          3.68	
600778	友好集团	0.63	11.25	0.07	11.24	11.25	22042	1	0.17	          0.71	11.18	11.31	11.12	11.18	--  	24730940	  0.62	百货	新疆	1.70	11.22	11084	10957	  1.01	12	83	--  	          3.11	
600785	新华百货	-1.00	25.67	-0.26	25.66	25.68	13008	5	-0.03	          0.58	25.80	25.80	25.01	25.93	    92.00	33030150	  0.59	百货	宁夏	3.05	25.39	6140	6867	  0.89	227	66	--  	          2.26	
600967	北方创业	1.42	14.30	0.20	14.30	14.31	129591	200	0.14	          1.57	13.91	14.33	13.91	14.10	--  	183726608	  0.91	运输设备	内蒙	2.98	14.18	59574	70016	  0.85	5	853	--  	          8.23	
600984	建设机械	-0.20	10.04	-0.02	10.03	10.04	182876	25	0.29	          3.51	10.00	10.05	9.78	10.06	    68.03	181681168	  0.74	工程机械	陕西	2.68	9.93	95565	87310	  1.09	58	3	--  	          5.21	
数据来源:通达信
