代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000021	深科技	1.44	9.89	0.14	9.89	9.90	94782	1772	0.00	          0.64	9.79	9.91	9.67	9.75	    35.95	92995136	  0.91	电脑设备	深圳	2.46	9.81	42993	51789	  0.83	260	6524	--  	         14.70	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000066	长城电脑	-0.55	10.91	-0.06	10.91	10.92	303119	3963	-0.18	          1.22	10.97	11.01	10.78	10.97	   896.23	330198304	  0.96	电脑设备	深圳	2.10	10.89	166833	136285	  1.22	2065	880	--  	         24.91	
000070	特发信息	1.79	26.14	0.46	26.14	26.15	31899	497	0.00	          1.18	25.60	26.18	25.55	25.68	    49.38	82758176	  0.96	通信设备	深圳	2.45	25.94	14597	17302	  0.84	41	279	--  	          2.71	
000611	*ST天首	--  	10.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.05	--  	0	  0.00	纺织	内蒙	0.00	10.05	0	0	--  	0	0	--  	          3.19	
000836	鑫茂科技	3.60	8.35	0.29	8.34	8.35	553755	4768	-0.11	          4.68	8.10	8.65	7.95	8.06	   212.67	456351936	  1.65	通信设备	天津	8.68	8.24	262092	291662	  0.90	1284	3533	--  	         11.83	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	0	--  	0	0	--  	          2.06	
000971	高升控股	-0.05	21.29	-0.01	21.28	21.29	28230	287	0.04	          1.16	21.36	21.42	21.09	21.30	    98.03	59994108	  0.59	互联网	湖北	1.55	21.25	15083	13147	  1.15	126	253	--  	          2.43	
000977	浪潮信息	0.58	20.94	0.12	20.94	20.95	59519	897	-0.04	          0.60	20.80	21.03	20.71	20.82	    44.94	124271208	  0.69	电脑设备	山东	1.54	20.88	26377	33142	  0.80	462	556	--  	          9.95	
002063	远光软件	1.40	13.03	0.18	13.03	13.04	68470	1087	-0.07	          1.30	12.85	13.04	12.71	12.85	    62.24	88406184	  0.87	软件服务	广东	2.57	12.91	30858	37611	  0.82	610	1108	--  	          5.26	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002093	国脉科技	-1.42	11.08	-0.16	11.07	11.08	192673	4074	0.00	          2.26	11.52	11.53	10.99	11.24	   164.60	215019456	  1.85	电信运营	福建	4.80	11.16	85960	106712	  0.81	1495	890	--  	          8.52	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002195	二三四五	7.73	12.82	0.92	12.82	12.83	838539	16550	0.23	          8.02	12.07	12.96	11.86	11.90	    39.02	1038276352	  2.42	软件服务	上海	9.24	12.38	327762	510777	  0.64	169	487	--  	         10.46	
002197	证通电子	0.83	15.82	0.13	15.82	15.83	28902	649	0.06	          0.85	15.73	15.83	15.58	15.69	   193.36	45486832	  0.78	电器仪表	深圳	1.59	15.74	13317	15584	  0.85	387	436	--  	          3.40	
002268	卫 士 通	2.10	32.62	0.67	32.62	32.63	49803	523	-0.09	          1.45	31.98	32.82	31.65	31.95	  2091.57	161263712	  1.37	软件服务	四川	3.66	32.38	23896	25906	  0.92	155	23	--  	          3.45	
