代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000046	泛海控股	0.54	9.35	0.05	9.35	9.36	53240	281	-0.10	          0.10	9.29	9.37	9.22	9.30	    19.79	49587324	  1.57	全国地产	北京	1.61	9.31	26601	26639	  1.00	15	148	--  	         50.93	
000062	深圳华强	-0.44	27.41	-0.12	27.41	27.42	16546	302	0.14	          0.25	27.46	27.50	27.10	27.53	    46.43	45278064	  0.66	商贸代理	深圳	1.45	27.36	10229	6317	  1.62	128	74	--  	          6.67	
000159	国际实业	0.96	9.49	0.09	9.48	9.49	136867	1679	0.21	          2.84	9.38	9.54	9.23	9.40	   294.68	128967680	  0.71	石油贸易	新疆	3.30	9.42	66872	69995	  0.96	394	1270	--  	          4.81	
000609	绵石投资	-1.04	19.89	-0.21	19.89	19.90	35988	781	0.25	          1.35	20.05	20.09	19.50	20.10	    35.49	71383256	  0.38	区域地产	北京	2.94	19.84	20509	15478	  1.33	417	133	--  	          2.66	
000997	新 大 陆	3.68	19.17	0.68	19.16	19.17	223482	3992	0.05	          2.42	18.68	19.21	18.52	18.49	    37.57	424840672	  2.03	软件服务	福建	3.73	19.01	105007	118474	  0.89	1261	1045	--  	          9.24	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002104	恒宝股份	1.19	11.04	0.13	11.04	11.05	64669	1615	0.09	          0.91	10.93	11.04	10.82	10.91	    47.18	70832200	  0.90	元器件	江苏	2.02	10.95	29192	35477	  0.82	75	1099	--  	          7.09	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
