代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000401	冀东水泥	1.84	13.84	0.25	13.83	13.84	199943	2658	0.07	          1.48	13.59	13.87	13.40	13.59	--  	274311936	  1.18	水泥	河北	3.46	13.72	88017	111926	  0.79	94	4135	--  	         13.47	
000537	广宇发展	1.30	9.35	0.12	9.34	9.35	61992	1172	0.21	          1.21	9.20	9.36	9.20	9.23	    14.34	57698436	  0.82	区域地产	天津	1.73	9.31	26020	35971	  0.72	1185	657	--  	          5.13	
000638	万方发展	-0.35	14.35	-0.05	14.35	14.36	43238	509	0.00	          1.40	14.31	14.35	14.00	14.40	   397.63	61409332	  0.41	批发业	辽宁	2.43	14.20	24402	18835	  1.30	202	113	--  	          3.09	
000687	华讯方舟	0.41	16.99	0.07	16.98	16.99	110775	2692	0.23	          2.08	16.96	17.21	16.75	16.92	    79.47	187441888	  0.69	通信设备	河北	2.72	16.92	61312	49462	  1.24	140	1475	--  	          5.31	
000797	中国武夷	1.73	18.80	0.32	18.80	18.81	39903	456	0.00	          0.93	18.53	18.96	18.50	18.48	   552.51	74701808	  1.30	全国地产	福建	2.49	18.72	20135	19767	  1.02	3	133	--  	          4.28	
000848	承德露露	0.63	11.25	0.07	11.25	11.26	65021	713	0.00	          0.66	11.20	11.30	11.12	11.18	    22.68	73043752	  1.06	软饮料	河北	1.61	11.23	31807	33213	  0.96	797	4514	--  	          9.78	
000856	*ST冀装	1.20	15.17	0.18	15.16	15.17	21961	197	0.13	          0.97	14.90	15.24	14.86	14.99	    44.98	33121570	  0.85	机械基件	河北	2.54	15.08	10898	11062	  0.99	100	61	--  	          2.27	
000897	津滨发展	1.44	4.93	0.07	4.92	4.93	155311	2490	0.20	          0.96	4.82	4.95	4.80	4.86	   114.63	76195880	  0.78	区域地产	天津	3.09	4.91	68157	87154	  0.78	834	3783	--  	         16.17	
000923	河北宣工	-0.59	21.77	-0.13	21.77	21.78	51332	971	0.04	          2.59	21.90	22.03	21.26	21.90	--  	111110248	  0.64	工程机械	河北	3.52	21.65	26176	25156	  1.04	288	42	--  	          1.98	
000965	天保基建	0.72	7.02	0.05	7.01	7.02	68337	990	0.00	          0.68	6.97	7.04	6.90	6.97	    45.61	47641720	  0.65	区域地产	天津	2.01	6.97	35843	32494	  1.10	1619	278	--  	         10.09	
002108	沧州明珠	3.09	23.33	0.70	23.32	23.33	329137	2966	0.08	          5.36	22.50	23.59	22.31	22.63	    28.99	764659136	  1.74	塑料	河北	5.66	23.23	145387	183750	  0.79	274	8	--  	          6.14	
002146	荣盛发展	2.11	9.19	0.19	9.18	9.19	353195	2939	0.10	          0.91	8.98	9.28	8.81	9.00	    13.78	323110976	  2.11	全国地产	河北	5.22	9.15	158849	194346	  0.82	424	701	--  	         38.89	
002282	博深工具	--  	13.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.80	   252.38	0	  0.00	轻工机械	河北	0.00	13.80	0	0	--  	0	0	--  	          1.88	
002342	巨力索具	1.38	8.11	0.11	8.11	8.12	199781	2479	0.12	          2.31	8.01	8.16	7.88	8.00	   283.80	160534416	  0.72	机械基件	河北	3.50	8.04	107594	92187	  1.17	2150	2347	--  	          8.66	
002442	龙星化工	0.66	13.70	0.09	13.69	13.70	31043	214	-0.14	          0.97	13.65	13.76	13.43	13.61	   335.88	42491848	  1.77	化工原料	河北	2.42	13.69	13479	17563	  0.77	33	85	--  	          3.20	
002691	冀凯股份	1.22	24.10	0.29	24.10	24.11	19321	572	0.00	          0.97	23.91	24.16	23.81	23.81	   398.47	46450264	  0.54	专用机械	河北	1.47	24.04	8832	10489	  0.84	263	36	--  	          1.99	
300034	钢研高纳	3.53	22.00	0.75	22.00	22.01	77040	1186	-0.04	          1.84	21.20	22.06	21.08	21.25	   101.90	167713648	  1.60	小金属	北京	4.61	21.77	34043	42996	  0.79	255	928	--  	          4.18	
300107	建新股份	0.14	7.11	0.01	7.10	7.11	29602	177	0.14	          0.88	7.05	7.12	6.99	7.10	   173.45	20927844	  0.57	化工原料	河北	1.83	7.07	14842	14759	  1.01	178	233	--  	          3.37	
300137	先河环保	0.78	15.53	0.12	15.52	15.53	59526	1099	0.19	          2.01	15.39	15.57	15.21	15.41	    57.32	91872728	  0.76	环境保护	河北	2.34	15.43	34529	24996	  1.38	210	93	--  	          2.96	
300371	汇中股份	0.92	29.73	0.27	29.73	29.74	16964	378	0.10	          3.02	29.59	29.79	29.10	29.46	    90.17	50185160	  0.96	电器仪表	河北	2.34	29.58	6598	10366	  0.64	8	34	--  	          0.56	
600135	乐凯胶片	1.55	15.06	0.23	15.05	15.06	88829	36	0.00	          2.41	14.89	15.15	14.72	14.83	   101.71	133476176	  0.95	化工原料	河北	2.90	15.03	39769	49059	  0.81	359	574	--  	          3.68	
600149	廊坊发展	0.62	21.00	0.13	21.00	21.01	99081	12	0.04	          2.61	20.72	21.18	20.41	20.87	--  	205862992	  1.08	综合类	河北	3.69	20.78	45456	53625	  0.85	24	86	--  	          3.80	
600155	宝硕股份	0.22	13.58	0.03	13.58	13.59	36759	1	-0.07	          0.89	13.50	13.62	13.39	13.55	--  	49598280	  1.36	其他建材	河北	1.70	13.49	22567	14191	  1.59	168	205	--  	          4.13	
600158	中体产业	-1.04	19.89	-0.21	19.88	19.89	197019	30	0.25	          3.00	19.97	19.97	19.59	20.10	   614.81	390110176	  0.96	文教休闲	天津	1.89	19.80	110911	86108	  1.29	302	531	--  	          6.57	
