代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000155	*ST川化	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	农药化肥	四川	--  	0.00	0	0	--  	0	0	--  	          9.37	
000541	佛山照明	0.10	10.51	0.01	10.50	10.51	72599	620	0.00	          0.74	10.54	10.58	10.33	10.50	    35.80	75995360	  0.57	家用电器	广东	2.38	10.47	38001	34597	  1.10	840	323	--  	          9.75	
000601	韶能股份	0.00	8.44	0.00	8.43	8.44	96015	1974	0.00	          0.89	8.43	8.45	8.33	8.44	    14.92	80518920	  0.75	水力发电	广东	1.42	8.39	59224	36790	  1.61	126	570	--  	         10.80	
000619	海螺型材	1.64	13.01	0.21	13.01	13.02	55858	1048	0.15	          1.55	12.81	13.04	12.63	12.80	    38.60	72109608	  1.24	其他建材	安徽	3.20	12.91	24010	31847	  0.75	949	784	--  	          3.60	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	0	--  	0	0	--  	          4.54	
000755	山西三维	1.11	8.21	0.09	8.21	8.22	57064	1149	0.24	          1.22	8.11	8.22	8.00	8.12	--  	46253672	  1.00	化工原料	山西	2.71	8.11	24833	32230	  0.77	279	871	--  	          4.69	
000786	北新建材	0.59	11.84	0.07	11.82	11.84	107151	644	-0.16	          0.78	11.70	11.92	11.59	11.77	    20.30	126266888	  0.67	其他建材	北京	2.80	11.78	54942	52208	  1.05	91	77	--  	         13.78	
000826	启迪桑德	1.23	34.50	0.42	34.49	34.50	32952	617	0.00	          0.39	34.08	34.55	33.88	34.08	    30.87	112715056	  1.22	环境保护	湖北	1.97	34.21	15578	17374	  0.90	28	543	--  	          8.47	
000833	贵糖股份	0.32	9.40	0.03	9.40	9.41	59123	874	0.00	          1.56	9.37	9.42	9.26	9.37	--  	55353628	  0.78	造纸	广西	1.71	9.36	26033	33090	  0.79	622	716	--  	          3.78	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	0	--  	0	0	--  	          3.34	
000932	华菱钢铁	0.39	5.13	0.02	5.13	5.14	94677	1133	0.00	          0.31	5.11	5.13	5.07	5.11	--  	48342568	  0.75	普钢	湖南	1.17	5.11	48778	45899	  1.06	85	3448	--  	         30.15	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
002009	天奇股份	1.78	14.87	0.26	14.86	14.87	51004	650	0.13	          1.92	14.60	14.88	14.55	14.61	    62.93	75376616	  1.18	工程机械	江苏	2.26	14.78	18844	32160	  0.59	435	617	--  	          2.66	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002028	思源电气	5.08	16.35	0.79	16.35	16.36	125669	3467	0.06	          2.17	15.71	16.36	15.45	15.56	    39.15	201148784	  1.11	电气设备	上海	5.85	16.01	50736	74932	  0.68	3	346	--  	          5.79	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002076	雪 莱 特	4.14	13.85	0.55	13.84	13.85	75281	4010	0.50	          3.55	13.40	13.85	13.23	13.30	   103.76	102690536	  1.90	家用电器	广东	4.66	13.64	27074	48206	  0.56	693	1225	--  	          2.12	
002083	孚日股份	0.42	7.17	0.03	7.16	7.17	52267	431	0.00	          0.61	7.14	7.17	7.11	7.14	    20.20	37375308	  0.89	纺织	山东	0.84	7.15	26855	25411	  1.06	549	1016	--  	          8.56	
002088	鲁阳节能	-0.16	18.60	-0.03	18.60	18.62	14513	126	0.10	          1.06	18.63	18.73	18.37	18.63	    51.06	26976292	  0.66	矿物制品	山东	1.93	18.59	7765	6748	  1.15	120	102	--  	          1.37	
002091	江苏国泰	1.68	13.96	0.23	13.96	13.97	114770	838	0.07	          2.17	13.75	14.05	13.57	13.73	    52.22	159609024	  2.38	商贸代理	江苏	3.50	13.91	45751	69018	  0.66	190	376	--  	          5.30	
002123	梦网荣信	0.74	15.01	0.11	15.00	15.01	46551	430	0.06	          0.76	14.90	15.02	14.79	14.90	    57.54	69485040	  0.67	互联网	辽宁	1.54	14.93	22563	23988	  0.94	440	115	--  	          6.11	
002145	中核钛白	-0.91	6.55	-0.06	6.55	6.56	415088	4523	0.00	          4.06	6.60	6.60	6.45	6.61	   168.60	271211520	  0.86	化工原料	甘肃	2.27	6.53	231125	183963	  1.26	5116	4359	--  	         10.22	
002169	智光电气	-0.58	20.65	-0.12	20.65	20.66	103772	1872	0.09	          4.13	20.74	20.74	20.25	20.77	    67.37	212935968	  0.66	电气设备	广东	2.36	20.52	58498	45274	  1.29	588	236	--  	          2.51	
002202	金风科技	0.61	16.40	0.10	16.40	16.41	89447	516	0.00	          0.41	16.30	16.43	16.26	16.30	    15.72	146274704	  0.99	电气设备	新疆	1.04	16.35	49208	40239	  1.22	1439	1043	--  	         21.58	
002227	奥 特 迅	-0.23	25.60	-0.06	25.59	25.60	20518	312	0.03	          0.93	25.60	25.76	25.30	25.66	--  	52411248	  0.86	电气设备	深圳	1.79	25.54	11225	9293	  1.21	363	467	--  	          2.20	
002255	海陆重工	--  	10.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.06	    91.10	0	  0.00	专用机械	江苏	0.00	10.06	0	0	--  	0	0	--  	          4.42	
600010	包钢股份	-0.32	3.10	-0.01	3.10	3.11	677109	23	0.00	          0.43	3.11	3.12	3.08	3.11	   321.75	209445120	  1.04	普钢	内蒙	1.29	3.09	440420	236689	  1.86	22101	23067	--  	        157.42	
600011	华能国际	1.17	7.75	0.09	7.74	7.75	91327	1	0.38	          0.09	7.64	7.79	7.57	7.66	     9.41	70258592	  0.40	火力发电	北京	2.87	7.69	39228	52099	  0.75	52	212	--  	        105.00	
600022	山东钢铁	1.10	2.76	0.03	2.75	2.76	483450	7	0.00	          0.59	2.72	2.76	2.70	2.73	   713.21	132371800	  0.97	普钢	山东	2.20	2.74	233128	250322	  0.93	25950	40143	--  	         82.22	
600089	特变电工	1.06	10.53	0.11	10.54	10.55	437797	51	0.19	          1.37	10.46	10.62	10.36	10.42	    14.47	458537184	  1.35	电气设备	新疆	2.50	10.47	222598	215198	  1.03	1480	1624	--  	         32.00	
600112	天成控股	0.28	10.84	0.03	10.83	10.84	125285	10	-0.09	          2.46	10.70	10.87	10.65	10.81	   754.37	135066144	  0.63	电气设备	贵州	2.04	10.78	67474	57811	  1.17	1450	652	--  	          5.09	
600123	兰花科创	1.13	8.04	0.09	8.04	8.05	120926	10	0.12	          1.06	7.92	8.05	7.89	7.95	--  	96685512	  0.57	煤炭开采	山西	2.01	8.00	46343	74583	  0.62	165	1808	--  	         11.42	
600131	岷江水电	0.09	10.88	0.01	10.89	10.90	57735	2	0.00	          1.45	10.88	10.90	10.59	10.87	    25.05	62088912	  0.55	水力发电	四川	2.85	10.75	31098	26636	  1.17	24	426	--  	          3.97	
600151	航天机电	0.00	10.97	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.97	   126.25	0	  0.00	半导体	上海	0.00	10.97	0	0	--  	0	0	--  	         12.50	
600160	巨化股份	2.70	12.15	0.32	12.16	12.17	303207	90	0.33	          1.67	11.79	12.16	11.70	11.83	   272.30	363280384	  1.36	化工原料	浙江	3.89	11.98	143798	159408	  0.90	110	1108	--  	         18.11	
600188	兖州煤业	1.56	10.42	0.16	10.41	10.42	86119	4	0.00	          0.29	10.26	10.47	10.16	10.26	    37.71	89231688	  1.01	煤炭开采	山东	3.02	10.36	38672	47446	  0.82	247	562	--  	         29.60	
600202	哈空调	1.08	13.05	0.14	13.04	13.05	65004	20	0.00	          1.70	12.92	13.12	12.72	12.91	--  	84511288	  0.60	电气设备	黑龙江	3.10	13.00	29969	35035	  0.86	121	94	--  	          3.83	
600261	阳光照明	-0.79	7.57	-0.06	7.56	7.57	136930	14	0.00	          0.94	7.60	7.62	7.50	7.63	    23.24	103228696	  1.58	家用电器	浙江	1.57	7.54	88016	48914	  1.80	6118	606	--  	         14.52	
600282	南钢股份	-0.27	3.67	-0.01	3.67	3.68	552845	259	-0.27	          1.43	3.60	3.70	3.58	3.68	    41.11	201314592	  0.81	普钢	江苏	3.26	3.64	302751	250093	  1.21	6155	404	--  	         38.76	
600290	华仪电气	0.51	11.80	0.06	11.80	11.81	256451	16	0.00	          4.87	11.62	12.14	11.61	11.74	   217.47	306187200	  2.64	电气设备	浙江	4.51	11.94	94043	162408	  0.58	245	60	--  	          5.27	
600292	远达环保	0.84	12.04	0.10	12.04	12.05	40525	96	0.24	          0.52	11.95	12.04	11.87	11.94	    62.24	48482376	  0.74	环境保护	重庆	1.42	11.96	15176	25349	  0.60	458	333	--  	          7.81	
600309	万华化学	0.41	26.75	0.11	26.74	26.75	206678	15	0.18	          0.96	26.43	27.08	26.43	26.64	    18.28	553718784	  0.89	化工原料	山东	2.44	26.79	102471	104207	  0.98	15	177	--  	         21.62	
600348	阳泉煤业	1.91	6.94	0.13	6.93	6.94	240602	10	-0.14	          1.00	6.82	6.95	6.76	6.81	    98.59	165568912	  0.79	煤炭开采	山西	2.79	6.88	90219	150382	  0.60	617	2	--  	         24.05	
600360	华微电子	2.03	9.04	0.18	9.02	9.03	123035	31	0.00	          1.67	8.88	9.08	8.75	8.86	   131.84	109990672	  2.01	半导体	吉林	3.72	8.94	49753	73282	  0.68	163	5	--  	          7.38	
600366	宁波韵升	1.05	20.16	0.21	20.16	20.17	57042	100	0.04	          1.08	19.92	20.17	19.87	19.95	    10.86	114288928	  0.65	电器仪表	浙江	1.50	20.04	26201	30840	  0.85	164	474	--  	          5.29	
600388	龙净环保	0.70	12.94	0.09	12.94	12.95	111545	62	0.07	          1.04	12.85	12.95	12.71	12.85	    24.15	143248896	  0.79	环境保护	福建	1.87	12.84	50706	60838	  0.83	107	320	--  	         10.69	
600392	盛和资源	3.71	13.41	0.48	13.42	13.43	262989	23	0.22	          2.79	12.88	13.48	12.87	12.93	--  	349973920	  1.67	小金属	山西	4.72	13.31	114577	148411	  0.77	14	588	--  	          9.41	
600396	金山股份	0.39	5.18	0.02	5.17	5.18	47131	30	0.19	          0.40	5.16	5.18	5.11	5.16	    27.65	24312224	  1.02	火力发电	辽宁	1.36	5.16	19951	27179	  0.73	2544	3871	--  	         11.65	
600416	湘电股份	1.89	17.23	0.32	17.22	17.23	170118	60	0.34	          2.42	16.90	17.39	16.84	16.91	   125.36	292364608	  1.21	电气设备	湖南	3.25	17.19	77617	92501	  0.84	7	242	--  	          7.03	
600419	天润乳业	2.84	58.39	1.61	58.39	58.40	10100	3	0.10	          1.13	56.91	58.60	56.91	56.78	    60.75	58808908	  0.86	乳制品	新疆	2.98	58.23	4318	5781	  0.75	13	66	--  	          0.89	
600423	柳化股份	-0.65	7.60	-0.05	7.59	7.60	108294	303	-0.39	          2.71	7.58	7.65	7.51	7.65	--  	82047504	  0.47	农药化肥	广西	1.83	7.58	63107	45186	  1.40	335	497	--  	          3.99	
600426	华鲁恒升	-0.59	13.42	-0.08	13.40	13.41	135591	48	0.37	          1.09	13.49	13.49	13.11	13.50	    19.46	179734400	  1.04	农药化肥	山东	2.81	13.26	82817	52773	  1.57	41	23	--  	         12.40	
600475	华光股份	0.45	20.10	0.09	20.10	20.11	22884	21	0.09	          0.89	19.92	20.19	19.90	20.01	    55.08	45944244	  0.99	专用机械	江苏	1.45	20.08	10906	11978	  0.91	27	181	--  	          2.56	
600499	科达洁能	0.99	8.20	0.08	8.19	8.20	142569	27	0.12	          1.04	8.09	8.22	8.05	8.12	    24.16	116483080	  0.97	专用机械	广东	2.09	8.17	64809	77760	  0.83	377	358	--  	         13.77	
600509	天富能源	0.25	8.03	0.02	8.03	8.04	68257	6	0.00	          0.75	8.01	8.04	7.90	8.01	    19.94	54358592	  0.81	火力发电	新疆	1.75	7.96	36591	31665	  1.16	333	1064	--  	          9.06	
600550	保变电气	-0.29	6.89	-0.02	6.88	6.89	91893	20	0.14	          0.67	6.91	6.92	6.80	6.91	   721.95	62961648	  1.26	电气设备	河北	1.74	6.85	52152	39741	  1.31	1304	477	--  	         13.73	
600569	安阳钢铁	0.86	3.50	0.03	3.49	3.50	218348	12	0.28	          0.91	3.46	3.51	3.38	3.47	    44.75	75394432	  0.95	普钢	河南	3.75	3.45	105954	112393	  0.94	2598	8812	--  	         23.94	
600578	京能电力	0.00	4.30	0.00	4.30	4.31	70314	100	0.00	          0.15	4.30	4.31	4.27	4.30	    17.45	30214248	  0.97	火力发电	北京	0.93	4.30	41054	29259	  1.40	3181	1655	--  	         46.17	
600585	海螺水泥	1.74	20.41	0.35	20.40	20.41	162494	7	0.14	          0.41	20.12	20.47	20.09	20.06	    13.59	329664704	  1.28	水泥	安徽	1.89	20.29	57455	105038	  0.55	18	2	--  	         40.00	
