代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000558	莱茵体育	--  	14.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.75	   503.23	0	  0.00	文教休闲	浙江	0.00	14.75	0	0	--  	0	0	--  	          7.64	
000599	青岛双星	3.04	8.80	0.26	8.79	8.80	304686	3393	0.00	          4.85	8.51	8.88	8.44	8.54	    54.91	265639280	  2.50	汽车配件	山东	5.15	8.72	134030	170655	  0.79	1072	4017	--  	          6.28	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000720	新能泰山	0.16	6.43	0.01	6.42	6.43	56958	1015	0.00	          0.66	6.45	6.46	6.34	6.42	--  	36408100	  0.98	火力发电	山东	1.87	6.39	31259	25698	  1.22	1342	1565	--  	          8.63	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
002027	分众传媒	-0.60	11.63	-0.07	11.63	11.64	277595	2338	0.08	          0.78	11.73	11.73	11.50	11.70	    24.22	322380288	  1.01	软件服务	广东	1.97	11.61	160843	116752	  1.38	2886	1262	--  	         35.43	
002052	同洲电子	-0.31	9.80	-0.03	9.80	9.81	74012	1050	0.10	          1.19	9.82	9.83	9.66	9.83	--  	72159488	  0.62	通信设备	深圳	1.73	9.75	41163	32848	  1.25	143	300	--  	          6.21	
002081	金 螳 螂	5.47	11.37	0.59	11.37	11.38	475675	3822	-0.17	          1.89	10.88	11.49	10.88	10.78	    16.53	535127424	  3.13	装修装饰	江苏	5.66	11.25	204645	271029	  0.76	880	1346	--  	         25.18	
002098	浔兴股份	1.92	17.48	0.33	17.47	17.48	407360	4156	0.05	         13.14	17.33	17.85	17.11	17.15	    54.35	712171456	  3.89	服饰	福建	4.31	17.48	184253	223106	  0.83	1032	159	--  	          3.10	
002105	信隆健康	0.37	13.49	0.05	13.49	13.50	199085	4632	-0.07	          5.40	13.30	13.62	12.93	13.44	   167.29	262707472	  1.24	文教休闲	深圳	5.13	13.20	102683	96401	  1.07	534	155	--  	          3.69	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	0	--  	0	0	--  	          7.62	
002181	粤 传 媒	-0.28	7.20	-0.02	7.20	7.21	26045	189	-0.13	          0.23	7.19	7.23	7.09	7.22	--  	18692818	  0.47	出版业	广东	1.94	7.18	14395	11649	  1.24	859	207	--  	         11.41	
002346	柘中股份	-2.23	35.10	-0.80	35.10	35.11	106241	2416	0.05	         13.31	35.94	36.04	34.58	35.90	   966.37	373110720	  0.58	电气设备	上海	4.07	35.12	57255	48985	  1.17	1326	8	--  	          0.80	
002395	双象股份	-0.41	24.03	-0.10	24.03	24.04	28275	353	0.16	          1.58	24.29	24.29	23.82	24.13	   133.57	67934392	  0.88	塑料	江苏	1.95	24.03	16275	11999	  1.36	276	9	--  	          1.79	
002431	棕榈股份	-0.11	9.08	-0.01	9.08	9.09	157084	812	0.00	          1.74	9.07	9.10	8.93	9.09	   110.45	141536544	  1.06	建筑施工	广东	1.87	9.01	79093	77990	  1.01	3652	9942	--  	          9.04	
002482	广田集团	0.43	9.30	0.04	9.29	9.30	124220	861	0.10	          0.95	9.23	9.43	9.19	9.26	    36.31	115623464	  1.27	装修装饰	深圳	2.59	9.31	59779	64441	  0.93	41	1342	--  	         13.10	
002587	奥拓电子	-0.50	13.88	-0.07	13.88	13.89	114668	2555	-0.07	          4.82	13.86	13.92	13.68	13.95	    71.77	158250272	  1.29	元器件	深圳	1.72	13.80	67207	47460	  1.42	1161	521	--  	          2.38	
002615	哈尔斯	0.11	17.59	0.02	17.55	17.59	20261	175	0.11	          1.31	17.66	17.75	17.31	17.57	    42.57	35670972	  0.91	家居用品	浙江	2.50	17.61	8729	11531	  0.76	40	11	--  	          1.54	
002652	扬子新材	--  	18.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.11	    70.46	0	  0.00	其他建材	江苏	0.00	18.11	0	0	--  	0	0	--  	          2.60	
002701	奥瑞金	-0.11	8.69	-0.01	8.68	8.69	131188	972	0.11	          0.73	8.70	8.73	8.61	8.70	    15.01	113639544	  0.87	广告包装	北京	1.38	8.66	59049	72138	  0.82	2296	609	--  	         18.00	
002780	三夫户外	0.18	66.50	0.12	66.50	66.51	16434	211	0.10	          4.42	66.05	67.34	64.51	66.38	   126.87	108249368	  0.65	其他商业	北京	4.26	65.87	8398	8036	  1.05	19	1	--  	          0.37	
300005	探路者	1.04	14.60	0.15	14.59	14.60	49725	667	0.06	          1.43	14.47	14.62	14.42	14.45	    64.84	72253400	  0.69	服饰	北京	1.38	14.53	20520	29204	  0.70	842	819	--  	          3.49	
300043	星辉娱乐	0.30	9.95	0.03	9.95	9.96	83399	1905	0.00	          1.06	9.91	9.98	9.78	9.92	    25.02	82436928	  1.12	文教休闲	广东	2.02	9.88	43475	39923	  1.09	78	593	--  	          7.89	
300162	雷曼股份	0.21	14.30	0.03	14.30	14.31	28115	707	-0.06	          1.28	14.27	14.37	14.06	14.27	    91.33	39954596	  0.67	元器件	深圳	2.17	14.21	16553	11562	  1.43	256	103	--  	          2.19	
300291	华录百纳	-0.65	21.45	-0.14	21.44	21.45	49434	938	-0.04	          1.02	21.59	21.81	21.29	21.59	    73.02	106169224	  0.75	影视音像	北京	2.41	21.48	27641	21793	  1.27	53	699	--  	          4.86	
300389	艾比森	-0.05	21.25	-0.01	21.25	21.26	15472	360	0.00	          1.67	21.11	21.52	20.71	21.26	    52.70	32726900	  0.98	半导体	深圳	3.81	21.15	9136	6335	  1.44	226	38	--  	          0.93	
300431	暴风集团	-0.43	41.85	-0.18	41.85	41.86	63978	1280	0.04	          3.33	41.97	41.99	41.11	42.03	   448.79	266022976	  0.64	互联网	北京	2.09	41.58	34098	29879	  1.14	464	128	--  	          1.92	
600132	重庆啤酒	1.98	21.61	0.42	21.58	21.60	36635	69	0.46	          0.76	21.01	21.65	20.81	21.19	    29.76	77958360	  0.76	啤酒	重庆	3.96	21.28	15721	20913	  0.75	7	25	--  	          4.84	
600136	当代明诚	0.00	16.79	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	16.79	    66.95	0	  0.00	影视音像	湖北	0.00	16.79	0	0	--  	0	0	--  	          2.48	
600139	西部资源	1.20	10.94	0.13	10.91	10.93	47710	28	0.27	          0.72	10.67	10.99	10.67	10.81	--  	51730916	  1.20	铜	四川	2.96	10.84	19046	28664	  0.66	20	85	--  	          6.62	
600158	中体产业	-1.04	19.89	-0.21	19.88	19.89	197019	30	0.25	          3.00	19.97	19.97	19.59	20.10	   614.81	390110176	  0.96	文教休闲	天津	1.89	19.80	110911	86108	  1.29	302	531	--  	          6.57	
600257	大湖股份	-0.30	9.93	-0.03	9.92	9.94	50784	410	0.20	          1.19	10.00	10.01	9.85	9.96	   684.55	50334912	  1.06	渔业	湖南	1.61	9.91	27390	23394	  1.17	160	468	--  	          4.27	
600287	江苏舜天	-0.20	9.98	-0.02	9.98	9.99	37141	1	-0.10	          0.85	9.99	10.00	9.85	10.00	    79.42	36880552	  1.12	商贸代理	江苏	1.50	9.93	17999	19142	  0.94	30	224	--  	          4.37	
600358	国旅联合	0.00	10.53	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.53	--  	0	  0.00	旅游服务	江苏	0.00	10.53	0	0	--  	0	0	--  	          4.32	
600814	杭州解百	-1.01	11.79	-0.12	11.78	11.79	76292	120	0.00	          2.46	11.85	11.90	11.58	11.91	    46.60	89328288	  1.06	百货	浙江	2.69	11.71	43083	33209	  1.30	52	107	--  	          3.10	
600826	兰生股份	0.37	27.08	0.10	27.07	27.08	29620	4	0.25	          0.70	27.10	27.16	26.73	26.98	    13.55	80055144	  0.88	商贸代理	上海	1.59	27.03	15464	14156	  1.09	14	43	--  	          4.21	
600881	亚泰集团	0.00	5.90	0.00	5.91	5.92	126672	31	-0.16	          0.67	5.88	5.93	5.85	5.90	    98.26	74657296	  0.95	水泥	吉林	1.36	5.89	70899	55772	  1.27	20	2784	--  	         18.95	
601718	际华集团	1.49	8.83	0.13	8.82	8.83	163376	130	0.00	          0.42	8.70	8.85	8.70	8.70	    33.20	143620624	  0.69	服饰	北京	1.72	8.79	64436	98939	  0.65	468	647	--  	         38.57	
603555	贵人鸟	0.00	30.76	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	30.76	    81.44	0	  0.00	服饰	福建	0.00	30.76	0	0	--  	0	0	--  	          6.14	
数据来源:通达信
