代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000002	万 科Ａ	0.53	20.71	0.11	20.70	20.71	419235	4981	-0.04	          0.43	20.65	20.88	20.51	20.60	    20.75	869278720	  1.31	全国地产	深圳	1.80	20.73	201506	217729	  0.93	1384	10078	--  	         97.08	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000031	中粮地产	0.24	8.34	0.02	8.34	8.35	77967	1064	0.00	          0.43	8.31	8.36	8.21	8.32	   147.87	64737916	  0.80	全国地产	深圳	1.80	8.30	39721	38246	  1.04	947	2199	--  	         18.14	
000401	冀东水泥	1.84	13.84	0.25	13.83	13.84	199943	2658	0.07	          1.48	13.59	13.87	13.40	13.59	--  	274311936	  1.18	水泥	河北	3.46	13.72	88017	111926	  0.79	94	4135	--  	         13.47	
000540	中天城投	2.76	6.70	0.18	6.69	6.70	414902	7851	0.00	          1.05	6.52	6.75	6.44	6.52	    11.50	274821088	  2.09	区域地产	贵州	4.75	6.62	157088	257813	  0.61	3819	2627	--  	         39.46	
000619	海螺型材	1.64	13.01	0.21	13.01	13.02	55858	1048	0.15	          1.55	12.81	13.04	12.63	12.80	    38.60	72109608	  1.24	其他建材	安徽	3.20	12.91	24010	31847	  0.75	949	784	--  	          3.60	
000620	新华联	0.00	8.52	0.00	8.51	8.52	49502	488	0.00	          0.27	8.51	8.53	8.36	8.52	    76.53	41967960	  0.79	全国地产	北京	2.00	8.48	25402	24099	  1.05	254	5	--  	         18.37	
000786	北新建材	0.59	11.84	0.07	11.82	11.84	107151	644	-0.16	          0.78	11.70	11.92	11.59	11.77	    20.30	126266888	  0.67	其他建材	北京	2.80	11.78	54942	52208	  1.05	91	77	--  	         13.78	
000789	万年青	0.90	8.98	0.08	8.97	8.98	143007	9014	0.00	          2.33	8.82	9.02	8.73	8.90	    24.92	127511960	  0.68	水泥	江西	3.26	8.92	67815	75192	  0.90	627	33	--  	          6.13	
000877	天山股份	-0.97	14.25	-0.14	14.24	14.25	1167453	14730	0.14	         13.27	14.23	14.68	14.07	14.39	  2173.41	1672318976	  1.03	水泥	新疆	4.24	14.32	634918	532535	  1.19	11740	810	--  	          8.80	
000926	福星股份	1.28	12.63	0.16	12.62	12.63	184434	2752	0.00	          1.94	12.53	12.65	12.43	12.47	    13.45	231688496	  1.87	区域地产	湖北	1.76	12.56	73896	110538	  0.67	1460	79	--  	          9.48	
000983	西山煤电	1.21	9.21	0.11	9.21	9.22	303329	1327	0.10	          0.96	9.08	9.31	8.97	9.10	   107.23	278111840	  1.00	煤炭开采	山西	3.74	9.17	126484	176844	  0.72	385	313	--  	         31.51	
002233	塔牌集团	0.65	10.88	0.07	10.88	10.89	93478	1507	0.09	          1.23	10.77	10.91	10.61	10.81	    21.43	100853112	  0.65	水泥	广东	2.78	10.79	44861	48617	  0.92	696	2034	--  	          7.58	
002346	柘中股份	-2.23	35.10	-0.80	35.10	35.11	106241	2416	0.05	         13.31	35.94	36.04	34.58	35.90	   966.37	373110720	  0.58	电气设备	上海	4.07	35.12	57255	48985	  1.17	1326	8	--  	          0.80	
002359	齐星铁塔	0.40	27.52	0.11	27.52	27.54	44090	176	0.03	          1.06	27.50	27.80	27.35	27.41	--  	121282976	  0.91	钢加工	山东	1.64	27.51	22336	21754	  1.03	8	32	--  	          4.17	
002367	康力电梯	0.82	13.56	0.11	13.56	13.57	59688	627	0.00	          1.30	13.55	13.60	13.48	13.45	    22.05	80801216	  1.37	运输设备	江苏	0.89	13.54	31712	27975	  1.13	294	302	--  	          4.60	
002372	伟星新材	1.23	18.95	0.23	18.95	18.96	72497	693	0.15	          1.07	18.98	19.37	18.80	18.72	    21.92	138540192	  1.11	其他建材	浙江	3.04	19.11	33660	38837	  0.87	161	19	--  	          6.80	
300093	金刚玻璃	0.25	23.73	0.06	23.73	23.74	27945	258	0.21	          1.30	23.60	23.95	23.33	23.67	  7284.93	66215804	  0.88	玻璃	广东	2.62	23.70	15713	12231	  1.28	574	11	--  	          2.15	
300196	长海股份	-1.05	35.80	-0.38	35.80	35.81	17908	252	0.05	          1.67	36.18	36.18	35.52	36.18	    29.35	63844064	  0.85	玻璃	江苏	1.82	35.65	10418	7490	  1.39	95	10	--  	          1.07	
600022	山东钢铁	1.10	2.76	0.03	2.75	2.76	483450	7	0.00	          0.59	2.72	2.76	2.70	2.73	   713.21	132371800	  0.97	普钢	山东	2.20	2.74	233128	250322	  0.93	25950	40143	--  	         82.22	
600048	保利地产	4.78	10.09	0.46	10.09	10.10	1911091	88	0.19	          1.78	9.62	10.23	9.54	9.63	    12.62	1906569984	  4.47	全国地产	广东	7.17	9.98	929999	981091	  0.95	5705	1249	--  	        107.60	
600117	西宁特钢	0.34	5.84	0.02	5.84	5.85	72760	474	0.00	          0.98	5.78	5.85	5.72	5.82	--  	42223448	  0.67	特种钢	青海	2.23	5.80	35979	36781	  0.98	546	1208	--  	          7.41	
600149	廊坊发展	0.62	21.00	0.13	21.00	21.01	99081	12	0.04	          2.61	20.72	21.18	20.41	20.87	--  	205862992	  1.08	综合类	河北	3.69	20.78	45456	53625	  0.85	24	86	--  	          3.80	
600165	新日恒力	1.48	15.80	0.23	15.73	15.75	154918	10	1.60	          2.26	15.58	15.85	15.10	15.57	--  	240994528	  0.87	钢加工	宁夏	4.82	15.56	65211	89707	  0.73	437	36	--  	          6.85	
600170	上海建工	0.61	4.92	0.03	4.91	4.92	286494	30	0.00	          0.41	4.90	4.93	4.85	4.89	    16.67	140205472	  1.04	建筑施工	上海	1.64	4.89	142203	144291	  0.99	5437	154	--  	         69.06	
600173	卧龙地产	0.00	11.48	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.48	   103.10	0	  0.00	全国地产	浙江	0.00	11.48	0	0	--  	0	0	--  	          7.25	
600184	光电股份	1.60	24.11	0.38	24.09	24.10	35505	36	0.20	          0.85	23.75	24.23	23.75	23.73	  1205.58	85304992	  0.79	专用机械	湖北	2.02	24.03	16079	19425	  0.83	48	3	--  	          4.19	
600208	新湖中宝	0.00	5.14	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	5.14	    47.74	0	  0.00	全国地产	浙江	0.00	5.14	0	0	--  	0	0	--  	         85.98	
600215	长春经开	-3.25	12.49	-0.42	12.50	12.51	249296	18	-0.15	          5.36	12.79	12.90	12.26	12.91	   288.58	310505888	  1.13	园区开发	吉林	4.96	12.46	138912	110384	  1.26	15	166	--  	          4.65	
600239	云南城投	0.00	6.55	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	6.55	--  	0	  0.00	区域地产	云南	0.00	6.55	0	0	--  	0	0	--  	         10.70	
600266	北京城建	2.41	14.42	0.34	14.41	14.42	296695	47	0.13	          1.96	14.01	14.44	13.94	14.08	    24.75	423540672	  2.18	区域地产	北京	3.55	14.28	121367	175327	  0.69	1732	1106	--  	         15.17	
600322	天房发展	0.47	6.36	0.03	6.35	6.36	51251	20	0.31	          0.46	6.34	6.42	6.29	6.33	--  	32517286	  0.67	区域地产	天津	2.05	6.34	28638	22612	  1.27	122	400	--  	         11.06	
600340	华夏幸福	1.49	27.33	0.40	27.33	27.34	354624	697	0.07	          1.20	26.77	27.87	26.65	26.93	    13.16	974895232	  2.01	区域地产	河北	4.53	27.49	169817	184806	  0.92	5	109	--  	         29.55	
600376	首开股份	3.29	12.87	0.41	12.87	12.88	286036	2	0.23	          1.28	12.42	13.00	12.33	12.46	    20.66	365095328	  2.64	区域地产	北京	5.38	12.76	117521	168515	  0.70	136	1302	--  	         22.42	
600383	金地集团	1.66	12.23	0.20	12.22	12.23	199653	21	0.24	          0.44	12.05	12.26	11.91	12.03	    24.15	241689808	  1.70	全国地产	深圳	2.91	12.11	70829	128824	  0.55	576	309	--  	         45.14	
600425	青松建化	-1.13	6.10	-0.07	6.10	6.11	459946	15	0.49	          3.34	6.13	6.13	5.95	6.17	--  	277914592	  0.91	水泥	新疆	2.92	6.04	251497	208448	  1.21	553	513	--  	         13.79	
600477	杭萧钢构	0.29	10.23	0.03	10.22	10.23	97777	92	0.19	          1.22	10.17	10.28	10.05	10.20	    27.12	99382560	  0.60	钢加工	浙江	2.25	10.16	50745	47032	  1.08	15	885	--  	          8.03	
600510	黑牡丹	1.41	9.32	0.13	9.31	9.32	84343	1	-0.10	          1.06	9.13	9.34	9.12	9.19	    27.62	78160792	  1.77	全国地产	江苏	2.39	9.27	37367	46976	  0.80	64	338	--  	          7.96	
600533	栖霞建设	-0.36	5.50	-0.02	5.51	5.52	89448	143	-0.18	          0.85	5.53	5.54	5.44	5.52	    92.85	49175920	  1.11	区域地产	江苏	1.81	5.50	60491	28957	  2.09	97	358	--  	         10.50	
600585	海螺水泥	1.74	20.41	0.35	20.40	20.41	162494	7	0.14	          0.41	20.12	20.47	20.09	20.06	    13.59	329664704	  1.28	水泥	安徽	1.89	20.29	57455	105038	  0.55	18	2	--  	         40.00	
600638	新黄浦	3.37	20.24	0.66	20.25	20.26	123403	51	-0.09	          2.20	19.58	20.47	19.53	19.58	    63.33	247867408	  1.71	区域地产	上海	4.80	20.09	49461	73942	  0.67	79	234	--  	          5.61	
600649	城投控股	0.00	20.34	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.34	    24.56	0	  0.00	区域地产	上海	0.00	20.34	0	0	--  	0	0	--  	         24.21	
600663	陆家嘴	-0.13	22.44	-0.03	22.43	22.44	27284	2	0.00	          0.11	22.33	22.46	22.25	22.47	    41.84	60949320	  1.21	园区开发	上海	0.93	22.34	15510	11773	  1.32	34	101	--  	         24.45	
600684	珠江实业	0.48	8.30	0.04	8.29	8.30	59788	9	0.12	          0.84	8.24	8.32	8.13	8.26	    17.24	49338340	  0.88	全国地产	广东	2.30	8.25	27825	31962	  0.87	606	448	--  	          7.11	
600720	祁连山	0.51	9.92	0.05	9.91	9.92	240488	20	0.20	          3.10	9.84	9.97	9.72	9.87	    28.34	237569808	  0.76	水泥	甘肃	2.53	9.88	119984	120503	  1.00	1311	902	--  	          7.76	
600773	西藏城投	2.04	13.02	0.26	13.02	13.03	104923	25	0.07	          1.44	12.80	13.10	12.70	12.76	   162.61	135851184	  1.24	区域地产	西藏	3.13	12.95	42674	62248	  0.69	56	580	--  	          7.29	
600782	新钢股份	0.73	4.13	0.03	4.13	4.14	375475	148	0.00	          1.35	4.10	4.14	4.04	4.10	    31.28	153440480	  0.98	钢加工	江西	2.44	4.09	228793	146681	  1.56	175	4536	--  	         27.87	
600801	华新水泥	0.64	9.37	0.06	9.36	9.37	124260	49	0.10	          1.28	9.30	9.39	9.20	9.31	    65.45	115820912	  0.71	水泥	湖北	2.04	9.32	56878	67382	  0.84	483	141	--  	          9.73	
600819	耀皮玻璃	0.93	8.70	0.08	8.70	8.71	53873	23	0.34	          0.72	8.64	8.71	8.53	8.62	   146.04	46455824	  0.89	玻璃	上海	2.09	8.62	29179	24693	  1.18	157	454	--  	          7.47	
600862	中航高科	1.22	12.42	0.15	12.40	12.42	39432	56	0.00	          0.50	12.32	12.45	12.21	12.27	   168.45	48739760	  0.54	航空	江苏	1.96	12.36	16351	23081	  0.71	216	37	--  	          7.90	
600876	洛阳玻璃	2.59	28.90	0.73	28.89	28.90	204505	91	-0.06	          8.18	30.20	30.44	28.26	28.17	--  	596629760	  8.78	玻璃	河南	7.74	29.17	92364	112141	  0.82	47	22	--  	          2.50	
600881	亚泰集团	0.00	5.90	0.00	5.91	5.92	126672	31	-0.16	          0.67	5.88	5.93	5.85	5.90	    98.26	74657296	  0.95	水泥	吉林	1.36	5.89	70899	55772	  1.27	20	2784	--  	         18.95	
600894	广日股份	0.65	13.86	0.09	13.85	13.86	37585	100	-0.07	          0.44	13.78	13.89	13.71	13.77	    10.60	51908428	  0.66	运输设备	广东	1.31	13.81	18211	19374	  0.94	282	145	--  	          8.60	
601618	中国中冶	0.82	4.91	0.04	4.90	4.91	421621	130	0.20	          0.26	4.83	4.91	4.81	4.87	    22.73	205583264	  0.83	建筑施工	北京	2.05	4.88	163486	258135	  0.63	2623	15240	--  	        162.39	
601668	中国建筑	0.58	8.67	0.05	8.67	8.68	1608789	222	0.00	          0.54	8.60	8.73	8.53	8.62	     7.88	1391473792	  0.81	建筑施工	北京	2.32	8.65	908214	700575	  1.30	392	11259	--  	        296.87	
601992	金隅股份	1.49	4.76	0.07	4.76	4.77	852472	66	-0.20	          1.19	4.68	4.80	4.64	4.69	    16.79	404184448	  1.81	水泥	北京	3.41	4.74	377073	475398	  0.79	2092	11017	--  	         71.43	
数据来源:通达信
