代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000547	航天发展	0.91	15.57	0.14	15.57	15.58	93983	1348	0.06	          1.04	15.43	15.62	15.37	15.43	   112.43	145818736	  0.55	通信设备	福建	1.62	15.52	45349	48634	  0.93	268	760	--  	          9.01	
000555	神州信息	1.15	22.94	0.26	22.93	22.94	92818	2076	0.08	          1.05	22.69	22.98	22.33	22.68	   134.40	210790160	  1.19	软件服务	深圳	2.87	22.71	48488	44329	  1.09	257	317	--  	          8.86	
000793	华闻传媒	1.12	10.85	0.12	10.84	10.85	346282	3135	-0.18	          1.89	10.76	10.99	10.63	10.73	    23.62	373629216	  1.99	出版业	海南	3.36	10.79	181876	164406	  1.11	3778	4489	--  	         18.27	
000977	浪潮信息	0.58	20.94	0.12	20.94	20.95	59519	897	-0.04	          0.60	20.80	21.03	20.71	20.82	    44.94	124271208	  0.69	电脑设备	山东	1.54	20.88	26377	33142	  0.80	462	556	--  	          9.95	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002212	南洋股份	0.00	17.70	0.00	17.69	17.70	35702	788	0.05	          1.19	17.75	17.88	17.55	17.70	   224.81	63269836	  1.00	电气设备	广东	1.86	17.72	16543	19158	  0.86	93	954	--  	          3.01	
002268	卫 士 通	2.10	32.62	0.67	32.62	32.63	49803	523	-0.09	          1.45	31.98	32.82	31.65	31.95	  2091.57	161263712	  1.37	软件服务	四川	3.66	32.38	23896	25906	  0.92	155	23	--  	          3.45	
002298	中电鑫龙	-0.07	13.41	-0.01	13.41	13.42	54236	1282	0.07	          1.38	13.40	13.45	13.24	13.42	    68.41	72527448	  1.07	软件服务	安徽	1.56	13.37	32056	22179	  1.45	105	252	--  	          3.92	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	0	--  	0	0	--  	          1.29	
002439	启明星辰	1.15	21.97	0.25	21.97	21.98	63320	1133	0.13	          1.13	21.64	21.98	21.49	21.72	   313.49	138058320	  0.82	软件服务	北京	2.26	21.80	31771	31548	  1.01	3	274	--  	          5.59	
