代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000520	长航凤凰	-0.37	8.06	-0.03	8.06	8.07	180580	2389	0.12	          1.78	8.03	8.10	7.90	8.09	--  	144745376	  0.60	水运	湖北	2.47	8.02	95517	85063	  1.12	169	758	--  	         10.12	
000563	陕国投Ａ	0.76	6.63	0.05	6.63	6.64	635231	7720	0.00	          2.22	6.55	6.64	6.46	6.58	    39.77	416858880	  0.95	多元金融	陕西	2.74	6.56	294219	341012	  0.86	8238	12499	--  	         28.62	
000567	海德股份	-1.45	33.97	-0.50	33.97	33.98	30479	266	0.02	          2.03	34.60	34.70	33.80	34.47	  2375.41	103579352	  0.50	区域地产	海南	2.61	33.98	16982	13496	  1.26	508	23	--  	          1.50	
000597	东北制药	0.64	10.94	0.07	10.94	10.95	61496	895	0.27	          1.40	10.85	10.98	10.74	10.87	   640.76	66806692	  0.74	化学制药	辽宁	2.21	10.86	32642	28854	  1.13	699	374	--  	          4.39	
000600	建投能源	0.11	9.36	0.01	9.36	9.37	133572	665	0.00	          1.23	9.26	9.41	9.22	9.35	     7.66	124737288	  1.74	火力发电	河北	2.03	9.34	70294	63278	  1.11	219	654	--  	         10.90	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000792	盐湖股份	-0.05	18.62	-0.01	18.62	18.63	78170	1425	0.00	          0.43	18.65	18.70	18.46	18.63	    99.67	145384096	  0.70	农药化肥	青海	1.29	18.60	45069	33100	  1.36	222	378	--  	         18.33	
000837	秦川机床	0.53	9.45	0.05	9.44	9.45	89219	796	0.10	          1.85	9.41	9.48	9.27	9.40	--  	83674792	  0.85	机床制造	陕西	2.23	9.38	42788	46431	  0.92	468	197	--  	          4.81	
000928	中钢国际	3.55	19.81	0.68	19.80	19.81	139295	858	-0.15	          3.37	19.00	19.88	18.90	19.13	    28.13	271801728	  1.15	建筑施工	吉林	5.12	19.51	60472	78822	  0.77	732	507	--  	          4.13	
000960	锡业股份	1.62	13.83	0.22	13.83	13.84	145498	3093	0.00	          1.20	13.61	13.86	13.60	13.61	   270.26	200261360	  0.85	小金属	云南	1.91	13.76	63796	81702	  0.78	2825	221	--  	         12.09	
000993	闽东电力	-0.98	14.20	-0.14	14.20	14.21	139111	2290	0.00	          3.73	14.21	14.29	13.95	14.34	    33.01	196420384	  0.80	水力发电	福建	2.37	14.12	82015	57096	  1.44	941	381	--  	          3.73	
002134	天津普林	--  	15.78	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.78	--  	0	  0.00	元器件	天津	0.00	15.78	0	0	--  	0	0	--  	          2.46	
002285	世联行	0.63	7.96	0.05	7.96	7.97	149880	349	-0.12	          0.88	7.91	7.97	7.79	7.91	    32.16	118153024	  0.92	房产服务	深圳	2.28	7.88	83025	66855	  1.24	1696	380	--  	         16.97	
002386	天原集团	1.03	8.80	0.09	8.80	8.81	85711	916	0.00	          1.28	8.74	8.85	8.67	8.71	   107.20	75296144	  0.63	化工原料	四川	2.07	8.78	36247	49463	  0.73	144	973	--  	          6.72	
002430	杭氧股份	2.56	10.03	0.25	10.03	10.04	132470	1578	0.09	          1.64	9.79	10.10	9.75	9.78	--  	132308728	  1.85	化工机械	浙江	3.58	9.99	54164	78306	  0.69	762	415	--  	          8.10	
002657	中科金财	-0.23	38.68	-0.09	38.68	38.69	45472	759	0.00	          1.99	38.67	38.75	38.12	38.77	    81.00	174398912	  1.32	软件服务	北京	1.62	38.35	25492	19980	  1.28	931	82	--  	          2.28	
300178	腾邦国际	0.24	16.42	0.04	16.42	16.43	35121	476	0.00	          0.66	16.36	16.51	16.16	16.38	    55.40	57428148	  0.86	旅游服务	深圳	2.14	16.35	15130	19991	  0.76	99	46	--  	          5.28	
600163	中闽能源	1.05	5.75	0.06	5.75	5.76	55683	3	0.17	          0.74	5.70	5.76	5.64	5.69	    73.28	31823680	  1.01	新型电力	福建	2.11	5.72	19269	36414	  0.53	1331	2494	--  	          7.54	
600509	天富能源	0.25	8.03	0.02	8.03	8.04	68257	6	0.00	          0.75	8.01	8.04	7.90	8.01	    19.94	54358592	  0.81	火力发电	新疆	1.75	7.96	36591	31665	  1.16	333	1064	--  	          9.06	
600657	信达地产	0.00	5.88	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	5.88	    39.02	0	  0.00	全国地产	北京	0.00	5.88	0	0	--  	0	0	--  	         15.24	
600704	物产中大	1.21	10.86	0.13	10.86	10.87	169982	719	0.00	          1.91	10.77	10.87	10.71	10.73	    18.86	183860528	  0.84	商贸代理	浙江	1.49	10.82	85300	84681	  1.01	117	1980	--  	          8.92	
600736	苏州高新	0.00	8.51	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.51	    33.09	0	  0.00	园区开发	江苏	0.00	8.51	0	0	--  	0	0	--  	         11.39	
600783	鲁信创投	1.06	24.71	0.26	24.69	24.70	47998	30	0.20	          0.64	24.42	24.73	24.40	24.45	    41.54	118123904	  0.57	矿物制品	山东	1.35	24.61	21197	26801	  0.79	56	42	--  	          7.44	
600784	鲁银投资	-0.32	9.44	-0.03	9.42	9.43	201796	105	0.53	          3.55	9.43	9.57	9.12	9.47	   128.57	187415488	  1.45	普钢	山东	4.75	9.29	94928	106867	  0.89	57	74	--  	          5.68	
