代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000005	世纪星源	-0.15	6.63	-0.01	6.63	6.64	151310	741	0.00	          1.59	6.62	6.69	6.51	6.64	    39.35	99983144	  0.90	房产服务	深圳	2.71	6.61	61199	90110	  0.68	1030	2727	--  	          9.51	
000400	许继电气	0.97	17.65	0.17	17.65	17.66	33942	503	0.05	          0.46	17.42	17.69	17.42	17.48	    54.56	59623092	  0.89	电气设备	河南	1.54	17.57	12016	21926	  0.55	66	246	--  	          7.37	
000601	韶能股份	0.00	8.44	0.00	8.43	8.44	96015	1974	0.00	          0.89	8.43	8.45	8.33	8.44	    14.92	80518920	  0.75	水力发电	广东	1.42	8.39	59224	36790	  1.61	126	570	--  	         10.80	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	0	--  	0	0	--  	          9.78	
000887	中鼎股份	-1.52	24.65	-0.38	24.64	24.65	148778	2590	0.08	          1.34	25.01	25.01	24.51	25.03	    28.57	367271296	  1.28	橡胶	安徽	2.00	24.69	95377	53401	  1.79	244	216	--  	         11.14	
002028	思源电气	5.08	16.35	0.79	16.35	16.36	125669	3467	0.06	          2.17	15.71	16.36	15.45	15.56	    39.15	201148784	  1.11	电气设备	上海	5.85	16.01	50736	74932	  0.68	3	346	--  	          5.79	
002062	宏润建设	-0.15	6.59	-0.01	6.59	6.60	93444	803	-0.15	          0.99	6.60	6.68	6.55	6.60	    34.25	61686560	  1.04	建筑施工	浙江	1.97	6.60	47646	45797	  1.04	1007	775	--  	          9.42	
002074	国轩高科	2.13	34.04	0.71	34.04	34.05	190563	1230	0.02	          4.04	33.26	34.48	32.90	33.33	    30.38	648235008	  1.42	电气设备	江苏	4.74	34.02	99541	91022	  1.09	902	342	--  	          4.72	
002076	雪 莱 特	4.14	13.85	0.55	13.84	13.85	75281	4010	0.50	          3.55	13.40	13.85	13.23	13.30	   103.76	102690536	  1.90	家用电器	广东	4.66	13.64	27074	48206	  0.56	693	1225	--  	          2.12	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
