代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000504	*ST生物	-0.65	16.81	-0.11	16.81	16.87	6326	81	0.11	          0.20	16.85	16.92	16.67	16.92	--  	10631562	  0.48	出版业	湖南	1.48	16.81	3651	2675	  1.36	174	38	--  	          3.11	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	0	--  	0	0	--  	         19.35	
000806	银河生物	-0.08	12.25	-0.01	12.24	12.25	195534	32716	0.40	          2.80	12.19	12.25	12.13	12.26	  2876.42	238400464	  1.18	生物制药	广西	0.98	12.19	98629	96904	  1.02	1354	2930	--  	          6.98	
002038	双鹭药业	-0.11	27.49	-0.03	27.45	27.49	17779	279	0.14	          0.31	27.48	27.50	27.11	27.52	    39.55	48610324	  1.01	生物制药	北京	1.42	27.34	9773	8005	  1.22	19	23	--  	          5.67	
002399	海普瑞	3.73	22.50	0.81	22.49	22.50	61780	693	-0.04	          0.50	21.68	22.52	21.56	21.69	    69.28	136594240	  1.06	化学制药	深圳	4.43	22.11	21992	39787	  0.55	7	51	--  	         12.47	
002605	姚记扑克	0.37	16.23	0.06	16.22	16.23	18975	287	0.18	          0.71	16.20	16.24	16.01	16.17	    69.30	30626238	  0.88	文教休闲	上海	1.42	16.14	9068	9906	  0.92	116	268	--  	          2.69	
300009	安科生物	1.49	21.86	0.32	21.85	21.86	48343	1167	0.13	          1.41	21.54	21.99	21.45	21.54	    63.50	105481600	  0.96	生物制药	安徽	2.51	21.82	22143	26200	  0.85	255	221	--  	          3.43	
300016	北陆药业	0.73	18.01	0.13	18.01	18.02	27027	356	0.27	          1.06	17.88	18.06	17.69	17.88	   358.45	48472364	  0.72	中成药	北京	2.07	17.93	12505	14521	  0.86	10	137	--  	          2.54	
300030	阳普医疗	1.05	13.51	0.14	13.51	13.52	40991	525	0.14	          1.62	13.38	13.52	13.16	13.37	   145.43	54784928	  0.56	医疗保健	广东	2.69	13.37	20930	20061	  1.04	331	278	--  	          2.53	
300147	香雪制药	0.17	12.14	0.02	12.13	12.14	49338	876	0.08	          0.75	12.12	12.16	12.02	12.12	    78.44	59755300	  1.01	中成药	广东	1.16	12.11	31094	18243	  1.70	400	246	--  	          6.60	
300181	佐力药业	0.69	8.78	0.06	8.77	8.78	33278	176	0.11	          0.83	8.70	8.78	8.64	8.72	    54.01	29047446	  0.94	中成药	浙江	1.61	8.73	12989	20288	  0.64	479	472	--  	          3.99	
300238	冠昊生物	0.95	31.76	0.30	31.75	31.76	24624	573	0.18	          1.31	31.40	31.85	31.04	31.46	   129.11	77571304	  0.75	医疗保健	广东	2.57	31.50	11624	13000	  0.89	557	24	--  	          1.89	
300272	开能环保	2.37	13.80	0.32	13.77	13.80	22822	541	0.50	          1.13	13.49	13.80	13.46	13.48	    57.29	31172862	  0.77	环境保护	上海	2.52	13.66	8101	14721	  0.55	32	224	--  	          2.02	
300273	和佳股份	0.07	14.96	0.01	14.95	14.96	68556	977	0.00	          1.23	14.99	15.06	14.87	14.95	    38.83	102574376	  0.98	医疗保健	广东	1.27	14.96	41347	27208	  1.52	1061	303	--  	          5.59	
300294	博雅生物	0.98	61.90	0.60	61.90	61.92	14775	113	0.00	          0.68	61.30	62.66	60.60	61.30	    69.09	91569744	  0.60	生物制药	江西	3.36	61.98	7213	7561	  0.95	159	3	--  	          2.18	
600196	复星医药	0.74	25.99	0.19	25.99	26.00	117783	2	0.00	          0.62	25.72	26.27	25.68	25.80	    21.62	306655264	  1.66	化学制药	上海	2.29	26.04	61037	56745	  1.08	23	148	--  	         19.09	
600267	海正药业	1.19	13.58	0.16	13.58	13.59	76604	12	0.22	          0.79	13.39	13.73	13.32	13.42	   317.18	103933072	  1.26	化学制药	浙江	3.06	13.57	36756	39848	  0.92	5	89	--  	          9.66	
600568	中珠医疗	0.43	20.79	0.09	20.79	20.80	84236	13	0.04	          1.51	20.65	20.89	20.11	20.70	    66.17	173970144	  0.80	区域地产	湖北	3.77	20.65	43836	40400	  1.09	972	360	--  	          5.59	
600572	康恩贝	1.17	6.94	0.08	6.93	6.94	75868	10	0.14	          0.37	6.85	6.94	6.79	6.86	    29.03	52203120	  1.59	中成药	浙江	2.19	6.88	34643	41225	  0.84	223	588	--  	         20.58	
600645	中源协和	0.00	26.80	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	26.80	  1404.43	0	  0.00	生物制药	天津	0.00	26.80	0	0	--  	0	0	--  	          3.54	
600851	海欣股份	-0.61	11.48	-0.07	11.48	11.49	26023	24	0.17	          0.35	11.60	11.60	11.43	11.55	    65.12	29887424	  1.08	纺织	上海	1.47	11.49	17573	8449	  2.08	100	135	--  	          7.38	
数据来源:通达信
