代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002106	莱宝高科	1.58	12.88	0.20	12.87	12.88	247165	3545	0.07	          3.51	12.55	13.00	12.45	12.68	    58.77	316824128	  1.44	元器件	深圳	4.34	12.82	122087	125077	  0.98	1151	1972	--  	          7.04	
002189	利达光电	0.97	22.85	0.22	22.84	22.85	28006	218	0.00	          1.41	22.69	22.87	22.30	22.63	   251.88	63631072	  0.84	元器件	河南	2.52	22.72	14170	13836	  1.02	17	1398	--  	          1.99	
002253	川大智胜	1.85	30.25	0.55	30.25	30.26	145908	1717	0.06	          7.05	29.87	30.70	29.87	29.70	   247.58	442292544	  0.90	软件服务	四川	2.79	30.31	70985	74923	  0.95	704	114	--  	          2.07	
002273	水晶光电	3.20	22.27	0.69	22.27	22.28	183297	1111	0.04	          3.00	21.58	22.33	21.40	21.58	    65.26	403571840	  0.93	元器件	浙江	4.31	22.02	76144	107152	  0.71	555	565	--  	          6.10	
002289	*ST宇顺	-1.00	24.65	-0.25	24.65	24.69	13346	322	-0.24	          0.91	24.78	24.90	24.60	24.90	--  	32942714	  0.41	元器件	深圳	1.20	24.68	7951	5395	  1.47	18	27	--  	          1.47	
002308	威创股份	-0.52	15.21	-0.08	15.20	15.21	63919	2436	-0.19	          0.77	15.13	15.48	14.95	15.29	    81.19	97339904	  0.69	电脑设备	广东	3.47	15.23	35849	28070	  1.28	367	236	--  	          8.36	
002414	高德红外	-0.08	24.20	-0.02	24.20	24.21	28933	116	0.04	          0.62	24.60	24.60	24.06	24.22	   270.45	70012216	  1.32	电器仪表	湖北	2.23	24.20	15803	13130	  1.20	191	30	--  	          4.65	
002450	康得新	1.78	19.39	0.34	19.38	19.39	601147	2469	-0.05	          2.09	19.07	19.56	18.93	19.05	    36.23	1160432768	  2.06	化工原料	江苏	3.31	19.30	260050	341096	  0.76	2526	576	--  	         28.76	
002456	欧菲光	4.62	36.03	1.59	36.02	36.03	317444	2829	0.00	          3.09	34.30	36.28	34.10	34.44	    51.79	1128560384	  2.66	元器件	深圳	6.33	35.55	123970	193473	  0.64	118	157	--  	         10.28	
002587	奥拓电子	-0.50	13.88	-0.07	13.88	13.89	114668	2555	-0.07	          4.82	13.86	13.92	13.68	13.95	    71.77	158250272	  1.29	元器件	深圳	1.72	13.80	67207	47460	  1.42	1161	521	--  	          2.38	
300093	金刚玻璃	0.25	23.73	0.06	23.73	23.74	27945	258	0.21	          1.30	23.60	23.95	23.33	23.67	  7284.93	66215804	  0.88	玻璃	广东	2.62	23.70	15713	12231	  1.28	574	11	--  	          2.15	
300221	银禧科技	-0.90	18.73	-0.17	18.73	18.74	64276	966	0.16	          1.61	18.71	18.87	18.40	18.90	    61.28	119303984	  0.88	塑料	广东	2.49	18.56	34582	29693	  1.16	94	91	--  	          4.00	
300327	中颖电子	1.04	40.88	0.42	40.88	40.89	63972	633	0.09	          3.40	40.21	41.50	40.20	40.46	    86.88	261709888	  0.81	半导体	上海	3.21	40.91	29859	34113	  0.88	99	136	--  	          1.88	
600071	凤凰光学	1.26	22.42	0.28	22.41	22.44	35838	7	0.31	          1.51	22.10	22.61	22.03	22.14	--  	80122920	  1.03	元器件	江西	2.62	22.36	16615	19223	  0.86	24	3	--  	          2.37	
600171	上海贝岭	0.50	13.98	0.07	13.97	13.98	65051	2	0.21	          0.97	13.85	14.00	13.80	13.91	   181.04	90496496	  0.92	半导体	上海	1.44	13.91	34404	30646	  1.12	2	277	--  	          6.74	
600288	大恒科技	0.07	13.84	0.01	13.83	13.84	56679	36	0.00	          1.30	13.87	13.89	13.62	13.83	--  	77978968	  0.71	软件服务	北京	1.95	13.76	30162	26517	  1.14	113	306	--  	          4.37	
600345	长江通信	0.04	22.70	0.01	22.69	22.72	15534	10	0.30	          0.78	22.69	22.78	22.31	22.69	    64.62	35118464	  0.84	通信设备	湖北	2.07	22.61	6656	8878	  0.75	5	117	--  	          1.98	
600363	联创光电	-0.32	18.71	-0.06	18.61	18.70	213627	20	0.05	          4.82	18.75	18.76	18.15	18.77	    39.77	394041280	  0.65	元器件	江西	3.25	18.45	130697	82929	  1.58	30	1980	--  	          4.43	
600707	彩虹股份	-0.34	8.74	-0.03	8.74	8.75	101908	54	0.11	          1.38	8.71	8.77	8.54	8.77	--  	88321416	  0.62	元器件	陕西	2.62	8.67	52497	49411	  1.06	186	166	--  	          7.36	
600855	航天长峰	0.00	28.89	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	28.89	   846.16	0	  0.00	专用机械	北京	0.00	28.89	0	0	--  	0	0	--  	          3.30	
数据来源:通达信
