代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000026	飞亚达Ａ	1.19	14.46	0.17	14.45	14.46	84189	713	0.06	          2.36	14.25	14.52	14.14	14.29	    57.33	121192872	  0.84	其他商业	深圳	2.66	14.40	37726	46462	  0.81	414	765	--  	          3.57	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000059	华锦股份	-0.08	12.36	-0.01	12.36	12.37	345059	4097	0.24	          2.46	12.24	12.42	12.07	12.37	    12.63	423133696	  0.64	石油加工	辽宁	2.83	12.26	167379	177679	  0.94	189	1547	--  	         14.00	
000065	北方国际	1.67	31.03	0.51	31.03	31.04	28485	451	0.03	          0.71	30.52	31.15	30.05	30.52	    74.91	87849824	  0.82	建筑施工	北京	3.60	30.84	13633	14851	  0.92	34	92	--  	          4.01	
000070	特发信息	1.79	26.14	0.46	26.14	26.15	31899	497	0.00	          1.18	25.60	26.18	25.55	25.68	    49.38	82758176	  0.96	通信设备	深圳	2.45	25.94	14597	17302	  0.84	41	279	--  	          2.71	
000099	中信海直	-0.16	12.64	-0.02	12.64	12.65	80907	2046	0.31	          1.33	12.58	12.65	12.34	12.66	    75.75	101210064	  0.79	空运	深圳	2.45	12.51	40417	40489	  1.00	566	249	--  	          6.06	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000519	中兵红箭	1.28	16.68	0.21	16.68	16.69	214670	4016	0.12	          3.68	16.53	16.80	16.53	16.47	   377.56	358348640	  0.62	矿物制品	湖南	1.64	16.69	107399	107270	  1.00	695	1170	--  	          5.83	
000547	航天发展	0.91	15.57	0.14	15.57	15.58	93983	1348	0.06	          1.04	15.43	15.62	15.37	15.43	   112.43	145818736	  0.55	通信设备	福建	1.62	15.52	45349	48634	  0.93	268	760	--  	          9.01	
000561	烽火电子	1.43	14.93	0.21	14.93	14.94	86746	1186	0.00	          1.46	14.82	15.00	14.68	14.72	    94.66	129199328	  0.73	通信设备	陕西	2.17	14.89	41483	45262	  0.92	362	339	--  	          5.94	
000595	宝塔实业	0.68	10.34	0.07	10.34	10.35	730315	13545	0.00	         14.75	10.05	10.52	9.93	10.27	--  	751340736	  0.76	机械基件	宁夏	5.74	10.29	371549	358766	  1.04	5377	7692	--  	          4.95	
000625	长安汽车	0.84	15.62	0.13	15.62	15.63	332306	1602	-0.06	          0.88	15.46	15.65	15.37	15.49	     7.27	516725120	  0.77	汽车整车	重庆	1.81	15.55	154897	177409	  0.87	933	2360	--  	         37.61	
000687	华讯方舟	0.41	16.99	0.07	16.98	16.99	110775	2692	0.23	          2.08	16.96	17.21	16.75	16.92	    79.47	187441888	  0.69	通信设备	河北	2.72	16.92	61312	49462	  1.24	140	1475	--  	          5.31	
000733	振华科技	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    40.60	0	  0.00	元器件	贵州	0.00	18.82	0	0	--  	0	0	--  	          4.29	
000738	中航动控	1.00	25.15	0.25	25.15	25.16	83798	1056	0.03	          0.73	24.94	25.20	24.93	24.90	   136.01	209874976	  1.22	航空	江苏	1.08	25.05	30406	53392	  0.57	501	222	--  	         11.46	
000760	斯太尔	1.18	10.26	0.12	10.26	10.27	115293	1583	-0.29	          1.76	10.08	10.68	9.91	10.14	--  	118704840	  1.37	汽车配件	湖北	7.59	10.30	50721	64572	  0.79	53	403	--  	          6.54	
000768	中航飞机	0.75	24.05	0.18	24.05	24.06	187237	2281	-0.04	          0.68	23.84	24.07	23.80	23.87	   422.98	448327232	  0.56	航空	陕西	1.13	23.94	94155	93081	  1.01	416	974	--  	         27.69	
000777	中核科技	0.23	21.83	0.05	21.83	21.84	55444	491	0.00	          1.45	21.78	21.85	21.43	21.78	   133.00	120138016	  0.88	机械基件	江苏	1.93	21.67	26956	28487	  0.95	35	158	--  	          3.83	
000801	四川九洲	1.53	11.98	0.18	11.98	11.99	94746	903	-0.08	          0.93	11.87	12.08	11.80	11.80	   131.28	113355480	  0.89	通信设备	四川	2.37	11.96	49483	45263	  1.09	648	184	--  	         10.23	
000806	银河生物	-0.08	12.25	-0.01	12.24	12.25	195534	32716	0.40	          2.80	12.19	12.25	12.13	12.26	  2876.42	238400464	  1.18	生物制药	广西	0.98	12.19	98629	96904	  1.02	1354	2930	--  	          6.98	
000901	航天科技	1.03	36.34	0.37	36.33	36.34	33034	801	0.08	          1.02	36.01	36.39	35.82	35.97	   399.85	119620544	  0.56	航空	黑龙江	1.58	36.21	15431	17603	  0.88	597	146	--  	          3.24	
000977	浪潮信息	0.58	20.94	0.12	20.94	20.95	59519	897	-0.04	          0.60	20.80	21.03	20.71	20.82	    44.94	124271208	  0.69	电脑设备	山东	1.54	20.88	26377	33142	  0.80	462	556	--  	          9.95	
002013	中航机电	1.96	17.72	0.34	17.71	17.72	220396	1515	0.00	          1.58	17.44	17.83	17.44	17.38	    88.81	390419424	  1.82	航空	湖北	2.24	17.71	117399	102997	  1.14	1358	774	--  	         13.97	
002023	海特高新	1.34	14.35	0.19	14.34	14.35	79211	682	0.27	          1.20	14.21	14.42	14.09	14.16	   187.09	113034016	  0.70	航空	四川	2.33	14.27	37032	42179	  0.88	106	337	--  	          6.59	
002025	航天电器	--  	25.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.20	    40.64	0	  0.00	元器件	贵州	0.00	25.20	0	0	--  	0	0	--  	          4.29	
002036	联创电子	0.15	20.03	0.03	20.03	20.04	102918	1188	0.09	          2.63	20.01	20.21	19.70	20.00	    65.80	205667904	  1.28	元器件	浙江	2.55	19.98	57724	45194	  1.28	237	167	--  	          3.92	
002046	轴研科技	3.23	14.05	0.44	14.05	14.06	138002	4308	0.07	          4.05	13.58	14.05	13.10	13.61	--  	189352752	  1.51	机械基件	河南	6.98	13.72	60716	77286	  0.79	176	471	--  	          3.41	
002049	紫光国芯	--  	30.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.88	    50.85	0	  0.00	元器件	河北	0.00	30.88	0	0	--  	0	0	--  	          5.96	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002077	大港股份	0.38	15.83	0.06	15.82	15.83	29280	350	-0.06	          1.16	15.83	15.86	15.30	15.77	   339.20	45681720	  0.78	区域地产	江苏	3.55	15.60	12985	16294	  0.80	21	125	--  	          2.52	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002097	山河智能	1.21	9.21	0.11	9.21	9.22	228659	2411	0.10	          3.63	9.10	9.35	9.06	9.10	   152.07	210899008	  0.59	工程机械	湖南	3.19	9.22	117591	111067	  1.06	635	836	--  	          6.29	
002111	威海广泰	0.36	22.13	0.08	22.13	22.14	17868	384	0.04	          0.68	21.91	22.19	21.91	22.05	    48.37	39485900	  0.70	航空	山东	1.27	22.10	9044	8823	  1.03	10	50	--  	          2.64	
002151	北斗星通	0.19	31.97	0.06	31.97	31.98	44204	466	0.06	          1.89	31.92	32.25	31.70	31.91	   235.80	141331392	  0.44	通信设备	北京	1.72	31.97	23692	20512	  1.16	654	52	--  	          2.34	
002167	东方锆业	2.43	12.63	0.30	12.62	12.63	129148	1862	-0.07	          2.74	12.33	12.74	12.16	12.33	  1948.17	161180528	  0.72	小金属	广东	4.70	12.48	53021	76127	  0.70	213	1035	--  	          4.72	
002179	中航光电	3.53	41.05	1.40	41.05	41.06	100679	1580	-0.09	          1.67	39.45	41.12	39.45	39.65	    32.95	407615872	  2.48	元器件	河南	4.21	40.49	38003	62675	  0.61	422	1	--  	          6.02	
002190	成飞集成	1.01	33.90	0.34	33.89	33.90	42743	821	0.08	          1.24	33.53	33.94	33.10	33.56	    97.97	143476176	  0.94	汽车配件	四川	2.50	33.57	19273	23469	  0.82	141	587	--  	          3.45	
002214	大立科技	0.16	12.22	0.02	12.22	12.23	74484	1213	0.16	          2.10	12.19	12.25	12.01	12.20	   145.79	90299104	  0.58	电器仪表	浙江	1.97	12.12	43318	31166	  1.39	372	413	--  	          3.55	
002224	三 力 士	0.52	15.45	0.08	15.44	15.45	119239	1722	0.12	          2.53	15.23	15.46	15.10	15.37	    49.29	182255280	  0.77	橡胶	浙江	2.34	15.28	61597	57641	  1.07	729	1637	--  	          4.72	
002231	奥维通信	1.47	13.80	0.20	13.79	13.80	37908	667	0.14	          1.51	13.55	13.83	13.51	13.60	--  	51937376	  1.08	通信设备	辽宁	2.35	13.70	13374	24534	  0.55	81	276	--  	          2.50	
002246	北化股份	-0.34	14.86	-0.05	14.86	14.87	91033	2494	0.47	          2.20	14.88	14.89	14.55	14.91	    67.03	134019176	  0.69	化工原料	四川	2.28	14.72	48388	42644	  1.13	409	61	--  	          4.14	
002253	川大智胜	1.85	30.25	0.55	30.25	30.26	145908	1717	0.06	          7.05	29.87	30.70	29.87	29.70	   247.58	442292544	  0.90	软件服务	四川	2.79	30.31	70985	74923	  0.95	704	114	--  	          2.07	
002254	泰和新材	0.16	12.54	0.02	12.53	12.54	47045	553	0.00	          0.77	12.49	12.62	12.47	12.52	   116.87	58976516	  0.75	化纤	山东	1.20	12.54	21567	25478	  0.85	269	18	--  	          6.11	
002265	西仪股份	0.78	25.93	0.20	25.93	25.94	56091	1674	-0.07	          1.93	25.64	25.96	25.32	25.73	  1805.69	144434400	  0.54	汽车配件	云南	2.49	25.75	29843	26248	  1.14	1112	182	--  	          2.91	
002268	卫 士 通	2.10	32.62	0.67	32.62	32.63	49803	523	-0.09	          1.45	31.98	32.82	31.65	31.95	  2091.57	161263712	  1.37	软件服务	四川	3.66	32.38	23896	25906	  0.92	155	23	--  	          3.45	
002276	万马股份	0.40	15.00	0.06	15.00	15.01	82115	2814	0.06	          0.89	14.90	15.01	14.71	14.94	    80.64	122196680	  0.68	电气设备	浙江	2.01	14.88	40824	41291	  0.99	1212	381	--  	          9.26	
002297	博云新材	-1.26	13.29	-0.17	13.28	13.29	139130	2139	0.07	          3.51	13.35	13.35	12.97	13.46	--  	183698384	  0.76	矿物制品	湖南	2.82	13.20	77522	61607	  1.26	2550	98	--  	          3.96	
002300	太阳电缆	-1.83	16.09	-0.30	16.09	16.10	488013	7580	0.06	          8.99	16.15	16.57	15.88	16.39	    56.62	785761344	  0.81	电气设备	福建	4.21	16.10	276061	211952	  1.30	1069	1286	--  	          5.43	
002303	美盈森	0.62	9.73	0.06	9.72	9.73	50055	641	0.00	          0.49	9.70	9.74	9.59	9.67	    53.14	48485060	  0.70	造纸	深圳	1.55	9.69	22359	27695	  0.81	667	88	--  	         10.21	
002308	威创股份	-0.52	15.21	-0.08	15.20	15.21	63919	2436	-0.19	          0.77	15.13	15.48	14.95	15.29	    81.19	97339904	  0.69	电脑设备	广东	3.47	15.23	35849	28070	  1.28	367	236	--  	          8.36	
002309	中利集团	0.49	14.23	0.07	14.22	14.23	51514	523	-0.07	          1.42	14.17	14.25	14.01	14.16	--  	72849256	  1.20	电气设备	江苏	1.69	14.14	26562	24951	  1.06	154	1095	--  	          3.63	
002328	新朋股份	0.47	10.72	0.05	10.72	10.73	50370	752	0.00	          1.55	10.65	10.73	10.50	10.67	    50.19	53619436	  0.71	汽车配件	上海	2.16	10.65	26820	23550	  1.14	2	712	--  	          3.25	
002338	奥普光电	-0.25	48.48	-0.12	48.47	48.48	10308	78	0.37	          0.87	48.40	49.10	48.27	48.60	    94.36	49995068	  1.13	电器仪表	吉林	1.71	48.50	6335	3973	  1.59	10	10	--  	          1.19	
002339	积成电子	1.67	18.91	0.31	18.90	18.91	62722	732	0.05	          2.12	18.62	18.92	18.42	18.60	    67.47	117444640	  1.08	电气设备	山东	2.69	18.72	25061	37660	  0.67	102	482	--  	          2.96	
002342	巨力索具	1.38	8.11	0.11	8.11	8.12	199781	2479	0.12	          2.31	8.01	8.16	7.88	8.00	   283.80	160534416	  0.72	机械基件	河北	3.50	8.04	107594	92187	  1.17	2150	2347	--  	          8.66	
002350	北京科锐	0.05	20.61	0.01	20.61	20.65	13161	66	-0.38	          0.60	20.40	20.75	20.30	20.60	   134.91	27025366	  0.71	电气设备	北京	2.18	20.54	5977	7183	  0.83	6	170	--  	          2.18	
002361	神剑股份	1.11	8.21	0.09	8.21	8.22	176832	3711	0.00	          3.06	8.12	8.28	8.05	8.12	    49.35	144625152	  0.92	化工原料	安徽	2.83	8.18	89462	87370	  1.02	55	1004	--  	          5.77	
002368	太极股份	0.71	32.48	0.23	32.48	32.49	29893	564	-0.03	          0.74	32.37	32.49	32.05	32.25	   156.19	96574768	  0.87	软件服务	北京	1.36	32.31	13689	16203	  0.84	7	110	--  	          4.02	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002406	远东传动	1.62	9.42	0.15	9.42	9.43	69361	1791	0.21	          1.75	9.28	9.43	9.23	9.27	    47.30	64957856	  0.83	汽车配件	河南	2.16	9.37	29038	40323	  0.72	147	837	--  	          3.97	
002413	雷科防务	0.48	12.54	0.06	12.54	12.55	61331	920	0.00	          0.87	12.52	12.64	12.45	12.48	   160.11	76975208	  0.56	通信设备	江苏	1.52	12.55	31869	29461	  1.08	161	509	--  	          7.08	
002414	高德红外	-0.08	24.20	-0.02	24.20	24.21	28933	116	0.04	          0.62	24.60	24.60	24.06	24.22	   270.45	70012216	  1.32	电器仪表	湖北	2.23	24.20	15803	13130	  1.20	191	30	--  	          4.65	
002423	*ST中特	0.14	13.95	0.02	13.95	13.96	38988	523	0.07	          0.84	13.78	14.07	13.56	13.93	--  	53991368	  0.53	特种钢	河南	3.66	13.85	20279	18709	  1.08	39	57	--  	          4.66	
002428	云南锗业	2.17	14.12	0.30	14.12	14.13	166742	4459	0.14	          2.60	13.78	14.18	13.63	13.82	--  	233137792	  1.03	小金属	云南	3.98	13.98	73890	92852	  0.80	1804	1089	--  	          6.42	
002434	万里扬	2.30	17.38	0.39	17.38	17.39	94288	466	-0.05	          0.94	16.97	18.00	16.91	16.99	    80.16	165575472	  2.62	汽车配件	浙江	6.42	17.56	34999	59289	  0.59	467	685	--  	         10.06	
002436	兴森科技	1.21	7.50	0.09	7.50	7.51	163296	2849	0.00	          1.68	7.36	7.52	7.25	7.41	    59.91	121252656	  0.79	元器件	深圳	3.64	7.43	74733	88563	  0.84	261	1475	--  	          9.73	
002439	启明星辰	1.15	21.97	0.25	21.97	21.98	63320	1133	0.13	          1.13	21.64	21.98	21.49	21.72	   313.49	138058320	  0.82	软件服务	北京	2.26	21.80	31771	31548	  1.01	3	274	--  	          5.59	
002446	盛路通信	2.20	23.22	0.50	23.21	23.22	29813	494	-0.04	          1.62	22.72	23.27	22.65	22.72	    43.26	68601240	  1.16	通信设备	广东	2.73	23.01	10381	19432	  0.53	2	421	--  	          1.85	
002451	摩恩电气	0.45	17.88	0.08	17.87	17.88	37582	831	0.16	          0.91	17.80	17.97	17.43	17.80	   912.21	66461484	  0.81	电气设备	上海	3.03	17.68	18916	18666	  1.01	460	359	--  	          4.12	
