代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000096	广聚能源	-0.53	16.93	-0.09	16.93	16.95	68375	2145	0.11	          1.34	17.00	17.30	16.85	17.02	    64.01	116344992	  1.39	石油贸易	深圳	2.64	17.02	38328	30046	  1.28	555	25	--  	          5.11	
000419	通程控股	-0.23	8.64	-0.02	8.64	8.65	81265	576	-0.11	          1.50	8.61	8.70	8.35	8.66	    42.39	69693576	  0.42	百货	湖南	4.04	8.58	46550	34715	  1.34	712	257	--  	          5.43	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000796	凯撒旅游	1.13	15.18	0.17	15.18	15.19	22015	177	0.00	          0.89	15.01	15.20	15.01	15.01	    38.80	33321480	  0.69	旅游服务	陕西	1.27	15.14	9283	12731	  0.73	68	234	--  	          2.46	
000828	东莞控股	0.07	13.49	0.01	13.49	13.50	138252	1351	0.07	          1.33	13.28	13.62	13.22	13.48	    16.79	185981184	  1.78	路桥	广东	2.97	13.45	67196	71056	  0.95	40	344	--  	         10.40	
000860	顺鑫农业	1.51	22.20	0.33	22.20	22.21	86336	4140	0.00	          1.53	21.81	22.25	21.54	21.87	    38.50	190338560	  1.15	白酒	北京	3.25	22.05	32879	53457	  0.62	1293	444	--  	          5.63	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
000998	隆平高科	0.83	19.47	0.16	19.47	19.48	85239	582	-0.05	          0.89	19.27	19.50	19.04	19.31	   183.15	164501504	  1.20	种植业	湖南	2.38	19.30	41129	44110	  0.93	680	672	--  	          9.56	
002010	传化智联	-2.30	17.83	-0.42	17.82	17.83	34045	863	-0.22	          0.82	18.24	18.24	17.80	18.25	    76.13	61053724	  1.15	染料涂料	浙江	2.41	17.93	22183	11861	  1.87	33	158	--  	          4.13	
002012	凯恩股份	1.24	13.89	0.17	13.89	13.90	60701	1032	-0.07	          1.30	13.91	13.97	13.64	13.72	--  	83924328	  0.68	造纸	浙江	2.41	13.83	34886	25814	  1.35	1763	61	--  	          4.68	
002042	华孚色纺	0.39	12.92	0.05	12.91	12.92	393815	3524	0.07	          4.73	12.66	13.09	12.66	12.87	    20.12	508815648	  1.01	纺织	安徽	3.34	12.92	170183	223632	  0.76	698	1017	--  	          8.32	
002087	新野纺织	0.14	7.00	0.01	6.99	7.00	69392	4169	0.14	          1.03	6.96	7.00	6.80	6.99	    30.55	48074040	  0.85	纺织	河南	2.86	6.93	27774	41617	  0.67	281	1322	--  	          6.76	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002112	三变科技	-0.06	17.50	-0.01	17.50	17.52	14193	291	0.05	          0.78	17.60	17.69	17.38	17.51	   142.11	24838544	  0.73	电气设备	浙江	1.77	17.50	6034	8158	  0.74	176	48	--  	          1.83	
002120	韵达股份	0.21	47.47	0.10	47.47	47.48	14703	175	0.02	          1.50	47.40	47.97	46.72	47.37	   587.96	69830376	  0.56	仓储物流	浙江	2.64	47.49	5054	9649	  0.52	1	60	--  	          0.98	
002132	恒星科技	--  	6.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.58	    75.52	0	  0.00	钢加工	河南	0.00	6.58	0	0	--  	0	0	--  	          7.14	
002147	新光圆成	0.18	16.25	0.03	16.24	16.25	26705	302	0.06	          1.19	16.20	16.27	16.03	16.22	    35.98	43205044	  0.75	机械基件	安徽	1.48	16.18	14119	12586	  1.12	105	526	--  	          2.24	
002177	御银股份	2.43	7.60	0.18	7.59	7.60	110976	2174	0.13	          1.78	7.42	7.63	7.41	7.42	   129.37	83752216	  1.49	电脑设备	广东	2.96	7.55	47286	63690	  0.74	744	4409	--  	          6.22	
002229	鸿博股份	1.26	22.44	0.28	22.44	22.45	41637	992	-0.04	          1.97	22.16	22.50	21.73	22.16	--  	92252624	  0.95	广告包装	福建	3.47	22.16	18092	23545	  0.77	435	230	--  	          2.12	
002276	万马股份	0.40	15.00	0.06	15.00	15.01	82115	2814	0.06	          0.89	14.90	15.01	14.71	14.94	    80.64	122196680	  0.68	电气设备	浙江	2.01	14.88	40824	41291	  0.99	1212	381	--  	          9.26	
002277	友阿股份	1.05	16.30	0.17	16.29	16.30	290508	3266	0.00	          5.13	16.15	16.52	15.99	16.13	    38.59	472230336	  1.64	百货	湖南	3.29	16.26	134841	155666	  0.87	1280	175	--  	          5.66	
002397	梦洁股份	0.45	8.86	0.04	8.85	8.86	81597	2185	0.00	          2.46	8.80	8.87	8.70	8.82	    79.21	71828928	  0.80	纺织	湖南	1.93	8.80	41441	40155	  1.03	1151	92	--  	          3.31	
002418	康盛股份	-0.42	9.51	-0.04	9.51	9.52	70039	718	0.00	          1.27	9.56	9.58	9.44	9.55	    53.37	66551000	  0.94	机械基件	浙江	1.47	9.50	38396	31643	  1.21	592	691	--  	          5.54	
002437	誉衡药业	0.48	8.30	0.04	8.30	8.31	132418	909	0.00	          0.62	8.26	8.33	8.23	8.26	    24.01	109820488	  0.45	化学制药	黑龙江	1.21	8.29	58276	74141	  0.79	3306	2390	--  	         21.48	
002447	壹桥股份	-0.11	9.37	-0.01	9.36	9.37	92532	1220	0.10	          1.59	9.29	9.45	9.28	9.38	    50.91	86464840	  0.87	渔业	辽宁	1.81	9.34	54051	38480	  1.40	501	410	--  	          5.80	
002545	东方铁塔	-0.84	11.84	-0.10	11.84	11.85	45307	1229	-0.08	          1.61	11.83	11.93	11.76	11.94	   145.36	53700660	  0.54	钢加工	山东	1.42	11.85	25886	19420	  1.33	333	857	--  	          2.81	
002571	德力股份	-2.86	13.93	-0.41	13.92	13.93	140550	2273	-0.14	          5.56	14.27	14.28	13.74	14.34	--  	195299456	  0.95	玻璃	安徽	3.77	13.90	79077	61473	  1.29	75	740	--  	          2.53	
002634	棒杰股份	9.90	11.54	1.04	11.53	11.54	885121	5547	-0.08	         34.78	10.59	11.55	10.55	10.50	   135.85	1009515840	  6.15	服饰	浙江	9.52	11.41	522638	362483	  1.44	310	132	--  	          2.54	
002661	克明面业	-0.06	15.80	-0.01	15.79	15.80	17007	392	0.00	          0.52	15.75	15.85	15.60	15.81	    42.00	26819022	  0.82	食品	湖南	1.58	15.77	8079	8928	  0.90	105	31	--  	          3.29	
002699	美盛文化	-0.08	35.47	-0.03	35.47	35.48	85400	1141	0.36	          2.26	35.58	35.77	35.11	35.50	    94.36	302031008	  1.18	服饰	浙江	1.86	35.37	53629	31771	  1.69	246	17	--  	          3.77	
300021	大禹节水	-1.64	19.16	-0.32	19.16	19.17	71404	1621	0.05	          4.31	19.33	19.35	19.00	19.48	   218.76	136841808	  0.70	农业综合	甘肃	1.80	19.16	38203	33200	  1.15	218	110	--  	          1.66	
300076	GQY视讯	-0.25	11.94	-0.03	11.94	11.95	146088	2477	0.00	          3.97	11.95	12.04	11.78	11.97	--  	174135776	  0.53	电脑设备	浙江	2.17	11.92	76438	69650	  1.10	930	610	--  	          3.68	
300187	永清环保	0.56	12.67	0.07	12.67	12.68	44319	881	0.07	          0.74	12.59	12.69	12.44	12.60	    78.19	55749072	  0.92	环境保护	湖南	1.98	12.58	25320	18998	  1.33	300	380	--  	          5.95	
600079	人福医药	0.34	20.42	0.07	20.42	20.44	99687	98	0.04	          0.94	20.38	20.67	20.12	20.35	    31.61	203958576	  1.22	化学制药	湖北	2.70	20.46	49054	50632	  0.97	13	53	--  	         10.58	
600255	鑫科材料	0.00	4.92	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.92	--  	0	  0.00	铜	安徽	0.00	4.92	0	0	--  	0	0	--  	         17.70	
600566	济川药业	0.19	30.88	0.06	30.93	30.97	16788	2	-0.38	          0.21	30.89	31.18	30.69	30.82	    27.73	52002112	  0.84	中成药	湖北	1.59	30.98	8564	8223	  1.04	15	50	--  	          7.81	
600586	金晶科技	1.07	4.72	0.05	4.71	4.72	151259	41	0.21	          1.06	4.66	4.74	4.63	4.67	   121.33	70891616	  1.00	玻璃	山东	2.36	4.69	65078	86180	  0.76	2312	5530	--  	         14.23	
600593	大连圣亚	-2.33	36.05	-0.86	36.04	36.05	21704	2	0.19	          2.36	36.50	36.50	35.31	36.91	    35.93	77539000	  1.97	旅游景点	辽宁	3.22	35.73	12740	8963	  1.42	17	3	--  	          0.92	
600595	中孚实业	0.50	5.99	0.03	5.99	6.00	132244	65	0.16	          0.76	5.91	5.99	5.87	5.96	    45.09	78590864	  0.83	铝	河南	2.01	5.94	55496	76747	  0.72	34	2532	--  	         17.42	
