代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000027	深圳能源	0.86	7.02	0.06	7.02	7.03	102799	264	0.00	          0.26	6.95	7.03	6.81	6.96	    15.60	71411424	  1.57	火力发电	深圳	3.16	6.95	52456	50342	  1.04	392	3512	--  	         39.64	
000158	常山股份	2.02	12.10	0.24	12.09	12.10	65750	416	0.24	          0.86	11.84	12.10	11.75	11.86	--  	78109528	  0.98	纺织	河北	2.95	11.88	29484	36266	  0.81	54	1000	--  	          7.66	
000301	东方市场	--  	5.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.10	    31.74	0	  0.00	综合类	江苏	0.00	5.10	0	0	--  	0	0	--  	         12.18	
000423	东阿阿胶	2.09	59.55	1.22	59.54	59.55	158430	1215	0.13	          2.42	58.48	60.20	58.45	58.33	    21.02	945015168	  1.89	中成药	山东	3.00	59.65	60040	98389	  0.61	46	2795	--  	          6.54	
000429	粤高速Ａ	-0.13	7.42	-0.01	7.41	7.42	41557	189	0.00	          0.89	7.43	7.46	7.32	7.43	    14.59	30689606	  0.59	路桥	广东	1.88	7.38	22242	19314	  1.15	368	225	--  	          4.69	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000538	云南白药	0.49	77.23	0.38	77.22	77.23	35254	280	0.10	          0.34	76.85	77.43	76.22	76.85	    25.56	271833952	  1.19	中成药	云南	1.57	77.11	18516	16738	  1.11	22	409	--  	         10.41	
000606	*ST易桥	--  	12.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.64	   211.26	0	  0.00	化学制药	青海	0.00	12.64	0	0	--  	0	0	--  	          4.68	
000627	天茂集团	0.00	7.64	0.00	7.64	7.65	76914	1708	-0.13	          0.57	7.63	7.65	7.54	7.64	    28.96	58586504	  0.92	保险	湖北	1.44	7.62	43290	33623	  1.29	628	2720	--  	         13.54	
000628	高新发展	0.94	13.91	0.13	13.91	13.92	31716	237	0.00	          1.69	13.76	14.09	13.47	13.78	   106.58	43773360	  1.32	园区开发	四川	4.50	13.80	14413	17302	  0.83	135	653	--  	          1.88	
000657	中钨高新	1.18	15.48	0.18	15.48	15.49	89698	2746	0.06	          3.65	15.28	15.48	15.06	15.30	   330.82	137447824	  0.61	小金属	海南	2.75	15.32	40249	49449	  0.81	785	722	--  	          2.46	
000729	燕京啤酒	0.68	7.45	0.05	7.45	7.46	58314	1183	0.00	          0.23	7.40	7.45	7.36	7.40	    25.47	43258688	  1.11	啤酒	北京	1.22	7.42	27547	30766	  0.90	930	1610	--  	         25.09	
000753	漳州发展	0.00	5.47	0.00	5.47	5.48	126315	2637	0.00	          1.54	5.45	5.48	5.39	5.47	   251.18	68755392	  0.77	汽车服务	福建	1.65	5.44	71637	54678	  1.31	1157	3632	--  	          8.19	
000793	华闻传媒	1.12	10.85	0.12	10.84	10.85	346282	3135	-0.18	          1.89	10.76	10.99	10.63	10.73	    23.62	373629216	  1.99	出版业	海南	3.36	10.79	181876	164406	  1.11	3778	4489	--  	         18.27	
000850	华茂股份	0.65	6.22	0.04	6.21	6.22	63397	1790	0.16	          0.67	6.16	6.23	6.15	6.18	    71.07	39304156	  0.80	纺织	安徽	1.29	6.20	30061	33335	  0.90	1906	780	--  	          9.43	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000881	中广核技	-0.19	26.71	-0.05	26.71	26.72	27830	531	0.03	          0.90	26.54	26.85	26.29	26.76	 35504.14	74101056	  0.52	综合类	辽宁	2.09	26.63	13058	14771	  0.88	336	374	--  	          3.08	
