代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000961	中南建设	-3.25	9.82	-0.33	9.82	9.83	691595	11870	-0.60	          2.38	10.13	10.13	9.55	10.15	    55.97	677680384	  0.97	建筑施工	江苏	5.71	9.80	293452	398143	  0.74	556	1075	--  	         29.10	
002063	远光软件	1.40	13.03	0.18	13.03	13.04	68470	1087	-0.07	          1.30	12.85	13.04	12.71	12.85	    62.24	88406184	  0.87	软件服务	广东	2.57	12.91	30858	37611	  0.82	610	1108	--  	          5.26	
002104	恒宝股份	1.19	11.04	0.13	11.04	11.05	64669	1615	0.09	          0.91	10.93	11.04	10.82	10.91	    47.18	70832200	  0.90	元器件	江苏	2.02	10.95	29192	35477	  0.82	75	1099	--  	          7.09	
002152	广电运通	0.39	12.89	0.05	12.88	12.89	100315	444	0.00	          0.78	12.78	12.91	12.70	12.84	    30.87	128738552	  1.36	电脑设备	广东	1.64	12.83	64157	36157	  1.77	300	14	--  	         12.87	
002177	御银股份	2.43	7.60	0.18	7.59	7.60	110976	2174	0.13	          1.78	7.42	7.63	7.41	7.42	   129.37	83752216	  1.49	电脑设备	广东	2.96	7.55	47286	63690	  0.74	744	4409	--  	          6.22	
002268	卫 士 通	2.10	32.62	0.67	32.62	32.63	49803	523	-0.09	          1.45	31.98	32.82	31.65	31.95	  2091.57	161263712	  1.37	软件服务	四川	3.66	32.38	23896	25906	  0.92	155	23	--  	          3.45	
002537	海立美达	0.39	30.75	0.12	30.75	30.81	13869	376	0.03	          0.46	30.60	30.98	30.25	30.63	   133.11	42460108	  0.98	汽车整车	山东	2.38	30.61	5393	8476	  0.64	138	42	--  	          3.00	
300130	新国都	-0.04	25.51	-0.01	25.50	25.51	36066	609	0.03	          2.36	25.50	25.58	25.10	25.52	    57.16	91586288	  0.88	电脑设备	深圳	1.88	25.39	15520	20545	  0.76	152	264	--  	          1.53	
300377	赢时胜	-0.15	38.94	-0.06	38.93	38.94	117180	2499	0.23	          5.94	38.62	38.96	38.03	39.00	   280.93	452124512	  0.93	软件服务	深圳	2.38	38.58	63886	53293	  1.20	143	30	--  	          1.97	
300386	飞天诚信	1.08	23.49	0.25	23.49	23.50	45157	963	0.08	          2.66	23.18	23.53	22.86	23.24	    82.11	104717048	  0.57	软件服务	北京	2.88	23.19	20511	24646	  0.83	107	291	--  	          1.70	
300465	高伟达	0.99	15.24	0.15	15.24	15.25	80853	2582	0.13	          3.16	14.95	15.35	14.82	15.09	   439.12	121899480	  0.66	软件服务	北京	3.51	15.08	39324	41528	  0.95	174	524	--  	          2.56	
300468	四方精创	0.99	58.15	0.57	58.15	58.16	13208	279	-0.22	          2.33	57.41	58.32	56.22	57.58	   110.12	75851640	  0.82	软件服务	深圳	3.65	57.43	6461	6746	  0.96	24	3	--  	          0.57	
300542	新晨科技	1.10	49.65	0.54	49.65	49.66	18366	415	0.44	          8.14	48.79	49.85	48.16	49.11	   346.69	90004984	  0.97	软件服务	北京	3.44	49.01	9572	8793	  1.09	23	12	--  	          0.23	
600570	恒生电子	2.11	44.91	0.93	44.91	44.92	106479	8	0.15	          1.72	43.67	45.13	43.65	43.98	   101.33	475654592	  1.29	软件服务	浙江	3.37	44.67	46866	59612	  0.79	34	27	--  	          6.18	
600571	信雅达	0.30	19.76	0.06	19.74	19.76	49789	3	0.25	          1.19	19.65	19.80	19.40	19.70	    75.89	97579512	  0.79	软件服务	浙江	2.03	19.60	24447	25341	  0.96	30	3	--  	          4.20	
数据来源:通达信
