代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	0	--  	0	0	--  	          9.47	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000971	高升控股	-0.05	21.29	-0.01	21.28	21.29	28230	287	0.04	          1.16	21.36	21.42	21.09	21.30	    98.03	59994108	  0.59	互联网	湖北	1.55	21.25	15083	13147	  1.15	126	253	--  	          2.43	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	0	--  	0	0	--  	         25.74	
002072	凯瑞德	1.17	24.18	0.28	24.17	24.18	42768	3047	0.62	          2.43	23.90	24.18	23.50	23.90	    97.64	102672528	  0.89	纺织	山东	2.85	24.01	15658	27110	  0.58	3	356	--  	          1.76	
002117	东港股份	-0.30	30.10	-0.09	30.10	30.12	24044	225	-0.26	          0.66	30.15	30.61	29.82	30.19	    55.12	72882176	  0.74	广告包装	山东	2.62	30.31	11005	13038	  0.84	171	93	--  	          3.64	
002181	粤 传 媒	-0.28	7.20	-0.02	7.20	7.21	26045	189	-0.13	          0.23	7.19	7.23	7.09	7.22	--  	18692818	  0.47	出版业	广东	1.94	7.18	14395	11649	  1.24	859	207	--  	         11.41	
002197	证通电子	0.83	15.82	0.13	15.82	15.83	28902	649	0.06	          0.85	15.73	15.83	15.58	15.69	   193.36	45486832	  0.78	电器仪表	深圳	1.59	15.74	13317	15584	  0.85	387	436	--  	          3.40	
002229	鸿博股份	1.26	22.44	0.28	22.44	22.45	41637	992	-0.04	          1.97	22.16	22.50	21.73	22.16	--  	92252624	  0.95	广告包装	福建	3.47	22.16	18092	23545	  0.77	435	230	--  	          2.12	
002235	安妮股份	2.73	16.18	0.43	16.18	16.19	76214	1667	0.12	          3.35	15.79	16.18	15.33	15.75	   455.57	120852992	  1.14	造纸	福建	5.40	15.86	35005	41209	  0.85	731	533	--  	          2.27	
002261	拓维信息	-0.16	12.13	-0.02	12.13	12.14	60972	392	0.08	          0.82	12.17	12.19	12.00	12.15	    61.83	73817440	  0.61	互联网	湖南	1.56	12.11	33652	27319	  1.23	221	522	--  	          7.45	
002264	新 华 都	-1.04	10.45	-0.11	10.45	10.46	77726	2150	0.09	          1.40	10.55	10.55	10.26	10.56	    25.32	80697208	  1.04	超市连锁	福建	2.75	10.38	45885	31841	  1.44	869	164	--  	          5.56	
002277	友阿股份	1.05	16.30	0.17	16.29	16.30	290508	3266	0.00	          5.13	16.15	16.52	15.99	16.13	    38.59	472230336	  1.64	百货	湖南	3.29	16.26	134841	155666	  0.87	1280	175	--  	          5.66	
002416	爱施德	4.25	13.74	0.56	13.73	13.74	123859	4692	0.14	          1.28	13.21	13.74	13.18	13.18	    75.59	167523632	  1.99	电器连锁	深圳	4.25	13.53	35865	87993	  0.41	1134	103	--  	          9.71	
002419	天虹商场	1.04	16.59	0.17	16.58	16.59	209303	1592	0.12	          2.62	16.35	16.69	16.15	16.42	    25.33	344457312	  1.75	百货	深圳	3.29	16.46	107255	102048	  1.05	130	162	--  	          8.00	
002450	康得新	1.78	19.39	0.34	19.38	19.39	601147	2469	-0.05	          2.09	19.07	19.56	18.93	19.05	    36.23	1160432768	  2.06	化工原料	江苏	3.31	19.30	260050	341096	  0.76	2526	576	--  	         28.76	
