代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
002025	航天电器	--  	25.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.20	    40.64	0	  0.00	元器件	贵州	0.00	25.20	0	0	--  	0	0	--  	          4.29	
002044	美年健康	1.26	12.85	0.16	12.84	12.85	38511	668	0.07	          0.37	12.76	12.88	12.60	12.69	   244.68	49310196	  1.21	医疗保健	江苏	2.21	12.80	16321	22189	  0.74	171	250	--  	         10.39	
002052	同洲电子	-0.31	9.80	-0.03	9.80	9.81	74012	1050	0.10	          1.19	9.82	9.83	9.66	9.83	--  	72159488	  0.62	通信设备	深圳	1.73	9.75	41163	32848	  1.25	143	300	--  	          6.21	
002151	北斗星通	0.19	31.97	0.06	31.97	31.98	44204	466	0.06	          1.89	31.92	32.25	31.70	31.91	   235.80	141331392	  0.44	通信设备	北京	1.72	31.97	23692	20512	  1.16	654	52	--  	          2.34	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	0	--  	0	0	--  	          1.29	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002465	海格通信	0.25	12.00	0.03	12.00	12.01	165131	2342	0.00	          0.90	12.05	12.07	11.91	11.97	    76.97	198092448	  0.47	通信设备	广东	1.34	12.00	91590	73541	  1.25	680	1666	--  	         18.40	
300013	新宁物流	0.82	13.54	0.11	13.51	13.54	24977	282	0.22	          1.08	13.43	13.54	13.32	13.43	   123.74	33639632	  0.78	仓储物流	江苏	1.64	13.47	14724	10252	  1.44	875	183	--  	          2.31	
300018	中元股份	1.15	11.48	0.13	11.47	11.48	46351	323	0.00	          1.40	11.36	11.49	11.24	11.35	    72.85	52879904	  1.02	电气设备	湖北	2.20	11.41	21389	24962	  0.86	539	698	--  	          3.31	
300036	超图软件	0.29	17.05	0.05	17.05	17.06	79131	1589	0.05	          2.60	16.94	17.13	16.68	17.00	   164.89	133703232	  0.72	软件服务	北京	2.65	16.90	38803	40327	  0.96	478	288	--  	          3.05	
300045	华力创通	-0.63	14.24	-0.09	14.23	14.24	49479	615	0.21	          1.39	14.33	14.33	14.00	14.33	   253.77	69734712	  1.52	电脑设备	北京	2.30	14.09	29761	19718	  1.51	18	105	--  	          3.57	
