代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000011	深物业A	-1.40	16.91	-0.24	16.91	16.92	58737	735	-0.05	          3.34	16.95	16.96	16.65	17.15	--  	98866232	  0.94	区域地产	深圳	1.81	16.83	33195	25542	  1.30	461	162	--  	          1.76	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000016	深康佳Ａ	0.90	4.49	0.04	4.49	4.50	103436	3223	0.22	          0.65	4.46	4.50	4.42	4.45	--  	46192644	  1.03	家用电器	深圳	1.80	4.47	31930	71506	  0.45	104	10170	--  	         15.97	
000017	深中华A	-0.80	11.22	-0.09	11.22	11.23	85020	1666	0.26	          2.81	11.29	11.29	10.92	11.31	  2230.04	94405112	  0.74	文教休闲	深圳	3.27	11.10	47244	37775	  1.25	122	76	--  	          3.03	
000018	神州长城	-0.82	9.66	-0.08	9.66	9.67	172647	1087	0.00	          2.29	9.72	9.75	9.54	9.74	    40.58	166010368	  1.51	装修装饰	深圳	2.16	9.62	108631	64016	  1.70	292	580	--  	          7.53	
000019	深深宝Ａ	-2.68	16.32	-0.45	16.32	16.33	267722	3838	-0.18	          7.08	16.42	16.53	16.11	16.77	--  	435080320	  1.32	软饮料	深圳	2.50	16.25	147003	120718	  1.22	191	1047	--  	          3.78	
000020	深华发Ａ	-0.98	21.28	-0.21	21.28	21.29	14761	127	0.04	          0.81	21.49	21.60	21.08	21.49	  1002.23	31359002	  1.18	元器件	深圳	2.42	21.24	8692	6068	  1.43	101	42	--  	          1.81	
000022	深赤湾Ａ	0.20	19.75	0.04	19.75	19.76	59899	3418	-0.30	          1.29	19.50	19.88	19.33	19.71	    22.35	117773880	  0.52	港口	深圳	2.79	19.66	29129	30770	  0.95	94	20	--  	          4.65	
000025	特 力Ａ	-0.06	51.15	-0.03	51.15	51.16	14561	515	0.00	          0.75	51.14	51.29	50.56	51.18	   435.03	74206448	  0.67	汽车服务	深圳	1.43	50.96	7974	6586	  1.21	28	84	--  	          1.94	
000026	飞亚达Ａ	1.19	14.46	0.17	14.45	14.46	84189	713	0.06	          2.36	14.25	14.52	14.14	14.29	    57.33	121192872	  0.84	其他商业	深圳	2.66	14.40	37726	46462	  0.81	414	765	--  	          3.57	
000028	国药一致	-0.06	70.33	-0.04	70.30	70.33	12554	23	0.15	          0.54	70.37	71.12	70.20	70.37	    31.24	88632824	  1.25	医药商业	深圳	1.31	70.60	9230	3323	  2.78	1	15	--  	          2.33	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    35.78	0	  0.00	区域地产	深圳	0.00	11.17	0	0	--  	0	0	--  	          8.92	
000030	富奥股份	1.96	8.83	0.17	8.82	8.83	103535	704	0.11	          0.83	8.66	8.95	8.61	8.66	    16.50	90658352	  1.84	汽车配件	吉林	3.93	8.76	45744	57790	  0.79	314	770	--  	         12.47	
000037	*ST南电A	1.22	12.40	0.15	12.30	12.40	54370	5666	0.89	          1.60	12.20	12.40	12.10	12.25	--  	66601536	  1.01	火力发电	深圳	2.45	12.25	27273	27097	  1.01	33	651	--  	          3.39	
000045	深纺织Ａ	-1.54	14.09	-0.22	14.09	14.10	105598	1681	0.00	          2.31	14.15	14.19	13.84	14.31	--  	147672256	  0.96	纺织	深圳	2.45	13.98	59358	46239	  1.28	2247	1635	--  	          4.57	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000056	皇庭国际	0.16	12.85	0.02	12.85	12.86	16204	554	0.00	          0.57	12.83	12.90	12.71	12.83	   148.09	20795786	  0.80	房产服务	深圳	1.48	12.83	7180	9024	  0.80	233	256	--  	          2.86	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	0	--  	0	0	--  	         29.89	
000418	小天鹅Ａ	1.17	38.81	0.45	38.81	38.82	48697	343	0.18	          1.11	38.35	39.88	38.13	38.36	    20.89	190247408	  1.61	家用电器	江苏	4.56	39.07	23536	25160	  0.94	24	13	--  	          4.39	
000429	粤高速Ａ	-0.13	7.42	-0.01	7.41	7.42	41557	189	0.00	          0.89	7.43	7.46	7.32	7.43	    14.59	30689606	  0.59	路桥	广东	1.88	7.38	22242	19314	  1.15	368	225	--  	          4.69	
