代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000005	世纪星源	-0.15	6.63	-0.01	6.63	6.64	151310	741	0.00	          1.59	6.62	6.69	6.51	6.64	    39.35	99983144	  0.90	房产服务	深圳	2.71	6.61	61199	90110	  0.68	1030	2727	--  	          9.51	
000027	深圳能源	0.86	7.02	0.06	7.02	7.03	102799	264	0.00	          0.26	6.95	7.03	6.81	6.96	    15.60	71411424	  1.57	火力发电	深圳	3.16	6.95	52456	50342	  1.04	392	3512	--  	         39.64	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	0	--  	0	0	--  	          6.66	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000546	金圆股份	-1.12	12.33	-0.14	12.32	12.33	147217	2574	0.16	          5.38	12.43	12.44	12.06	12.47	    24.66	180584320	  0.61	水泥	吉林	3.05	12.27	81321	65896	  1.23	827	1283	--  	          2.74	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000826	启迪桑德	1.23	34.50	0.42	34.49	34.50	32952	617	0.00	          0.39	34.08	34.55	33.88	34.08	    30.87	112715056	  1.22	环境保护	湖北	1.97	34.21	15578	17374	  0.90	28	543	--  	          8.47	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
000939	凯迪生态	0.50	12.09	0.06	12.09	12.10	99935	850	-0.08	          0.94	12.05	12.17	12.01	12.03	   105.40	120728488	  0.72	新型电力	湖北	1.33	12.08	51413	48521	  1.06	349	780	--  	         10.61	
002015	霞客环保	0.72	8.40	0.06	8.39	8.40	25772	300	0.00	          0.67	8.30	8.41	8.30	8.34	--  	21556292	  0.86	化纤	江苏	1.32	8.36	10871	14901	  0.73	160	1203	--  	          3.82	
002255	海陆重工	--  	10.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.06	    91.10	0	  0.00	专用机械	江苏	0.00	10.06	0	0	--  	0	0	--  	          4.42	
002340	格林美	0.47	8.48	0.04	8.48	8.49	1474944	39663	0.59	          6.32	8.40	8.54	8.25	8.44	    94.11	1236827904	  0.71	小金属	深圳	3.44	8.39	774051	700893	  1.10	1553	6185	--  	         23.34	
002442	龙星化工	0.66	13.70	0.09	13.69	13.70	31043	214	-0.14	          0.97	13.65	13.76	13.43	13.61	   335.88	42491848	  1.77	化工原料	河北	2.42	13.69	13479	17563	  0.77	33	85	--  	          3.20	
002479	富春环保	0.71	12.68	0.09	12.67	12.68	124323	1474	-0.07	          1.71	12.55	12.80	12.17	12.59	    41.23	154607104	  1.94	火力发电	浙江	5.00	12.44	53722	70601	  0.76	70	99	--  	          7.28	
002616	长青集团	-0.20	24.65	-0.05	24.65	24.69	26225	187	-0.16	          1.17	24.55	24.81	24.01	24.70	    66.35	64121000	  1.01	环境保护	广东	3.24	24.45	12654	13570	  0.93	7	225	--  	          2.24	
002645	华宏科技	1.67	27.97	0.46	27.97	27.98	27195	493	-0.10	          1.83	27.42	28.22	27.35	27.51	    89.71	75691960	  0.80	专用机械	江苏	3.16	27.83	14587	12607	  1.16	156	52	--  	          1.49	
002663	普邦股份	0.51	5.91	0.03	5.91	5.92	59939	395	-0.16	          0.51	5.84	5.93	5.84	5.88	    96.17	35281548	  0.71	建筑施工	广东	1.53	5.89	29023	30916	  0.94	59	102	--  	         11.74	
002672	东江环保	0.44	18.24	0.08	18.24	18.25	58241	1045	0.05	          1.33	18.24	18.25	17.95	18.16	    31.90	105522544	  1.00	环境保护	广东	1.65	18.12	30737	27503	  1.12	363	262	--  	          4.37	
300090	盛运环保	4.68	10.97	0.49	10.96	10.97	647533	16281	0.73	          7.37	10.47	11.20	10.37	10.48	    65.79	705633984	  2.08	环境保护	安徽	7.92	10.90	294776	352757	  0.84	252	4768	--  	          8.78	
300172	中电环保	1.06	10.51	0.11	10.50	10.51	65074	1725	0.19	          1.91	10.34	10.51	10.30	10.40	    53.95	67908680	  0.69	环境保护	江苏	2.02	10.44	36238	28836	  1.26	682	790	--  	          3.42	
300190	维尔利	1.28	16.65	0.21	16.65	16.66	23397	595	0.06	          0.71	16.42	16.75	16.38	16.44	    70.63	38751220	  1.06	环境保护	江苏	2.25	16.56	13271	10126	  1.31	472	80	--  	          3.31	
300385	雪浪环境	0.48	37.37	0.18	37.34	37.37	13009	256	0.08	          2.72	37.19	37.49	36.50	37.19	    50.55	48148580	  0.92	环境保护	江苏	2.66	37.01	6287	6721	  0.94	17	246	--  	          0.48	
600008	首创股份	0.23	4.37	0.01	4.37	4.38	548754	280	0.00	          1.14	4.35	4.42	4.34	4.36	    40.24	240462416	  0.68	环境保护	北京	1.83	4.38	328905	219848	  1.50	23	4340	--  	         48.21	
600098	广州发展	-2.57	9.84	-0.26	9.84	9.85	592485	58	0.10	          2.17	10.01	10.03	9.61	10.10	    20.33	578918464	  0.40	火力发电	广东	4.16	9.77	270579	321905	  0.84	91	1456	--  	         27.26	
600116	三峡水利	-0.52	9.59	-0.05	9.58	9.59	166817	23	-0.10	          1.88	9.61	9.64	9.45	9.64	    36.20	159282640	  0.86	水力发电	重庆	1.97	9.55	91137	75679	  1.20	1691	23	--  	          8.88	
600133	东湖高新	1.71	8.35	0.14	8.34	8.35	68222	500	-0.11	          1.27	8.23	8.39	8.19	8.21	   118.28	56882180	  1.26	园区开发	湖北	2.44	8.34	29562	38660	  0.76	129	510	--  	          5.38	
600247	ST成城	-0.96	12.34	-0.12	12.33	12.35	14444	10	-0.48	          0.43	12.37	12.45	12.27	12.46	--  	17839318	  0.81	商贸代理	吉林	1.44	12.35	7913	6531	  1.21	47	72	--  	          3.36	
600292	远达环保	0.84	12.04	0.10	12.04	12.05	40525	96	0.24	          0.52	11.95	12.04	11.87	11.94	    62.24	48482376	  0.74	环境保护	重庆	1.42	11.96	15176	25349	  0.60	458	333	--  	          7.81	
600323	瀚蓝环境	1.12	15.37	0.17	15.36	15.37	73109	409	0.06	          1.16	15.27	15.44	15.18	15.20	    20.42	112058392	  1.21	水务	广东	1.71	15.33	34447	38662	  0.89	244	3380	--  	          6.29	
600459	贵研铂业	0.63	25.42	0.16	25.43	25.44	58906	5	0.00	          2.26	25.30	25.44	24.91	25.26	    87.39	148643072	  0.67	小金属	云南	2.10	25.23	30013	28892	  1.04	202	301	--  	          2.61	
600475	华光股份	0.45	20.10	0.09	20.10	20.11	22884	21	0.09	          0.89	19.92	20.19	19.90	20.01	    55.08	45944244	  0.99	专用机械	江苏	1.45	20.08	10906	11978	  0.91	27	181	--  	          2.56	
600531	豫光金铅	1.93	8.46	0.16	8.45	8.46	99590	25	0.11	          1.12	8.30	8.47	8.28	8.30	   114.12	83859192	  1.05	铅锌	河南	2.29	8.42	37962	61627	  0.62	756	1419	--  	          8.86	
600545	新疆城建	-0.17	11.86	-0.02	11.85	11.86	92188	60	0.16	          1.36	11.90	11.91	11.70	11.88	--  	108535576	  0.74	建筑施工	新疆	1.77	11.77	49058	43129	  1.14	1189	20	--  	          6.76	
600649	城投控股	0.00	20.34	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.34	    24.56	0	  0.00	区域地产	上海	0.00	20.34	0	0	--  	0	0	--  	         24.21	
600724	宁波富达	1.53	5.98	0.09	5.97	5.98	59142	1	0.33	          0.41	5.93	5.98	5.84	5.89	    14.73	35023508	  0.86	区域地产	浙江	2.38	5.92	20107	39034	  0.52	4	475	--  	         14.45	
600726	华电能源	0.60	5.05	0.03	5.04	5.05	46179	40	0.19	          0.30	5.02	5.06	4.98	5.02	    29.27	23198852	  0.78	火力发电	黑龙江	1.59	5.02	21118	25060	  0.84	1057	1493	--  	         15.35	
600835	上海机电	0.83	20.64	0.17	20.64	20.65	31436	103	0.04	          0.39	20.45	20.68	20.31	20.47	    13.85	64525624	  0.98	运输设备	上海	1.81	20.53	15066	16369	  0.92	5	175	--  	          8.07	
600864	哈投股份	-0.09	10.70	-0.01	10.68	10.69	60411	10	0.46	          1.11	10.60	10.74	10.47	10.71	    45.51	64057816	  0.58	火力发电	黑龙江	2.52	10.60	36488	23922	  1.53	102	74	--  	          5.46	
601992	金隅股份	1.49	4.76	0.07	4.76	4.77	852472	66	-0.20	          1.19	4.68	4.80	4.64	4.69	    16.79	404184448	  1.81	水泥	北京	3.41	4.74	377073	475398	  0.79	2092	11017	--  	         71.43	
603568	伟明环保	0.29	24.54	0.07	24.54	24.55	23191	9	0.24	          1.78	24.35	24.56	24.12	24.47	    48.78	56416280	  0.79	环境保护	浙江	1.80	24.33	13739	9451	  1.45	90	7	--  	          1.31	
603588	高能环境	1.74	30.36	0.52	30.36	30.37	31805	2	0.16	          1.31	30.08	30.38	29.60	29.84	   100.08	95695416	  0.99	环境保护	北京	2.61	30.09	11760	20044	  0.59	66	17	--  	          2.43	
