代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000158	常山股份	2.02	12.10	0.24	12.09	12.10	65750	416	0.24	          0.86	11.84	12.10	11.75	11.86	--  	78109528	  0.98	纺织	河北	2.95	11.88	29484	36266	  0.81	54	1000	--  	          7.66	
000977	浪潮信息	0.58	20.94	0.12	20.94	20.95	59519	897	-0.04	          0.60	20.80	21.03	20.71	20.82	    44.94	124271208	  0.69	电脑设备	山东	1.54	20.88	26377	33142	  0.80	462	556	--  	          9.95	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002153	石基信息	0.04	23.05	0.01	23.04	23.05	23035	321	-0.04	          0.47	23.24	23.24	22.88	23.04	    69.70	52935028	  1.39	软件服务	北京	1.56	22.98	11062	11973	  0.92	25	215	--  	          4.89	
002195	二三四五	7.73	12.82	0.92	12.82	12.83	838539	16550	0.23	          8.02	12.07	12.96	11.86	11.90	    39.02	1038276352	  2.42	软件服务	上海	9.24	12.38	327762	510777	  0.64	169	487	--  	         10.46	
002279	久其软件	1.00	18.12	0.18	18.12	18.13	49172	778	0.00	          2.45	17.98	18.18	17.00	17.94	    96.54	87955192	  0.59	软件服务	北京	6.58	17.89	26801	22370	  1.20	263	154	--  	          2.01	
002280	联络互动	1.31	11.59	0.15	11.59	11.60	346061	6871	0.08	          2.76	11.41	11.60	11.20	11.44	    72.05	395949440	  0.74	软件服务	浙江	3.50	11.44	143969	202092	  0.71	2674	3420	--  	         12.52	
002368	太极股份	0.71	32.48	0.23	32.48	32.49	29893	564	-0.03	          0.74	32.37	32.49	32.05	32.25	   156.19	96574768	  0.87	软件服务	北京	1.36	32.31	13689	16203	  0.84	7	110	--  	          4.02	
002474	榕基软件	1.14	13.36	0.15	13.35	13.36	69001	1868	0.14	          1.57	13.20	13.36	13.02	13.21	   306.12	91332344	  0.61	软件服务	福建	2.57	13.24	30541	38460	  0.79	650	1059	--  	          4.41	
002657	中科金财	-0.23	38.68	-0.09	38.68	38.69	45472	759	0.00	          1.99	38.67	38.75	38.12	38.77	    81.00	174398912	  1.32	软件服务	北京	1.62	38.35	25492	19980	  1.28	931	82	--  	          2.28	
300036	超图软件	0.29	17.05	0.05	17.05	17.06	79131	1589	0.05	          2.60	16.94	17.13	16.68	17.00	   164.89	133703232	  0.72	软件服务	北京	2.65	16.90	38803	40327	  0.96	478	288	--  	          3.05	
300253	卫宁健康	0.52	19.20	0.10	19.20	19.21	60847	1695	0.10	          1.01	19.02	19.25	18.87	19.10	    26.36	116238424	  0.73	软件服务	上海	1.99	19.10	28270	32577	  0.87	130	338	--  	          6.00	
300271	华宇软件	--  	17.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.45	    48.78	0	  0.00	软件服务	北京	0.00	17.45	0	0	--  	0	0	--  	          4.83	
300290	荣科科技	2.11	14.03	0.29	14.03	14.04	31518	670	0.00	          1.97	13.78	14.05	13.51	13.74	   185.27	43693716	  1.13	软件服务	辽宁	3.93	13.86	12361	19156	  0.65	147	129	--  	          1.60	
300302	同有科技	1.55	23.53	0.36	23.52	23.53	56001	3085	0.25	          2.27	22.95	23.56	22.90	23.17	   113.05	130672816	  0.50	软件服务	北京	2.85	23.33	29552	26448	  1.12	271	90	--  	          2.46	
