代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000420	吉林化纤	0.25	4.09	0.01	4.08	4.09	77355	1583	0.00	          1.22	4.07	4.09	4.03	4.08	   270.64	31466874	  0.65	化纤	吉林	1.47	4.07	37846	39508	  0.96	2545	5195	--  	          6.37	
000545	金浦钛业	0.29	6.93	0.02	6.92	6.93	486033	11949	0.28	          5.07	6.85	6.93	6.74	6.91	    56.61	332620896	  0.49	化工原料	吉林	2.75	6.84	251586	234447	  1.07	8229	934	--  	          9.59	
000546	金圆股份	-1.12	12.33	-0.14	12.32	12.33	147217	2574	0.16	          5.38	12.43	12.44	12.06	12.47	    24.66	180584320	  0.61	水泥	吉林	3.05	12.27	81321	65896	  1.23	827	1283	--  	          2.74	
000631	顺发恒业	1.02	4.94	0.05	4.93	4.94	78499	463	0.00	          0.36	4.87	4.94	4.86	4.89	    32.09	38578728	  1.16	区域地产	吉林	1.64	4.91	33326	45173	  0.74	4476	1851	--  	         21.66	
000661	长春高新	1.81	112.18	1.99	112.13	112.18	26219	111	0.08	          1.54	110.56	113.76	110.56	110.19	    39.36	295113216	  1.19	生物制药	吉林	2.90	112.56	12698	13521	  0.94	10	10	--  	          1.70	
000669	金鸿能源	-0.17	17.42	-0.03	17.42	17.43	18936	300	0.05	          0.40	17.45	17.48	17.18	17.45	    36.42	32884294	  0.68	供气供热	吉林	1.72	17.37	12050	6886	  1.75	44	331	--  	          4.79	
000718	苏宁环球	0.41	7.27	0.03	7.26	7.27	177690	4333	0.00	          0.78	7.23	7.29	7.08	7.24	    20.54	127732040	  1.49	区域地产	吉林	2.90	7.19	75804	101886	  0.74	1560	1086	--  	         22.89	
000766	通化金马	-0.66	17.98	-0.12	17.98	18.03	22191	266	-0.27	          0.49	18.16	18.17	17.93	18.10	    97.13	39989148	  0.89	中成药	吉林	1.33	18.02	11850	10340	  1.15	298	331	--  	          4.49	
000800	一汽轿车	3.85	12.40	0.46	12.39	12.40	356619	23391	-0.72	          2.53	11.91	12.55	11.91	11.94	--  	440303744	  2.29	汽车整车	吉林	5.36	12.35	156701	199918	  0.78	584	6848	--  	         14.12	
000875	吉电股份	0.50	6.08	0.03	6.08	6.09	82805	756	0.00	          0.74	6.05	6.09	6.01	6.05	   162.96	50200372	  0.83	火力发电	吉林	1.32	6.06	35385	47420	  0.75	1076	4991	--  	         11.16	
000928	中钢国际	3.55	19.81	0.68	19.80	19.81	139295	858	-0.15	          3.37	19.00	19.88	18.90	19.13	    28.13	271801728	  1.15	建筑施工	吉林	5.12	19.51	60472	78822	  0.77	732	507	--  	          4.13	
002118	紫鑫药业	3.10	7.31	0.22	7.31	7.32	152209	2714	0.00	          1.48	7.13	7.34	7.11	7.09	    93.33	110374856	  2.66	中成药	吉林	3.24	7.25	56033	96176	  0.58	699	1902	--  	         10.25	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002501	利源精制	1.57	12.30	0.19	12.29	12.30	161191	2691	0.24	          2.39	12.11	12.37	11.99	12.11	    26.93	197030096	  0.85	铝	吉林	3.14	12.22	59577	101614	  0.59	1077	424	--  	          6.75	
