代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000048	康达尔	-0.27	32.71	-0.09	32.70	32.71	7665	303	-0.09	          0.20	32.81	32.89	32.61	32.80	   318.39	25089384	  0.73	饲料	深圳	0.85	32.73	4111	3553	  1.16	36	112	--  	          3.82	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000523	广州浪奇	1.22	11.59	0.14	11.58	11.59	39931	195	0.00	          0.90	11.45	11.65	11.35	11.45	   224.46	46036364	  0.68	日用化工	广东	2.62	11.53	17527	22404	  0.78	1532	460	--  	          4.46	
000537	广宇发展	1.30	9.35	0.12	9.34	9.35	61992	1172	0.21	          1.21	9.20	9.36	9.20	9.23	    14.34	57698436	  0.82	区域地产	天津	1.73	9.31	26020	35971	  0.72	1185	657	--  	          5.13	
000620	新华联	0.00	8.52	0.00	8.51	8.52	49502	488	0.00	          0.27	8.51	8.53	8.36	8.52	    76.53	41967960	  0.79	全国地产	北京	2.00	8.48	25402	24099	  1.05	254	5	--  	         18.37	
000715	中兴商业	-0.41	14.70	-0.06	14.69	14.70	34948	424	0.13	          1.25	14.75	14.75	14.34	14.76	    98.45	50902968	  0.60	百货	辽宁	2.78	14.57	15860	19088	  0.83	33	123	--  	          2.79	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000736	中房地产	-0.43	18.34	-0.08	18.33	18.34	32677	361	0.00	          1.10	18.26	18.38	18.00	18.42	    43.42	59400032	  0.49	全国地产	重庆	2.06	18.18	18493	14183	  1.30	92	61	--  	          2.97	
000797	中国武夷	1.73	18.80	0.32	18.80	18.81	39903	456	0.00	          0.93	18.53	18.96	18.50	18.48	   552.51	74701808	  1.30	全国地产	福建	2.49	18.72	20135	19767	  1.02	3	133	--  	          4.28	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	0	--  	0	0	--  	         46.08	
002016	世荣兆业	0.81	9.98	0.08	9.97	9.98	39982	378	0.00	          0.62	9.91	10.02	9.80	9.90	    65.18	39760048	  0.81	区域地产	广东	2.22	9.94	20553	19429	  1.06	104	220	--  	          6.46	
