代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000609	绵石投资	-1.04	19.89	-0.21	19.89	19.90	35988	781	0.25	          1.35	20.05	20.09	19.50	20.10	    35.49	71383256	  0.38	区域地产	北京	2.94	19.84	20509	15478	  1.33	417	133	--  	          2.66	
000719	大地传媒	1.19	12.75	0.15	12.74	12.75	50390	956	-0.07	          0.76	12.60	12.79	12.49	12.60	    21.38	63946676	  0.59	出版业	河南	2.38	12.69	23364	27026	  0.86	317	378	--  	          6.67	
002062	宏润建设	-0.15	6.59	-0.01	6.59	6.60	93444	803	-0.15	          0.99	6.60	6.68	6.55	6.60	    34.25	61686560	  1.04	建筑施工	浙江	1.97	6.60	47646	45797	  1.04	1007	775	--  	          9.42	
002192	融捷股份	-0.95	25.09	-0.24	25.09	25.10	69881	1156	0.03	          3.67	25.10	25.52	24.72	25.33	  4733.18	175796480	  0.80	专用机械	广东	3.16	25.16	36326	33555	  1.08	22	22	--  	          1.90	
002230	科大讯飞	1.08	34.59	0.37	34.59	34.60	633294	6215	0.02	          5.46	34.98	35.97	34.34	34.22	   122.25	2222599680	  0.92	软件服务	安徽	4.76	35.10	325352	307942	  1.06	568	324	--  	         11.60	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002261	拓维信息	-0.16	12.13	-0.02	12.13	12.14	60972	392	0.08	          0.82	12.17	12.19	12.00	12.15	    61.83	73817440	  0.61	互联网	湖南	1.56	12.11	33652	27319	  1.23	221	522	--  	          7.45	
002315	焦点科技	0.46	65.48	0.30	65.47	65.48	13717	133	0.00	          2.26	64.97	65.50	64.24	65.18	   128.70	88948144	  0.97	互联网	江苏	1.93	64.85	7162	6554	  1.09	24	128	--  	          0.61	
002325	洪涛股份	-0.67	7.42	-0.05	7.42	7.43	160073	661	0.00	          1.74	7.48	7.49	7.28	7.47	    31.85	118081632	  1.61	装修装饰	深圳	2.81	7.38	72104	87969	  0.82	822	2819	--  	          9.22	
002348	高乐股份	1.52	8.04	0.12	8.04	8.05	149913	3112	0.00	          2.03	7.86	8.16	7.86	7.92	   151.15	120517320	  1.15	文教休闲	广东	3.79	8.04	68946	80966	  0.85	203	2908	--  	          7.39	
002396	星网锐捷	0.65	20.28	0.13	20.27	20.28	92385	1083	0.00	          1.74	20.09	20.53	20.06	20.15	    46.56	187714368	  0.69	通信设备	福建	2.33	20.32	45165	47219	  0.96	89	27	--  	          5.30	
002503	搜于特	-1.29	13.03	-0.17	13.02	13.03	36971	530	0.00	          0.45	13.30	13.30	12.85	13.20	    58.44	48149072	  0.98	服饰	广东	3.41	13.02	16715	20256	  0.83	69	84	--  	          8.13	
002512	达华智能	0.13	15.78	0.02	15.78	15.79	49048	1235	0.06	          0.86	15.76	15.85	15.55	15.76	   207.34	77116776	  0.46	元器件	广东	1.90	15.72	27436	21612	  1.27	91	368	--  	          5.72	
002549	凯美特气	-0.10	9.96	-0.01	9.95	9.96	51677	1664	0.10	          0.91	10.02	10.02	9.90	9.97	   439.06	51462244	  0.83	环境保护	湖南	1.20	9.96	31289	20388	  1.53	1056	1287	--  	          5.67	
002678	珠江钢琴	0.21	14.39	0.03	14.39	14.40	19093	661	0.00	          0.20	14.31	14.43	14.21	14.36	    89.55	27371506	  0.63	文教休闲	广东	1.53	14.34	9958	9134	  1.09	360	112	--  	          9.54	
002730	电光科技	0.16	18.61	0.03	18.60	18.61	42504	1297	0.00	          4.14	18.53	18.79	18.05	18.58	   161.50	78441328	  0.86	电气设备	浙江	3.98	18.45	20849	21655	  0.96	353	19	--  	          1.03	
300010	立思辰	-0.24	16.38	-0.04	16.37	16.38	96452	1004	0.12	          2.23	16.38	16.44	16.18	16.42	   186.07	157340800	  1.12	软件服务	北京	1.58	16.31	57426	39025	  1.47	239	82	--  	          4.32	
300050	世纪鼎利	-0.24	12.47	-0.03	12.47	12.48	52373	521	0.16	          1.60	12.56	12.57	12.38	12.50	    51.87	65275332	  0.70	软件服务	广东	1.52	12.46	33532	18841	  1.78	33	60	--  	          3.28	
300074	华平股份	2.01	9.15	0.18	9.14	9.15	94806	990	0.00	          2.18	8.93	9.18	8.89	8.97	   378.22	85633864	  1.03	通信设备	上海	3.23	9.03	37475	57331	  0.65	168	690	--  	          4.35	
300076	GQY视讯	-0.25	11.94	-0.03	11.94	11.95	146088	2477	0.00	          3.97	11.95	12.04	11.78	11.97	--  	174135776	  0.53	电脑设备	浙江	2.17	11.92	76438	69650	  1.10	930	610	--  	          3.68	
300089	文化长城	2.17	16.00	0.34	16.00	16.01	29435	1174	0.00	          1.18	15.66	16.00	15.44	15.66	    47.66	46484980	  1.05	陶瓷	广东	3.58	15.79	14358	15077	  0.95	111	543	--  	          2.49	
300160	秀强股份	-5.03	12.65	-0.67	12.65	12.66	247313	1835	-0.23	          4.14	13.30	13.30	12.01	13.32	    65.50	312290944	  0.99	玻璃	江苏	9.68	12.63	119633	127679	  0.94	691	49	--  	          5.98	
300170	汉得信息	1.17	12.12	0.14	12.11	12.12	141805	2287	0.08	          2.19	11.93	12.14	11.79	11.98	    47.29	169658416	  0.86	软件服务	上海	2.92	11.96	64335	77469	  0.83	426	742	--  	          6.48	
300205	天喻信息	0.28	14.30	0.04	14.30	14.31	26296	516	-0.06	          0.62	14.26	14.37	14.05	14.26	   149.68	37440972	  0.72	元器件	湖北	2.24	14.24	12584	13712	  0.92	411	30	--  	          4.26	
