代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000404	华意压缩	0.76	10.65	0.08	10.65	10.66	84473	545	0.00	          1.51	10.55	10.73	10.40	10.57	    24.68	89776480	  0.71	专用机械	江西	3.12	10.63	42949	41524	  1.03	478	427	--  	          5.58	
000530	大冷股份	0.27	11.28	0.03	11.27	11.28	73947	995	0.00	          2.07	11.23	11.30	11.14	11.25	    39.28	83027936	  1.69	机械基件	辽宁	1.42	11.23	40536	33411	  1.21	12	70	--  	          3.57	
000811	烟台冰轮	1.29	15.68	0.20	15.68	15.70	41881	350	0.19	          1.04	15.48	15.76	15.37	15.48	    20.93	65403448	  0.84	工程机械	山东	2.52	15.62	19019	22861	  0.83	158	187	--  	          4.03	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002084	海鸥卫浴	0.09	10.79	0.01	10.79	10.80	33313	598	0.27	          0.82	10.84	10.84	10.67	10.78	    58.98	35818144	  0.91	家居用品	广东	1.58	10.75	18350	14963	  1.23	314	183	--  	          4.05	
002158	汉钟精机	1.13	10.70	0.12	10.70	10.71	26828	320	0.09	          0.51	10.58	10.73	10.49	10.58	    33.02	28508552	  0.79	工程机械	上海	2.27	10.63	11853	14975	  0.79	30	120	--  	          5.30	
002413	雷科防务	0.48	12.54	0.06	12.54	12.55	61331	920	0.00	          0.87	12.52	12.64	12.45	12.48	   160.11	76975208	  0.56	通信设备	江苏	1.52	12.55	31869	29461	  1.08	161	509	--  	          7.08	
300257	开山股份	1.06	20.02	0.21	20.02	20.04	32403	174	0.10	          0.40	19.78	20.13	19.68	19.81	   170.65	64513960	  1.12	机械基件	浙江	2.27	19.91	13024	19378	  0.67	55	167	--  	          8.19	
300263	隆华节能	1.96	7.29	0.14	7.28	7.29	76533	2749	0.13	          1.57	7.15	7.30	7.10	7.15	   121.48	55319040	  1.32	专用机械	河南	2.80	7.23	28595	47937	  0.60	4077	451	--  	          4.88	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600481	双良节能	0.00	8.35	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.35	    77.51	0	  0.00	环境保护	江苏	0.00	8.35	0	0	--  	0	0	--  	         16.20	
600619	海立股份	0.70	12.94	0.09	12.93	12.94	55405	9	0.38	          1.20	12.84	12.96	12.59	12.85	   153.84	70710104	  1.00	机械基件	上海	2.88	12.76	26714	28691	  0.93	80	193	--  	          4.61	
601608	中信重工	0.54	5.55	0.03	5.54	5.55	185260	1906	0.18	          0.43	5.50	5.57	5.41	5.52	--  	102212048	  0.70	专用机械	河南	2.90	5.52	88100	97159	  0.91	1591	1281	--  	         42.80	
数据来源:通达信
