代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000513	丽珠集团	2.15	54.73	1.15	54.73	54.74	22281	146	-0.01	          0.95	53.42	54.88	53.12	53.58	    28.42	121347856	  1.33	中成药	广东	3.28	54.46	9204	13077	  0.70	6	257	--  	          2.36	
000661	长春高新	1.81	112.18	1.99	112.13	112.18	26219	111	0.08	          1.54	110.56	113.76	110.56	110.19	    39.36	295113216	  1.19	生物制药	吉林	2.90	112.56	12698	13521	  0.94	10	10	--  	          1.70	
000710	*ST天仪	4.99	52.98	2.52	52.98	--  	31672	2	0.00	          2.09	50.99	52.98	50.70	50.46	--  	165738928	  0.61	汽车配件	四川	4.52	52.33	16271	15400	  1.06	6730	0	--  	          1.51	
000822	山东海化	-0.28	7.08	-0.02	7.07	7.08	108989	1443	0.14	          1.22	7.08	7.09	6.93	7.10	    71.34	76432432	  1.25	化工原料	山东	2.25	7.01	50986	58003	  0.88	677	2629	--  	          8.95	
002007	华兰生物	1.45	36.43	0.52	36.42	36.43	75476	867	-0.05	          0.94	35.99	36.89	35.93	35.91	    41.84	275408608	  1.56	生物制药	河南	2.67	36.49	38464	37011	  1.04	21	221	--  	          8.04	
002022	科华生物	1.52	20.75	0.31	20.74	20.75	35848	351	0.04	          0.94	20.50	20.82	20.40	20.44	    39.07	74160480	  0.91	医疗保健	上海	2.05	20.69	14097	21751	  0.65	281	214	--  	          3.80	
002030	达安基因	1.27	23.06	0.29	23.06	23.07	149753	1841	-0.12	          2.16	22.80	23.40	22.75	22.77	   147.77	347211648	  1.01	生物制药	广东	2.85	23.19	65892	83861	  0.79	911	18	--  	          6.94	
002118	紫鑫药业	3.10	7.31	0.22	7.31	7.32	152209	2714	0.00	          1.48	7.13	7.34	7.11	7.09	    93.33	110374856	  2.66	中成药	吉林	3.24	7.25	56033	96176	  0.58	699	1902	--  	         10.25	
002172	澳洋科技	0.19	10.58	0.02	10.57	10.58	40220	805	0.18	          0.73	10.56	10.65	10.47	10.56	    29.00	42490912	  0.59	化纤	江苏	1.70	10.56	22609	17611	  1.28	465	113	--  	          5.53	
002191	劲嘉股份	0.68	10.34	0.07	10.34	10.35	154306	1446	0.09	          1.18	10.21	10.45	10.21	10.27	    23.14	159396912	  1.67	广告包装	深圳	2.34	10.33	74867	79438	  0.94	308	425	--  	         13.03	
002437	誉衡药业	0.48	8.30	0.04	8.30	8.31	132418	909	0.00	          0.62	8.26	8.33	8.23	8.26	    24.01	109820488	  0.45	化学制药	黑龙江	1.21	8.29	58276	74141	  0.79	3306	2390	--  	         21.48	
002584	西陇科学	-6.00	15.04	-0.96	15.04	15.05	581374	14087	0.06	         22.41	15.79	15.80	14.80	16.00	    80.05	882784064	  1.25	化工原料	广东	6.25	15.18	324313	257061	  1.26	236	271	--  	          2.59	
002603	以岭药业	1.40	18.13	0.25	18.12	18.13	75497	772	-0.05	          0.84	17.85	18.15	17.62	17.88	    35.23	135783296	  1.47	中成药	河北	2.96	17.99	28246	47251	  0.60	271	261	--  	          8.94	
002642	荣之联	3.80	22.65	0.83	22.64	22.65	285087	3231	-0.22	          7.45	22.25	23.88	21.87	21.82	   190.49	649338240	  2.05	软件服务	北京	9.21	22.78	128314	156772	  0.82	827	240	--  	          3.83	
300003	乐普医疗	-0.06	17.25	-0.01	17.25	17.26	45041	577	0.05	          0.32	17.21	17.35	17.15	17.26	    42.41	77751968	  0.70	医疗保健	北京	1.16	17.26	28059	16982	  1.65	906	193	--  	         14.14	
300009	安科生物	1.49	21.86	0.32	21.85	21.86	48343	1167	0.13	          1.41	21.54	21.99	21.45	21.54	    63.50	105481600	  0.96	生物制药	安徽	2.51	21.82	22143	26200	  0.85	255	221	--  	          3.43	
300012	华测检测	0.48	10.46	0.05	10.45	10.46	124261	2458	0.09	          1.83	10.41	10.50	10.24	10.41	    87.11	129024264	  0.78	电器仪表	深圳	2.50	10.38	62968	61292	  1.03	267	936	--  	          6.78	
300016	北陆药业	0.73	18.01	0.13	18.01	18.02	27027	356	0.27	          1.06	17.88	18.06	17.69	17.88	   358.45	48472364	  0.72	中成药	北京	2.07	17.93	12505	14521	  0.86	10	137	--  	          2.54	
300030	阳普医疗	1.05	13.51	0.14	13.51	13.52	40991	525	0.14	          1.62	13.38	13.52	13.16	13.37	   145.43	54784928	  0.56	医疗保健	广东	2.69	13.37	20930	20061	  1.04	331	278	--  	          2.53	
300109	新开源	0.64	43.90	0.28	43.90	43.91	15570	243	0.02	          1.84	43.62	44.36	43.05	43.62	    87.69	68270208	  0.77	化工原料	河南	3.00	43.85	8012	7557	  1.06	59	56	--  	          0.84	
300146	汤臣倍健	0.43	11.61	0.05	11.60	11.61	58260	965	0.17	          0.67	11.58	11.62	11.43	11.56	    31.89	67253976	  0.92	食品	广东	1.64	11.54	32184	26075	  1.23	310	241	--  	          8.71	
300171	东富龙	0.64	14.14	0.09	14.14	14.15	24473	366	0.07	          0.73	14.08	14.15	13.92	14.05	    36.25	34398644	  0.82	医疗保健	上海	1.64	14.06	11409	13063	  0.87	20	526	--  	          3.34	
300216	千山药机	0.55	31.33	0.17	31.32	31.33	29099	593	-0.06	          1.09	31.14	31.78	30.85	31.16	   450.45	91432912	  0.80	医疗保健	湖南	2.98	31.42	14925	14174	  1.05	130	11	--  	          2.67	
300244	迪安诊断	2.21	31.86	0.69	31.86	31.87	46753	1127	0.15	          1.41	31.17	31.98	31.10	31.17	    69.99	148122576	  1.39	医疗保健	浙江	2.82	31.68	19650	27102	  0.73	134	16	--  	          3.31	
300254	仟源医药	0.94	19.35	0.18	19.34	19.35	14848	198	0.05	          1.08	19.19	19.35	19.00	19.17	   103.98	28555784	  0.88	化学制药	山西	1.83	19.23	5715	9133	  0.63	19	154	--  	          1.37	
300289	利德曼	-0.74	12.00	-0.09	11.98	12.00	27692	292	0.25	          0.87	12.05	12.07	11.89	12.09	    80.52	33082888	  0.67	生物制药	北京	1.49	11.95	16501	11190	  1.47	257	145	--  	          3.18	
300306	远方光电	1.05	23.00	0.24	23.00	23.02	33591	1368	-0.69	          2.85	22.75	23.38	22.28	22.76	    81.68	75969512	  1.50	电器仪表	浙江	4.83	22.62	20685	12905	  1.60	227	69	--  	          1.18	
300436	广生堂	1.24	49.80	0.61	49.80	49.82	8167	90	0.00	          1.46	49.37	49.89	48.51	49.19	    89.42	40227924	  1.10	化学制药	福建	2.81	49.25	4064	4103	  0.99	15	10	--  	          0.56	
300439	美康生物	0.44	27.70	0.12	27.68	27.70	15292	201	0.14	          1.39	27.40	27.70	26.82	27.58	    50.56	41702408	  1.10	医疗保健	浙江	3.19	27.27	6508	8784	  0.74	44	60	--  	          1.10	
300558	贝达药业	1.34	70.44	0.93	70.44	70.45	11575	184	-0.01	          2.82	69.08	70.58	68.88	69.51	    68.70	80958752	  1.05	化学制药	浙江	2.45	69.94	4882	6692	  0.73	18	51	--  	          0.41	
300583	赛托生物	4.18	76.55	3.07	76.55	76.56	42503	1105	-0.09	         15.94	73.51	76.89	72.30	73.48	    84.62	318708096	  1.70	生物制药	山东	6.25	74.99	18117	24385	  0.74	275	92	--  	          0.27	
600095	哈高科	2.33	14.49	0.33	14.48	14.50	327971	6	0.06	          9.08	14.07	14.58	13.95	14.16	--  	466679168	  1.98	区域地产	黑龙江	4.45	14.23	123584	204387	  0.60	746	66	--  	          3.61	
600127	金健米业	-0.53	7.44	-0.04	7.44	7.45	97667	137	0.00	          1.52	7.47	7.47	7.36	7.48	   263.20	72453008	  0.84	农业综合	湖南	1.47	7.42	52570	45097	  1.17	93	302	--  	          6.42	
600329	中新药业	2.22	18.92	0.41	18.91	18.93	43569	60	0.21	          0.77	18.57	18.98	18.52	18.51	    31.24	82020680	  1.56	中成药	天津	2.49	18.83	13628	29940	  0.46	50	87	--  	          5.66	
600463	空港股份	0.90	15.69	0.14	15.67	15.68	62316	2	0.06	          2.08	15.59	15.93	15.38	15.55	   167.22	97935816	  1.03	园区开发	北京	3.54	15.72	31977	30338	  1.05	122	22	--  	          3.00	
600645	中源协和	0.00	26.80	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	26.80	  1404.43	0	  0.00	生物制药	天津	0.00	26.80	0	0	--  	0	0	--  	          3.54	
600689	上海三毛	-0.11	17.43	-0.02	17.43	17.44	22600	19	0.00	          1.48	17.46	17.46	17.18	17.45	--  	39141416	  0.59	纺织	上海	1.60	17.32	11683	10916	  1.07	114	148	--  	          1.52	
600993	马应龙	4.83	21.49	0.99	21.47	21.48	113400	14	0.23	          2.64	20.53	21.50	20.52	20.50	    33.59	239931968	  2.99	中成药	湖北	4.78	21.16	40743	72657	  0.56	8	71	--  	          4.30	
603118	共进股份	0.77	38.15	0.29	38.16	38.17	41549	5	0.05	          3.39	37.70	38.26	37.48	37.86	    38.53	157909712	  1.34	通信设备	深圳	2.06	38.01	17987	23561	  0.76	10	83	--  	          1.23	
数据来源:通达信
