代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
002006	精功科技	0.61	9.96	0.06	9.95	9.96	42807	609	0.10	          0.97	9.88	9.96	9.87	9.90	    64.50	42447372	  0.57	专用机械	浙江	0.91	9.92	25361	17445	  1.45	321	248	--  	          4.43	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002083	孚日股份	0.42	7.17	0.03	7.16	7.17	52267	431	0.00	          0.61	7.14	7.17	7.11	7.14	    20.20	37375308	  0.89	纺织	山东	0.84	7.15	26855	25411	  1.06	549	1016	--  	          8.56	
002218	拓日新能	-0.11	9.37	-0.01	9.37	9.38	71676	913	0.00	          1.18	9.34	9.38	9.23	9.38	    51.48	66843208	  0.94	半导体	深圳	1.60	9.33	44214	27461	  1.61	454	564	--  	          6.08	
002506	协鑫集成	0.60	5.04	0.03	5.03	5.04	121823	2121	0.00	          0.55	5.01	5.04	4.97	5.01	    91.16	61019300	  0.84	半导体	上海	1.40	5.01	59351	62471	  0.95	3600	1870	--  	         22.08	
300029	天龙光电	-0.14	13.80	-0.02	13.79	13.80	25087	500	0.21	          1.30	13.80	13.82	13.58	13.82	--  	34333196	  0.95	专用机械	江苏	1.74	13.69	13258	11828	  1.12	24	116	--  	          1.93	
300316	晶盛机电	1.15	13.20	0.15	13.19	13.20	58002	405	0.22	          0.63	13.10	13.38	13.04	13.05	    75.26	76748800	  0.72	专用机械	浙江	2.61	13.23	22007	35995	  0.61	96	708	--  	          9.20	
600089	特变电工	1.06	10.53	0.11	10.54	10.55	437797	51	0.19	          1.37	10.46	10.62	10.36	10.42	    14.47	458537184	  1.35	电气设备	新疆	2.50	10.47	222598	215198	  1.03	1480	1624	--  	         32.00	
600131	岷江水电	0.09	10.88	0.01	10.89	10.90	57735	2	0.00	          1.45	10.88	10.90	10.59	10.87	    25.05	62088912	  0.55	水力发电	四川	2.85	10.75	31098	26636	  1.17	24	426	--  	          3.97	
600151	航天机电	0.00	10.97	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.97	   126.25	0	  0.00	半导体	上海	0.00	10.97	0	0	--  	0	0	--  	         12.50	
600206	有研新材	0.70	10.09	0.07	10.08	10.09	60290	29	0.09	          0.72	10.02	10.09	9.88	10.02	   218.02	60399552	  0.70	半导体	北京	2.10	10.02	31497	28793	  1.09	248	425	--  	          8.39	
600220	江苏阳光	1.89	4.31	0.08	4.30	4.31	135160	5	-0.23	          0.76	4.25	4.35	4.22	4.23	    43.99	57852008	  1.45	纺织	江苏	3.07	4.28	53071	82089	  0.65	2139	19	--  	         17.83	
600295	鄂尔多斯	0.80	10.14	0.08	10.14	10.15	49509	125	0.29	          0.81	10.06	10.15	10.01	10.06	    43.15	49853488	  0.90	小金属	内蒙	1.39	10.07	25012	24496	  1.02	66	586	--  	          6.12	
600438	通威股份	4.14	6.54	0.26	6.53	6.54	434162	1	0.00	          2.25	6.60	6.79	6.42	6.28	    21.12	283799296	  2.94	饲料	四川	5.89	6.54	224691	209470	  1.07	899	438	--  	         19.34	
600550	保变电气	-0.29	6.89	-0.02	6.88	6.89	91893	20	0.14	          0.67	6.91	6.92	6.80	6.91	   721.95	62961648	  1.26	电气设备	河北	1.74	6.85	52152	39741	  1.31	1304	477	--  	         13.73	
600644	乐山电力	0.11	9.26	0.01	9.26	9.27	55660	69	0.21	          1.70	9.18	9.29	9.09	9.25	    23.58	51185096	  0.46	水力发电	四川	2.16	9.20	31787	23872	  1.33	197	210	--  	          3.26	
601012	隆基股份	0.61	14.85	0.09	14.87	14.88	251881	44	-0.06	          1.43	14.83	14.97	14.68	14.76	    19.16	374162496	  1.72	半导体	陕西	1.96	14.85	103186	148694	  0.69	99	663	--  	         17.56	
数据来源:通达信
