代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000040	东旭蓝天	1.70	12.56	0.21	12.55	12.56	23248	120	0.00	          0.50	12.35	12.60	12.31	12.35	    95.76	29008358	  1.17	全国地产	深圳	2.35	12.48	8364	14883	  0.56	102	374	--  	          4.65	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000066	长城电脑	-0.55	10.91	-0.06	10.91	10.92	303119	3963	-0.18	          1.22	10.97	11.01	10.78	10.97	   896.23	330198304	  0.96	电脑设备	深圳	2.10	10.89	166833	136285	  1.22	2065	880	--  	         24.91	
000418	小天鹅Ａ	1.17	38.81	0.45	38.81	38.82	48697	343	0.18	          1.11	38.35	39.88	38.13	38.36	    20.89	190247408	  1.61	家用电器	江苏	4.56	39.07	23536	25160	  0.94	24	13	--  	          4.39	
000533	万 家 乐	0.00	10.22	0.00	10.22	10.23	30837	1302	0.29	          0.45	10.24	10.26	10.15	10.22	   330.53	31441462	  0.73	家用电器	广东	1.08	10.20	16256	14580	  1.11	2075	593	--  	          6.85	
000591	太阳能	-1.43	14.49	-0.21	14.49	14.50	68326	957	-0.06	          2.49	14.60	14.60	14.23	14.70	    36.42	98610568	  0.46	新型电力	重庆	2.52	14.43	39753	28573	  1.39	76	572	--  	          2.75	
000656	金科股份	1.93	5.82	0.11	5.81	5.82	288312	2685	0.17	          0.78	5.71	5.85	5.68	5.71	    23.13	167100464	  1.04	区域地产	重庆	2.98	5.80	120217	168094	  0.72	2660	12990	--  	         36.74	
000815	美利云	0.27	18.50	0.05	18.50	18.53	11058	438	-0.05	          0.35	18.45	18.61	18.28	18.45	--  	20392592	  0.56	造纸	宁夏	1.79	18.44	5481	5577	  0.98	362	5	--  	          3.17	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	0	--  	0	0	--  	          3.34	
000916	华北高速	--  	5.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.01	    15.29	0	  0.00	路桥	北京	0.00	5.01	0	0	--  	0	0	--  	         10.90	
000926	福星股份	1.28	12.63	0.16	12.62	12.63	184434	2752	0.00	          1.94	12.53	12.65	12.43	12.47	    13.45	231688496	  1.87	区域地产	湖北	1.76	12.56	73896	110538	  0.67	1460	79	--  	          9.48	
000958	东方能源	0.21	14.07	0.03	14.07	14.08	44656	200	0.00	          1.34	13.99	14.12	13.83	14.04	    20.45	62543204	  0.73	火力发电	河北	2.07	14.01	20385	24271	  0.84	174	796	--  	          3.33	
000959	首钢股份	0.14	7.19	0.01	7.19	7.20	35633	266	0.00	          0.12	7.17	7.23	7.12	7.18	   208.47	25588390	  0.93	普钢	北京	1.53	7.18	15424	20209	  0.76	51	1278	--  	         29.67	
000962	*ST东钽	0.45	13.26	0.06	13.25	13.26	80417	2215	0.15	          1.82	13.06	13.31	12.96	13.20	   201.53	105832152	  0.95	小金属	宁夏	2.65	13.16	39943	40474	  0.99	845	252	--  	          4.41	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
002006	精功科技	0.61	9.96	0.06	9.95	9.96	42807	609	0.10	          0.97	9.88	9.96	9.87	9.90	    64.50	42447372	  0.57	专用机械	浙江	0.91	9.92	25361	17445	  1.45	321	248	--  	          4.43	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002019	亿帆医药	-0.42	16.73	-0.07	16.72	16.73	147763	1189	0.17	          2.64	16.81	16.84	16.35	16.80	    25.74	245106176	  1.02	化学制药	浙江	2.92	16.59	74919	72843	  1.03	149	209	--  	          5.60	
002035	华帝股份	0.03	32.75	0.01	32.73	32.75	45580	128	0.24	          1.43	32.36	34.24	32.30	32.74	    44.39	151889200	  2.00	家用电器	广东	5.93	33.32	30420	15160	  2.01	4	23	--  	          3.20	
002050	三花智控	--  	10.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.81	    21.75	0	  0.00	机械基件	浙江	0.00	10.81	0	0	--  	0	0	--  	         15.64	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002062	宏润建设	-0.15	6.59	-0.01	6.59	6.60	93444	803	-0.15	          0.99	6.60	6.68	6.55	6.60	    34.25	61686560	  1.04	建筑施工	浙江	1.97	6.60	47646	45797	  1.04	1007	775	--  	          9.42	
002077	大港股份	0.38	15.83	0.06	15.82	15.83	29280	350	-0.06	          1.16	15.83	15.86	15.30	15.77	   339.20	45681720	  0.78	区域地产	江苏	3.55	15.60	12985	16294	  0.80	21	125	--  	          2.52	
002083	孚日股份	0.42	7.17	0.03	7.16	7.17	52267	431	0.00	          0.61	7.14	7.17	7.11	7.14	    20.20	37375308	  0.89	纺织	山东	0.84	7.15	26855	25411	  1.06	549	1016	--  	          8.56	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002129	中环股份	--  	8.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.27	    46.77	0	  0.00	半导体	天津	0.00	8.27	0	0	--  	0	0	--  	         26.44	
002132	恒星科技	--  	6.58	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.58	    75.52	0	  0.00	钢加工	河南	0.00	6.58	0	0	--  	0	0	--  	          7.14	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
