代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000021	深科技	1.44	9.89	0.14	9.89	9.90	94782	1772	0.00	          0.64	9.79	9.91	9.67	9.75	    35.95	92995136	  0.91	电脑设备	深圳	2.46	9.81	42993	51789	  0.83	260	6524	--  	         14.70	
000028	国药一致	-0.06	70.33	-0.04	70.30	70.33	12554	23	0.15	          0.54	70.37	71.12	70.20	70.37	    31.24	88632824	  1.25	医药商业	深圳	1.31	70.60	9230	3323	  2.78	1	15	--  	          2.33	
000031	中粮地产	0.24	8.34	0.02	8.34	8.35	77967	1064	0.00	          0.43	8.31	8.36	8.21	8.32	   147.87	64737916	  0.80	全国地产	深圳	1.80	8.30	39721	38246	  1.04	947	2199	--  	         18.14	
000032	深桑达Ａ	--  	15.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.71	    87.17	0	  0.00	元器件	深圳	0.00	15.71	0	0	--  	0	0	--  	          2.79	
000059	华锦股份	-0.08	12.36	-0.01	12.36	12.37	345059	4097	0.24	          2.46	12.24	12.42	12.07	12.37	    12.63	423133696	  0.64	石油加工	辽宁	2.83	12.26	167379	177679	  0.94	189	1547	--  	         14.00	
000065	北方国际	1.67	31.03	0.51	31.03	31.04	28485	451	0.03	          0.71	30.52	31.15	30.05	30.52	    74.91	87849824	  0.82	建筑施工	北京	3.60	30.84	13633	14851	  0.92	34	92	--  	          4.01	
000066	长城电脑	-0.55	10.91	-0.06	10.91	10.92	303119	3963	-0.18	          1.22	10.97	11.01	10.78	10.97	   896.23	330198304	  0.96	电脑设备	深圳	2.10	10.89	166833	136285	  1.22	2065	880	--  	         24.91	
000151	中成股份	0.91	18.84	0.17	18.83	18.84	31484	496	0.21	          1.18	18.66	18.84	18.55	18.67	    55.36	58888104	  0.66	商贸代理	北京	1.55	18.70	17163	14321	  1.20	28	95	--  	          2.67	
000400	许继电气	0.97	17.65	0.17	17.65	17.66	33942	503	0.05	          0.46	17.42	17.69	17.42	17.48	    54.56	59623092	  0.89	电气设备	河南	1.54	17.57	12016	21926	  0.55	66	246	--  	          7.37	
000411	英特集团	0.34	23.28	0.08	23.27	23.28	19044	158	-0.08	          0.92	23.20	23.46	22.95	23.20	    60.72	44248268	  1.00	医药商业	浙江	2.20	23.23	9582	9462	  1.01	22	34	--  	          2.07	
000519	中兵红箭	1.28	16.68	0.21	16.68	16.69	214670	4016	0.12	          3.68	16.53	16.80	16.53	16.47	   377.56	358348640	  0.62	矿物制品	湖南	1.64	16.69	107399	107270	  1.00	695	1170	--  	          5.83	
000591	太阳能	-1.43	14.49	-0.21	14.49	14.50	68326	957	-0.06	          2.49	14.60	14.60	14.23	14.70	    36.42	98610568	  0.46	新型电力	重庆	2.52	14.43	39753	28573	  1.39	76	572	--  	          2.75	
000625	长安汽车	0.84	15.62	0.13	15.62	15.63	332306	1602	-0.06	          0.88	15.46	15.65	15.37	15.49	     7.27	516725120	  0.77	汽车整车	重庆	1.81	15.55	154897	177409	  0.87	933	2360	--  	         37.61	
000635	英 力 特	-2.38	26.71	-0.65	26.71	26.72	82233	871	0.07	          2.71	27.10	27.10	26.42	27.36	   147.14	219753712	  1.05	化工原料	宁夏	2.49	26.72	51092	31140	  1.64	217	29	--  	          3.03	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000695	滨海能源	-0.45	15.61	-0.07	15.61	15.63	19671	42	0.06	          0.89	15.67	15.69	15.46	15.68	--  	30603970	  0.99	供气供热	天津	1.47	15.56	13390	6281	  2.13	83	107	--  	          2.22	
000727	华东科技	0.00	3.26	0.00	3.26	3.27	451504	12781	-0.30	          1.85	3.26	3.27	3.23	3.26	--  	146849696	  1.24	元器件	江苏	1.23	3.25	175480	276023	  0.64	8167	10174	--  	         24.42	
000733	振华科技	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    40.60	0	  0.00	元器件	贵州	0.00	18.82	0	0	--  	0	0	--  	          4.29	
000767	漳泽电力	2.06	3.96	0.08	3.95	3.96	198490	3608	0.00	          0.88	3.90	3.96	3.88	3.88	 27642.22	78126888	  1.64	火力发电	山西	2.06	3.94	58495	139995	  0.42	3442	10242	--  	         22.54	
000778	新兴铸管	2.21	5.54	0.12	5.53	5.54	575889	10287	0.00	          1.58	5.42	5.54	5.37	5.42	    66.69	314424512	  1.31	钢加工	河北	3.14	5.46	216751	359137	  0.60	7323	7620	--  	         36.43	
000780	平庄能源	1.74	5.85	0.10	5.84	5.85	147686	1499	0.34	          1.46	5.75	5.89	5.67	5.75	--  	85979336	  1.48	煤炭开采	内蒙	3.83	5.82	65420	82265	  0.80	1283	1848	--  	         10.14	
000786	北新建材	0.59	11.84	0.07	11.82	11.84	107151	644	-0.16	          0.78	11.70	11.92	11.59	11.77	    20.30	126266888	  0.67	其他建材	北京	2.80	11.78	54942	52208	  1.05	91	77	--  	         13.78	
000815	美利云	0.27	18.50	0.05	18.50	18.53	11058	438	-0.05	          0.35	18.45	18.61	18.28	18.45	--  	20392592	  0.56	造纸	宁夏	1.79	18.44	5481	5577	  0.98	362	5	--  	          3.17	
000875	吉电股份	0.50	6.08	0.03	6.08	6.09	82805	756	0.00	          0.74	6.05	6.09	6.01	6.05	   162.96	50200372	  0.83	火力发电	吉林	1.32	6.06	35385	47420	  0.75	1076	4991	--  	         11.16	
000877	天山股份	-0.97	14.25	-0.14	14.24	14.25	1167453	14730	0.14	         13.27	14.23	14.68	14.07	14.39	  2173.41	1672318976	  1.03	水泥	新疆	4.24	14.32	634918	532535	  1.19	11740	810	--  	          8.80	
000881	中广核技	-0.19	26.71	-0.05	26.71	26.72	27830	531	0.03	          0.90	26.54	26.85	26.29	26.76	 35504.14	74101056	  0.52	综合类	辽宁	2.09	26.63	13058	14771	  0.88	336	374	--  	          3.08	
000883	湖北能源	0.63	4.78	0.03	4.77	4.78	107673	992	0.00	          0.20	4.76	4.79	4.71	4.75	    12.75	51197832	  0.97	火力发电	湖北	1.68	4.75	53728	53944	  1.00	2871	1811	--  	         53.46	
000897	津滨发展	1.44	4.93	0.07	4.92	4.93	155311	2490	0.20	          0.96	4.82	4.95	4.80	4.86	   114.63	76195880	  0.78	区域地产	天津	3.09	4.91	68157	87154	  0.78	834	3783	--  	         16.17	
000922	佳电股份	0.09	10.79	0.01	10.79	10.80	133364	3238	0.18	          2.91	10.78	10.83	10.57	10.78	--  	142758848	  0.59	电气设备	黑龙江	2.41	10.70	62691	70673	  0.89	433	977	--  	          4.58	
000930	中粮生化	0.68	13.36	0.09	13.35	13.36	352729	7079	0.07	          3.66	13.22	13.37	13.11	13.27	    91.20	467534816	  0.78	农业综合	安徽	1.96	13.25	148902	203827	  0.73	1127	1254	--  	          9.64	
