代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
000156	华数传媒	0.68	17.72	0.12	17.71	17.72	30672	234	0.05	          0.31	17.60	17.75	17.38	17.60	    41.55	53883588	  1.11	影视音像	浙江	2.10	17.57	14238	16433	  0.87	280	79	--  	          9.94	
000502	绿景控股	1.38	17.69	0.24	17.69	17.70	23871	373	-0.05	          1.30	17.47	17.70	17.33	17.45	--  	41904820	  0.60	医疗保健	广东	2.12	17.55	9440	14431	  0.65	34	240	--  	          1.83	
000661	长春高新	1.81	112.18	1.99	112.13	112.18	26219	111	0.08	          1.54	110.56	113.76	110.56	110.19	    39.36	295113216	  1.19	生物制药	吉林	2.90	112.56	12698	13521	  0.94	10	10	--  	          1.70	
000671	阳 光 城	2.30	5.79	0.13	5.79	5.80	276756	1323	0.00	          0.85	5.68	5.83	5.68	5.66	    48.39	159615360	  2.06	区域地产	福建	2.65	5.77	111442	165314	  0.67	1551	1323	--  	         32.45	
000915	山大华特	1.88	43.45	0.80	43.45	43.46	33380	410	0.11	          1.86	42.65	43.46	41.80	42.65	    36.82	142878464	  0.82	化学制药	山东	3.89	42.80	15218	18161	  0.84	250	356	--  	          1.80	
002014	永新股份	1.30	16.36	0.21	16.35	16.36	17599	241	0.18	          0.76	16.13	16.40	16.03	16.15	    27.10	28568972	  0.85	塑料	安徽	2.29	16.23	7848	9750	  0.80	971	3	--  	          2.30	
002078	太阳纸业	0.96	7.33	0.07	7.32	7.33	266128	3464	0.13	          1.05	7.26	7.34	7.18	7.26	    21.21	193811040	  1.03	造纸	山东	2.20	7.28	117445	148683	  0.79	3680	1432	--  	         25.24	
002162	悦心健康	--  	6.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.61	  2006.90	0	  0.00	医疗保健	上海	0.00	6.61	0	0	--  	0	0	--  	          8.15	
002269	美邦服饰	-0.21	4.86	-0.01	4.86	4.87	137909	2335	0.20	          0.55	4.85	4.87	4.74	4.87	--  	66334832	  1.03	服饰	上海	2.67	4.81	71074	66835	  1.06	1147	4198	--  	         25.13	
002292	奥飞娱乐	0.64	22.10	0.14	22.10	22.11	73120	1496	0.18	          1.01	21.91	22.16	21.60	21.96	    49.51	160087040	  0.72	影视音像	广东	2.55	21.89	32846	40273	  0.82	996	169	--  	          7.22	
002308	威创股份	-0.52	15.21	-0.08	15.20	15.21	63919	2436	-0.19	          0.77	15.13	15.48	14.95	15.29	    81.19	97339904	  0.69	电脑设备	广东	3.47	15.23	35849	28070	  1.28	367	236	--  	          8.36	
002348	高乐股份	1.52	8.04	0.12	8.04	8.05	149913	3112	0.00	          2.03	7.86	8.16	7.86	7.92	   151.15	120517320	  1.15	文教休闲	广东	3.79	8.04	68946	80966	  0.85	203	2908	--  	          7.39	
