代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000665	湖北广电	0.70	14.45	0.10	14.45	14.46	20118	428	0.06	          0.44	14.36	14.47	14.26	14.35	    29.01	28964310	  0.74	影视音像	湖北	1.46	14.40	8666	11451	  0.76	143	272	--  	          4.61	
000676	智度股份	0.05	18.22	0.01	18.22	18.23	43188	1346	0.00	          1.38	18.18	18.28	17.87	18.21	    87.87	78296640	  0.64	互联网	河南	2.25	18.13	23675	19512	  1.21	830	36	--  	          3.14	
000836	鑫茂科技	3.60	8.35	0.29	8.34	8.35	553755	4768	-0.11	          4.68	8.10	8.65	7.95	8.06	   212.67	456351936	  1.65	通信设备	天津	8.68	8.24	262092	291662	  0.90	1284	3533	--  	         11.83	
000909	数源科技	-0.06	15.70	-0.01	15.69	15.70	22471	677	0.12	          0.76	15.71	15.75	15.55	15.71	   162.40	35160216	  0.51	综合类	浙江	1.27	15.65	11893	10577	  1.12	508	188	--  	          2.94	
002090	金智科技	-0.81	24.64	-0.20	24.64	24.66	10961	87	0.04	          0.56	24.80	24.81	24.58	24.84	    56.77	27039552	  0.56	软件服务	江苏	0.93	24.67	5614	5347	  1.05	78	15	--  	          1.94	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002214	大立科技	0.16	12.22	0.02	12.22	12.23	74484	1213	0.16	          2.10	12.19	12.25	12.01	12.20	   145.79	90299104	  0.58	电器仪表	浙江	1.97	12.12	43318	31166	  1.39	372	413	--  	          3.55	
002230	科大讯飞	1.08	34.59	0.37	34.59	34.60	633294	6215	0.02	          5.46	34.98	35.97	34.34	34.22	   122.25	2222599680	  0.92	软件服务	安徽	4.76	35.10	325352	307942	  1.06	568	324	--  	         11.60	
002236	大华股份	8.97	16.40	1.35	16.40	16.41	777384	15409	0.61	          4.55	15.10	16.42	15.10	15.05	    33.34	1237688448	  3.05	电器仪表	浙江	8.77	15.92	268135	509248	  0.53	3587	565	--  	         17.09	
