代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000070	特发信息	1.79	26.14	0.46	26.14	26.15	31899	497	0.00	          1.18	25.60	26.18	25.55	25.68	    49.38	82758176	  0.96	通信设备	深圳	2.45	25.94	14597	17302	  0.84	41	279	--  	          2.71	
000890	法 尔 胜	-0.17	11.59	-0.02	11.59	11.60	42564	498	0.00	          1.12	11.55	11.63	11.44	11.61	    24.28	49223560	  0.93	钢加工	江苏	1.64	11.56	23094	19470	  1.19	736	271	--  	          3.80	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002194	武汉凡谷	0.08	12.99	0.01	12.98	12.99	45820	761	0.07	          1.05	12.90	13.04	12.74	12.98	--  	59111940	  0.59	通信设备	湖北	2.31	12.90	24846	20974	  1.18	228	108	--  	          4.37	
002231	奥维通信	1.47	13.80	0.20	13.79	13.80	37908	667	0.14	          1.51	13.55	13.83	13.51	13.60	--  	51937376	  1.08	通信设备	辽宁	2.35	13.70	13374	24534	  0.55	81	276	--  	          2.50	
002281	光迅科技	-0.12	79.90	-0.10	79.89	79.90	51359	622	-0.23	          2.50	79.80	80.34	78.61	80.00	    58.77	408601216	  1.00	通信设备	湖北	2.16	79.56	31178	20180	  1.54	1	35	--  	          2.06	
002313	日海通讯	2.19	22.41	0.48	22.41	22.42	64348	441	0.08	          2.06	21.85	22.59	21.66	21.93	   413.85	143177568	  1.11	通信设备	深圳	4.24	22.25	28581	35766	  0.80	241	49	--  	          3.12	
002396	星网锐捷	0.65	20.28	0.13	20.27	20.28	92385	1083	0.00	          1.74	20.09	20.53	20.06	20.15	    46.56	187714368	  0.69	通信设备	福建	2.33	20.32	45165	47219	  0.96	89	27	--  	          5.30	
002417	三元达	0.26	15.56	0.04	15.56	15.57	28938	122	-0.06	          1.38	15.52	15.70	15.36	15.52	--  	45014452	  0.86	通信设备	福建	2.19	15.56	18874	10063	  1.88	58	92	--  	          2.10	
002491	通鼎互联	1.45	16.13	0.23	16.13	16.14	80985	1554	0.06	          0.73	15.88	16.19	15.75	15.90	    36.73	129435832	  1.07	通信设备	江苏	2.77	15.98	33468	47516	  0.70	39	344	--  	         11.16	
300079	数码视讯	0.00	7.10	0.00	7.09	7.10	147932	1205	0.14	          1.22	7.10	7.12	7.01	7.10	    50.59	104327904	  1.04	通信设备	北京	1.55	7.05	86972	60959	  1.43	2230	2707	--  	         12.08	
300250	初灵信息	0.87	26.74	0.23	26.74	26.75	34660	662	0.11	          3.07	26.26	26.77	26.12	26.51	    62.03	91740312	  0.76	通信设备	浙江	2.45	26.47	16934	17725	  0.96	2	323	--  	          1.13	
600198	大唐电信	-0.29	16.94	-0.05	16.94	16.95	169353	17	-0.05	          2.02	16.98	17.17	16.53	16.99	--  	284652096	  0.96	通信设备	北京	3.77	16.81	83585	85768	  0.97	960	468	--  	          8.39	
600345	长江通信	0.04	22.70	0.01	22.69	22.72	15534	10	0.30	          0.78	22.69	22.78	22.31	22.69	    64.62	35118464	  0.84	通信设备	湖北	2.07	22.61	6656	8878	  0.75	5	117	--  	          1.98	
600487	亨通光电	2.36	23.44	0.54	23.38	23.39	504711	11	0.47	          4.07	22.95	23.85	22.70	22.90	    20.83	1176621440	  1.43	通信设备	江苏	5.02	23.31	241231	263480	  0.92	8	3	--  	         12.41	
600498	烽火通信	1.46	26.46	0.38	26.46	26.47	97151	10	0.03	          0.98	25.91	26.62	25.76	26.08	    39.10	255514592	  0.85	通信设备	湖北	3.30	26.30	41641	55509	  0.75	32	48	--  	          9.96	
600522	中天科技	3.15	11.46	0.35	11.44	11.45	887386	205	0.08	          3.90	11.08	11.48	11.07	11.11	    23.02	1006697408	  3.36	通信设备	江苏	3.69	11.34	369803	517583	  0.71	1638	25	--  	         22.76	
数据来源:通达信
