代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000619	海螺型材	1.64	13.01	0.21	13.01	13.02	55858	1048	0.15	          1.55	12.81	13.04	12.63	12.80	    38.60	72109608	  1.24	其他建材	安徽	3.20	12.91	24010	31847	  0.75	949	784	--  	          3.60	
000786	北新建材	0.59	11.84	0.07	11.82	11.84	107151	644	-0.16	          0.78	11.70	11.92	11.59	11.77	    20.30	126266888	  0.67	其他建材	北京	2.80	11.78	54942	52208	  1.05	91	77	--  	         13.78	
002082	栋梁新材	--  	19.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.49	    61.40	0	  0.00	铝	浙江	0.00	19.49	0	0	--  	0	0	--  	          2.05	
002088	鲁阳节能	-0.16	18.60	-0.03	18.60	18.62	14513	126	0.10	          1.06	18.63	18.73	18.37	18.63	    51.06	26976292	  0.66	矿物制品	山东	1.93	18.59	7765	6748	  1.15	120	102	--  	          1.37	
002163	中航三鑫	0.10	10.33	0.01	10.32	10.33	153189	3275	0.00	          2.06	10.30	10.34	10.11	10.32	--  	156529568	  0.80	装修装饰	深圳	2.23	10.22	85093	68096	  1.25	1103	3234	--  	          7.42	
002165	红 宝 丽	0.38	7.87	0.03	7.87	7.88	40199	549	-0.12	          0.76	7.83	7.88	7.74	7.84	    47.70	31437534	  0.59	化工原料	江苏	1.79	7.82	19250	20948	  0.92	816	835	--  	          5.28	
002169	智光电气	-0.58	20.65	-0.12	20.65	20.66	103772	1872	0.09	          4.13	20.74	20.74	20.25	20.77	    67.37	212935968	  0.66	电气设备	广东	2.36	20.52	58498	45274	  1.29	588	236	--  	          2.51	
002178	延华智能	0.71	11.31	0.08	11.30	11.31	142920	2002	-0.17	          2.49	11.16	11.45	11.14	11.23	   155.79	161360496	  1.17	建筑施工	上海	2.76	11.29	50746	92173	  0.55	314	1578	--  	          5.74	
002372	伟星新材	1.23	18.95	0.23	18.95	18.96	72497	693	0.15	          1.07	18.98	19.37	18.80	18.72	    21.92	138540192	  1.11	其他建材	浙江	3.04	19.11	33660	38837	  0.87	161	19	--  	          6.80	
002421	达实智能	0.16	6.43	0.01	6.42	6.43	150849	1217	0.15	          1.07	6.41	6.46	6.35	6.42	    54.95	96637304	  0.77	软件服务	深圳	1.71	6.41	91057	59792	  1.52	1753	1026	--  	         14.05	
002652	扬子新材	--  	18.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.11	    70.46	0	  0.00	其他建材	江苏	0.00	18.11	0	0	--  	0	0	--  	          2.60	
300117	嘉寓股份	-0.16	6.29	-0.01	6.28	6.29	30370	415	0.15	          0.42	6.28	6.32	6.20	6.30	    68.49	19029014	  0.73	装修装饰	北京	1.90	6.27	17500	12869	  1.36	937	1683	--  	          7.16	
300163	先锋新材	0.10	9.72	0.01	9.71	9.72	53255	705	0.00	          1.61	9.74	9.77	9.53	9.71	    75.15	51499284	  0.63	其他建材	浙江	2.47	9.67	25996	27258	  0.95	726	182	--  	          3.30	
300169	天晟新材	0.45	11.14	0.05	11.14	11.15	28996	292	0.00	          1.29	11.03	11.15	10.91	11.09	   199.62	32120452	  0.69	塑料	江苏	2.16	11.08	12961	16035	  0.81	18	271	--  	          2.25	
300300	汉鼎宇佑	0.42	21.61	0.09	21.60	21.61	27188	219	-0.04	          1.05	21.57	21.73	21.25	21.52	   162.06	58412220	  0.57	软件服务	浙江	2.23	21.48	14464	12724	  1.14	149	36	--  	          2.58	
300343	联创互联	-1.31	19.57	-0.26	19.56	19.57	107433	696	0.10	          4.59	19.83	19.89	19.35	19.83	    53.82	209437488	  1.68	互联网	山东	2.72	19.49	62227	45205	  1.38	382	147	--  	          2.34	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600309	万华化学	0.41	26.75	0.11	26.74	26.75	206678	15	0.18	          0.96	26.43	27.08	26.43	26.64	    18.28	553718784	  0.89	化工原料	山东	2.44	26.79	102471	104207	  0.98	15	177	--  	         21.62	
600586	金晶科技	1.07	4.72	0.05	4.71	4.72	151259	41	0.21	          1.06	4.66	4.74	4.63	4.67	   121.33	70891616	  1.00	玻璃	山东	2.36	4.69	65078	86180	  0.76	2312	5530	--  	         14.23	
600590	泰豪科技	0.00	15.72	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	15.72	   116.79	0	  0.00	电气设备	江西	0.00	15.72	0	0	--  	0	0	--  	          5.16	
600819	耀皮玻璃	0.93	8.70	0.08	8.70	8.71	53873	23	0.34	          0.72	8.64	8.71	8.53	8.62	   146.04	46455824	  0.89	玻璃	上海	2.09	8.62	29179	24693	  1.18	157	454	--  	          7.47	
数据来源:通达信
