代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000155	*ST川化	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	农药化肥	四川	--  	0.00	0	0	--  	0	0	--  	          9.37	
000509	华塑控股	--  	7.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.76	--  	0	  0.00	其他建材	四川	0.00	7.76	0	0	--  	0	0	--  	          8.25	
000510	金路集团	0.26	11.36	0.03	11.36	11.37	79667	1724	-0.17	          1.41	11.33	11.43	11.26	11.33	   287.37	90513232	  0.53	化工原料	四川	1.50	11.36	41983	37683	  1.11	825	103	--  	          5.63	
000514	渝 开 发	0.39	10.37	0.04	10.36	10.37	242800	3844	0.00	          2.88	10.23	10.44	10.03	10.33	    71.33	248238608	  1.07	区域地产	重庆	3.97	10.22	115859	126941	  0.91	1136	42	--  	          8.44	
000519	中兵红箭	1.28	16.68	0.21	16.68	16.69	214670	4016	0.12	          3.68	16.53	16.80	16.53	16.47	   377.56	358348640	  0.62	矿物制品	湖南	1.64	16.69	107399	107270	  1.00	695	1170	--  	          5.83	
000565	渝三峡Ａ	-1.25	12.62	-0.16	12.62	12.63	77137	1578	0.07	          1.78	12.82	12.82	12.51	12.78	    24.48	97387424	  0.72	染料涂料	重庆	2.43	12.63	47490	29646	  1.60	740	34	--  	          4.34	
000568	泸州老窖	2.86	40.63	1.13	40.62	40.63	123394	2171	0.04	          0.88	39.49	40.68	39.30	39.50	    28.37	496230112	  1.37	白酒	四川	3.49	40.22	62718	60676	  1.03	223	1682	--  	         14.02	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	0	--  	0	0	--  	          6.11	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	0	--  	0	0	--  	          1.93	
000593	大通燃气	4.88	10.74	0.50	10.73	10.74	111786	2281	0.09	          4.00	10.24	10.95	10.14	10.24	   629.13	117922304	  3.56	供气供热	四川	7.91	10.55	38100	73686	  0.52	490	56	--  	          2.80	
000598	兴蓉环境	0.17	5.87	0.01	5.86	5.87	212041	3143	0.00	          0.71	5.86	5.87	5.80	5.86	    17.32	123858504	  0.81	水务	四川	1.19	5.84	108415	103625	  1.05	7737	54	--  	         29.86	
000607	华媒控股	0.20	10.17	0.02	10.17	10.18	99210	2019	0.19	          2.04	10.13	10.18	10.01	10.15	    61.10	100232560	  0.53	广告包装	浙江	1.67	10.10	57569	41641	  1.38	2697	650	--  	          4.87	
000625	长安汽车	0.84	15.62	0.13	15.62	15.63	332306	1602	-0.06	          0.88	15.46	15.65	15.37	15.49	     7.27	516725120	  0.77	汽车整车	重庆	1.81	15.55	154897	177409	  0.87	933	2360	--  	         37.61	
000628	高新发展	0.94	13.91	0.13	13.91	13.92	31716	237	0.00	          1.69	13.76	14.09	13.47	13.78	   106.58	43773360	  1.32	园区开发	四川	4.50	13.80	14413	17302	  0.83	135	653	--  	          1.88	
000629	*ST钒钛	0.79	2.55	0.02	2.54	2.55	295133	5655	0.39	          0.62	2.53	2.55	2.51	2.53	--  	74807904	  0.60	普钢	四川	1.58	2.53	150296	144836	  1.04	15799	50981	--  	         47.67	
000656	金科股份	1.93	5.82	0.11	5.81	5.82	288312	2685	0.17	          0.78	5.71	5.85	5.68	5.71	    23.13	167100464	  1.04	区域地产	重庆	2.98	5.80	120217	168094	  0.72	2660	12990	--  	         36.74	
000688	建新矿业	2.02	9.58	0.19	9.58	9.59	84275	1481	0.20	          0.74	9.40	9.59	9.40	9.39	    53.72	80321456	  1.16	铅锌	重庆	2.02	9.53	33530	50744	  0.66	133	1213	--  	         11.37	
000710	*ST天仪	4.99	52.98	2.52	52.98	--  	31672	2	0.00	          2.09	50.99	52.98	50.70	50.46	--  	165738928	  0.61	汽车配件	四川	4.52	52.33	16271	15400	  1.06	6730	0	--  	          1.51	
000736	中房地产	-0.43	18.34	-0.08	18.33	18.34	32677	361	0.00	          1.10	18.26	18.38	18.00	18.42	    43.42	59400032	  0.49	全国地产	重庆	2.06	18.18	18493	14183	  1.30	92	61	--  	          2.97	
000788	北大医药	0.67	13.48	0.09	13.47	13.48	15929	292	0.07	          0.29	13.34	13.49	13.32	13.39	   402.35	21379688	  0.52	化学制药	重庆	1.27	13.42	7962	7966	  1.00	50	54	--  	          5.59	
000790	泰合健康	-0.40	12.42	-0.05	12.41	12.42	30396	234	0.08	          0.71	12.48	12.50	12.33	12.47	   199.93	37698620	  0.86	中成药	四川	1.36	12.40	18345	12050	  1.52	100	23	--  	          4.30	
000801	四川九洲	1.53	11.98	0.18	11.98	11.99	94746	903	-0.08	          0.93	11.87	12.08	11.80	11.80	   131.28	113355480	  0.89	通信设备	四川	2.37	11.96	49483	45263	  1.09	648	184	--  	         10.23	
000803	金宇车城	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	--  	0	  0.00	纺织	四川	0.00	20.60	0	0	--  	0	0	--  	          0.98	
