代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000702	正虹科技	-0.77	14.25	-0.11	14.20	14.25	27925	229	0.49	          1.05	14.48	14.48	14.10	14.36	--  	39690184	  0.48	饲料	湖南	2.65	14.21	17417	10507	  1.66	80	215	--  	          2.67	
000739	普洛药业	-1.03	8.63	-0.09	8.62	8.63	111424	2662	0.23	          1.05	8.70	8.70	8.47	8.72	    43.02	95453552	  0.61	化学制药	浙江	2.64	8.57	70405	41019	  1.72	439	783	--  	         10.60	
000999	华润三九	3.06	25.97	0.77	25.97	25.98	55634	452	0.07	          0.57	25.21	26.09	25.20	25.20	    21.22	143550336	  1.60	中成药	深圳	3.53	25.80	16191	39443	  0.41	121	189	--  	          9.78	
002007	华兰生物	1.45	36.43	0.52	36.42	36.43	75476	867	-0.05	          0.94	35.99	36.89	35.93	35.91	    41.84	275408608	  1.56	生物制药	河南	2.67	36.49	38464	37011	  1.04	21	221	--  	          8.04	
002022	科华生物	1.52	20.75	0.31	20.74	20.75	35848	351	0.04	          0.94	20.50	20.82	20.40	20.44	    39.07	74160480	  0.91	医疗保健	上海	2.05	20.69	14097	21751	  0.65	281	214	--  	          3.80	
002030	达安基因	1.27	23.06	0.29	23.06	23.07	149753	1841	-0.12	          2.16	22.80	23.40	22.75	22.77	   147.77	347211648	  1.01	生物制药	广东	2.85	23.19	65892	83861	  0.79	911	18	--  	          6.94	
002107	沃华医药	0.60	15.20	0.09	15.19	15.20	20059	528	0.06	          0.57	15.06	15.24	15.03	15.11	   112.35	30414944	  0.97	中成药	山东	1.39	15.16	9053	11006	  0.82	300	96	--  	          3.49	
002166	莱茵生物	-2.57	12.87	-0.34	12.87	12.88	205452	3891	-0.15	          5.89	13.10	13.12	12.71	13.21	    98.73	264120656	  1.29	中成药	广西	3.10	12.86	114904	90548	  1.27	1914	98	--  	          3.49	
002603	以岭药业	1.40	18.13	0.25	18.12	18.13	75497	772	-0.05	          0.84	17.85	18.15	17.62	17.88	    35.23	135783296	  1.47	中成药	河北	2.96	17.99	28246	47251	  0.60	271	261	--  	          8.94	
002680	长生生物	1.05	16.39	0.17	16.38	16.39	47896	481	0.06	          1.66	16.21	16.46	16.00	16.22	    44.88	78092912	  0.67	生物制药	江苏	2.84	16.30	25775	22120	  1.17	205	47	--  	          2.88	
300039	上海凯宝	0.77	10.51	0.08	10.50	10.51	63550	1105	0.09	          1.03	10.43	10.53	10.32	10.43	    30.85	66379392	  1.07	中成药	上海	2.01	10.45	28124	35426	  0.79	477	537	--  	          6.16	
