代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000028	国药一致	-0.06	70.33	-0.04	70.30	70.33	12554	23	0.15	          0.54	70.37	71.12	70.20	70.37	    31.24	88632824	  1.25	医药商业	深圳	1.31	70.60	9230	3323	  2.78	1	15	--  	          2.33	
000078	海王生物	0.62	6.44	0.04	6.44	6.45	162412	1548	0.15	          0.88	6.40	6.47	6.29	6.40	    56.16	103936216	  1.29	生物制药	深圳	2.81	6.40	73632	88780	  0.83	350	4021	--  	         18.44	
000153	丰原药业	--  	12.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.52	    68.06	0	  0.00	化学制药	安徽	0.00	12.52	0	0	--  	0	0	--  	          3.12	
000518	四环生物	0.37	8.10	0.03	8.10	8.11	33052	708	-0.12	          0.32	8.07	8.12	8.02	8.07	   603.27	26724074	  0.88	生物制药	江苏	1.24	8.09	12461	20591	  0.61	607	1852	--  	         10.30	
000566	海南海药	1.42	14.24	0.20	14.24	14.25	446604	4442	0.00	          4.52	14.80	14.86	14.12	14.04	    84.37	644135232	  3.68	化学制药	海南	5.27	14.42	198785	247819	  0.80	3741	362	--  	          9.89	
000739	普洛药业	-1.03	8.63	-0.09	8.62	8.63	111424	2662	0.23	          1.05	8.70	8.70	8.47	8.72	    43.02	95453552	  0.61	化学制药	浙江	2.64	8.57	70405	41019	  1.72	439	783	--  	         10.60	
000766	通化金马	-0.66	17.98	-0.12	17.98	18.03	22191	266	-0.27	          0.49	18.16	18.17	17.93	18.10	    97.13	39989148	  0.89	中成药	吉林	1.33	18.02	11850	10340	  1.15	298	331	--  	          4.49	
000788	北大医药	0.67	13.48	0.09	13.47	13.48	15929	292	0.07	          0.29	13.34	13.49	13.32	13.39	   402.35	21379688	  0.52	化学制药	重庆	1.27	13.42	7962	7966	  1.00	50	54	--  	          5.59	
000790	泰合健康	-0.40	12.42	-0.05	12.41	12.42	30396	234	0.08	          0.71	12.48	12.50	12.33	12.47	   199.93	37698620	  0.86	中成药	四川	1.36	12.40	18345	12050	  1.52	100	23	--  	          4.30	
000819	岳阳兴长	0.11	26.26	0.03	26.25	26.26	28176	517	0.03	          1.09	26.23	26.46	25.96	26.23	   182.89	74145768	  1.17	石油加工	湖南	1.91	26.32	14936	13239	  1.13	156	136	--  	          2.58	
000919	金陵药业	0.07	13.75	0.01	13.74	13.75	26044	206	0.14	          0.52	13.74	13.80	13.52	13.74	    33.89	35573572	  1.28	化学制药	江苏	2.04	13.66	10980	15063	  0.73	18	30	--  	          5.03	
000999	华润三九	3.06	25.97	0.77	25.97	25.98	55634	452	0.07	          0.57	25.21	26.09	25.20	25.20	    21.22	143550336	  1.60	中成药	深圳	3.53	25.80	16191	39443	  0.41	121	189	--  	          9.78	
002004	华邦健康	0.58	8.66	0.05	8.65	8.66	105738	1715	0.11	          0.69	8.61	8.66	8.51	8.61	    21.61	90950784	  0.87	化学制药	重庆	1.74	8.60	50933	54805	  0.93	4113	1823	--  	         15.33	
002038	双鹭药业	-0.11	27.49	-0.03	27.45	27.49	17779	279	0.14	          0.31	27.48	27.50	27.11	27.52	    39.55	48610324	  1.01	生物制药	北京	1.42	27.34	9773	8005	  1.22	19	23	--  	          5.67	
002219	恒康医疗	-0.70	12.70	-0.09	12.70	12.71	33404	206	0.15	          0.46	12.78	12.80	12.65	12.79	    88.02	42396236	  0.93	中成药	甘肃	1.17	12.69	20214	13190	  1.53	250	286	--  	          7.19	
002275	桂林三金	1.50	18.98	0.28	18.97	18.98	19857	193	0.05	          0.37	18.72	19.05	18.65	18.70	    26.57	37549512	  1.38	中成药	广西	2.14	18.91	8711	11145	  0.78	67	120	--  	          5.32	
002422	科伦药业	1.40	16.63	0.23	16.62	16.63	52115	414	0.00	          0.53	16.40	16.66	16.30	16.40	    33.42	86140104	  1.02	化学制药	四川	2.20	16.53	19457	32658	  0.60	188	133	--  	          9.83	
002437	誉衡药业	0.48	8.30	0.04	8.30	8.31	132418	909	0.00	          0.62	8.26	8.33	8.23	8.26	    24.01	109820488	  0.45	化学制药	黑龙江	1.21	8.29	58276	74141	  0.79	3306	2390	--  	         21.48	
002690	美亚光电	0.62	19.39	0.12	19.38	19.39	35117	356	0.10	          1.08	19.29	19.51	19.17	19.27	    45.16	67810200	  0.97	专用机械	安徽	1.76	19.31	18482	16635	  1.11	37	420	--  	          3.26	
300006	莱美药业	0.36	8.46	0.03	8.45	8.46	36698	887	0.11	          0.63	8.40	8.46	8.38	8.43	   109.86	30934102	  0.93	化学制药	重庆	0.95	8.43	16752	19945	  0.84	429	441	--  	          5.84	
300009	安科生物	1.49	21.86	0.32	21.85	21.86	48343	1167	0.13	          1.41	21.54	21.99	21.45	21.54	    63.50	105481600	  0.96	生物制药	安徽	2.51	21.82	22143	26200	  0.85	255	221	--  	          3.43	
300122	智飞生物	0.96	17.79	0.17	17.78	17.79	29209	798	0.05	          0.34	17.62	17.98	17.35	17.62	  3157.43	51698676	  0.97	生物制药	重庆	3.58	17.70	14723	14486	  1.02	258	28	--  	          8.63	
300147	香雪制药	0.17	12.14	0.02	12.13	12.14	49338	876	0.08	          0.75	12.12	12.16	12.02	12.12	    78.44	59755300	  1.01	中成药	广东	1.16	12.11	31094	18243	  1.70	400	246	--  	          6.60	
300158	振东制药	0.63	20.63	0.13	20.63	20.64	11763	422	0.00	          0.41	20.50	20.66	20.26	20.50	    78.43	24130362	  0.58	中成药	山西	1.95	20.51	3382	8380	  0.40	113	28	--  	          2.86	
300273	和佳股份	0.07	14.96	0.01	14.95	14.96	68556	977	0.00	          1.23	14.99	15.06	14.87	14.95	    38.83	102574376	  0.98	医疗保健	广东	1.27	14.96	41347	27208	  1.52	1061	303	--  	          5.59	
600064	南京高科	0.47	17.28	0.08	17.28	17.29	46534	20	0.05	          0.60	17.16	17.32	17.07	17.20	    11.04	80177504	  0.96	园区开发	江苏	1.45	17.23	21994	24539	  0.90	99	179	--  	          7.72	
600079	人福医药	0.34	20.42	0.07	20.42	20.44	99687	98	0.04	          0.94	20.38	20.67	20.12	20.35	    31.61	203958576	  1.22	化学制药	湖北	2.70	20.46	49054	50632	  0.97	13	53	--  	         10.58	
600095	哈高科	2.33	14.49	0.33	14.48	14.50	327971	6	0.06	          9.08	14.07	14.58	13.95	14.16	--  	466679168	  1.98	区域地产	黑龙江	4.45	14.23	123584	204387	  0.60	746	66	--  	          3.61	
600129	太极集团	0.73	17.88	0.13	17.88	17.89	32056	3	0.22	          0.75	17.75	17.89	17.52	17.75	     6.15	56970704	  0.85	中成药	重庆	2.08	17.77	16215	15841	  1.02	90	146	--  	          4.27	
600196	复星医药	0.74	25.99	0.19	25.99	26.00	117783	2	0.00	          0.62	25.72	26.27	25.68	25.80	    21.62	306655264	  1.66	化学制药	上海	2.29	26.04	61037	56745	  1.08	23	148	--  	         19.09	
600200	江苏吴中	0.06	16.70	0.01	16.69	16.70	62011	6	0.36	          0.93	16.58	16.71	16.46	16.69	   149.91	102790056	  0.95	综合类	江苏	1.50	16.58	30579	31431	  0.97	20	56	--  	          6.67	
600216	浙江医药	0.33	12.16	0.04	12.15	12.16	67869	121	0.00	          0.73	12.11	12.18	12.01	12.12	    21.68	82307832	  0.77	化学制药	浙江	1.40	12.13	32118	35750	  0.90	318	16	--  	          9.36	
600252	中恒集团	0.43	4.63	0.02	4.62	4.63	189830	76	0.21	          0.58	4.60	4.63	4.57	4.61	    27.84	87452504	  0.88	中成药	广西	1.30	4.61	86860	102970	  0.84	5102	6221	--  	         32.75	
600267	海正药业	1.19	13.58	0.16	13.58	13.59	76604	12	0.22	          0.79	13.39	13.73	13.32	13.42	   317.18	103933072	  1.26	化学制药	浙江	3.06	13.57	36756	39848	  0.92	5	89	--  	          9.66	
600276	恒瑞医药	-1.01	50.76	-0.52	50.75	50.76	121569	12	-0.23	          0.52	50.70	51.10	50.30	51.28	    46.03	617603520	  2.68	化学制药	江苏	1.56	50.80	63307	58261	  1.09	61	3	--  	         23.44	
600297	广汇汽车	1.42	9.98	0.14	9.98	9.99	198741	4	0.10	          1.08	9.80	10.06	9.76	9.84	    20.55	198366448	  1.13	汽车服务	辽宁	3.05	9.98	68740	130000	  0.53	435	678	--  	         18.40	
600329	中新药业	2.22	18.92	0.41	18.91	18.93	43569	60	0.21	          0.77	18.57	18.98	18.52	18.51	    31.24	82020680	  1.56	中成药	天津	2.49	18.83	13628	29940	  0.46	50	87	--  	          5.66	
600436	片仔癀	1.36	48.50	0.65	48.53	48.54	63473	1	0.12	          1.05	47.80	48.90	47.71	47.85	    45.62	307705344	  2.49	中成药	福建	2.49	48.48	29664	33808	  0.88	3	14	--  	          6.03	
600535	天士力	0.80	39.21	0.31	39.19	39.22	55189	2	0.07	          0.53	38.85	39.24	38.52	38.90	    31.68	214786736	  1.00	中成药	天津	1.85	38.92	27316	27872	  0.98	99	8	--  	         10.33	
600568	中珠医疗	0.43	20.79	0.09	20.79	20.80	84236	13	0.04	          1.51	20.65	20.89	20.11	20.70	    66.17	173970144	  0.80	区域地产	湖北	3.77	20.65	43836	40400	  1.09	972	360	--  	          5.59	
600572	康恩贝	1.17	6.94	0.08	6.93	6.94	75868	10	0.14	          0.37	6.85	6.94	6.79	6.86	    29.03	52203120	  1.59	中成药	浙江	2.19	6.88	34643	41225	  0.84	223	588	--  	         20.58	
600594	益佰制药	0.99	18.30	0.18	18.29	18.31	119183	6	-0.10	          1.50	18.12	18.35	18.02	18.12	    37.46	217500528	  0.58	中成药	贵州	1.82	18.25	55676	63506	  0.88	24	54	--  	          7.92	
600664	哈药股份	-0.35	8.51	-0.03	8.51	8.52	116876	19	0.00	          0.47	8.53	8.58	8.47	8.54	    27.44	99410416	  0.65	化学制药	黑龙江	1.29	8.51	61395	55480	  1.11	473	572	--  	         24.93	
600812	华北制药	0.32	6.22	0.02	6.21	6.22	39145	196	0.00	          0.28	6.20	6.22	6.15	6.20	   117.48	24230252	  0.90	化学制药	河北	1.13	6.19	22066	17079	  1.29	38	309	--  	         13.79	
600826	兰生股份	0.37	27.08	0.10	27.07	27.08	29620	4	0.25	          0.70	27.10	27.16	26.73	26.98	    13.55	80055144	  0.88	商贸代理	上海	1.59	27.03	15464	14156	  1.09	14	43	--  	          4.21	
600851	海欣股份	-0.61	11.48	-0.07	11.48	11.49	26023	24	0.17	          0.35	11.60	11.60	11.43	11.55	    65.12	29887424	  1.08	纺织	上海	1.47	11.49	17573	8449	  2.08	100	135	--  	          7.38	
600881	亚泰集团	0.00	5.90	0.00	5.91	5.92	126672	31	-0.16	          0.67	5.88	5.93	5.85	5.90	    98.26	74657296	  0.95	水泥	吉林	1.36	5.89	70899	55772	  1.27	20	2784	--  	         18.95	
600993	马应龙	4.83	21.49	0.99	21.47	21.48	113400	14	0.23	          2.64	20.53	21.50	20.52	20.50	    33.59	239931968	  2.99	中成药	湖北	4.78	21.16	40743	72657	  0.56	8	71	--  	          4.30	
601607	上海医药	0.51	21.57	0.11	21.57	21.58	69976	12	-0.04	          0.36	21.47	21.68	21.18	21.46	    17.70	150688560	  0.99	医药商业	上海	2.33	21.53	34881	35095	  0.99	113	374	--  	         19.23	
603998	方盛制药	-0.40	17.38	-0.07	17.37	17.38	23283	30	0.00	          0.86	17.45	17.49	17.20	17.45	    99.14	40406432	  1.23	中成药	湖南	1.66	17.35	12682	10601	  1.20	107	289	--  	          2.69	
数据来源:通达信
