代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000059	华锦股份	-0.08	12.36	-0.01	12.36	12.37	345059	4097	0.24	          2.46	12.24	12.42	12.07	12.37	    12.63	423133696	  0.64	石油加工	辽宁	2.83	12.26	167379	177679	  0.94	189	1547	--  	         14.00	
000068	华控赛格	0.37	8.13	0.03	8.12	8.13	32288	191	0.12	          0.36	8.08	8.14	8.04	8.10	--  	26152146	  0.70	元器件	深圳	1.23	8.10	15058	17230	  0.87	1372	77	--  	          8.97	
000510	金路集团	0.26	11.36	0.03	11.36	11.37	79667	1724	-0.17	          1.41	11.33	11.43	11.26	11.33	   287.37	90513232	  0.53	化工原料	四川	1.50	11.36	41983	37683	  1.11	825	103	--  	          5.63	
000557	西部创业	0.83	6.10	0.05	6.09	6.10	78976	195	-0.16	          1.35	6.05	6.16	5.97	6.05	--  	47877792	  1.29	红黄药酒	宁夏	3.14	6.06	35134	43841	  0.80	549	284	--  	          5.85	
000590	启迪古汉	0.05	19.68	0.01	19.68	19.69	10770	122	0.05	          0.48	19.67	19.85	19.24	19.67	   267.17	21094476	  0.49	中成药	湖南	3.10	19.59	4624	6145	  0.75	6	61	--  	          2.23	
000617	中油资本	1.18	19.73	0.23	19.73	19.74	87436	2204	-0.10	          3.04	19.53	20.25	19.29	19.50	--  	173064176	  0.61	多元金融	山东	4.92	19.79	45714	41722	  1.10	87	216	--  	          2.88	
000659	珠海中富	-2.61	6.35	-0.17	6.34	6.35	239647	5082	-0.15	          1.86	6.45	6.50	6.20	6.52	--  	151971104	  0.99	广告包装	广东	4.60	6.34	132296	107351	  1.23	429	376	--  	         12.86	
000799	酒鬼酒	5.53	23.66	1.24	23.66	23.67	204620	3019	-0.21	          9.13	22.16	23.79	22.16	22.42	    88.01	475042272	  1.60	白酒	湖南	7.27	23.22	84120	120500	  0.70	398	91	--  	          2.24	
000927	一汽夏利	1.61	7.58	0.12	7.58	7.59	253557	4252	-0.13	          1.59	7.45	7.78	7.45	7.46	--  	193203440	  0.85	汽车整车	天津	4.42	7.62	122694	130862	  0.94	179	1230	--  	         15.95	
002306	中科云网	-2.26	6.48	-0.15	6.47	6.48	172705	2329	0.00	          2.79	6.61	6.62	6.30	6.63	--  	110952296	  1.67	酒店餐饮	北京	4.83	6.42	88497	84207	  1.05	626	259	--  	          6.18	
002633	申科股份	0.18	22.02	0.04	22.01	22.02	15678	335	0.09	          1.80	22.00	22.09	21.75	21.98	--  	34292336	  0.96	机械基件	浙江	1.55	21.87	7701	7977	  0.97	24	4	--  	          0.87	
600069	银鸽投资	-1.76	11.72	-0.21	11.70	11.72	354814	169	0.34	          4.30	11.78	11.88	11.41	11.93	--  	411318976	  0.69	造纸	河南	3.94	11.59	189462	165351	  1.15	143	56	--  	          8.25	
600179	安通控股	4.71	17.13	0.77	17.08	17.10	129118	1	0.17	          3.31	16.21	17.65	16.21	16.36	    52.78	217255344	  1.44	仓储物流	黑龙江	8.80	16.83	56927	72190	  0.79	2	180	--  	          3.90	
