代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000504	*ST生物	-0.65	16.81	-0.11	16.81	16.87	6326	81	0.11	          0.20	16.85	16.92	16.67	16.92	--  	10631562	  0.48	出版业	湖南	1.48	16.81	3651	2675	  1.36	174	38	--  	          3.11	
000665	湖北广电	0.70	14.45	0.10	14.45	14.46	20118	428	0.06	          0.44	14.36	14.47	14.26	14.35	    29.01	28964310	  0.74	影视音像	湖北	1.46	14.40	8666	11451	  0.76	143	272	--  	          4.61	
000793	华闻传媒	1.12	10.85	0.12	10.84	10.85	346282	3135	-0.18	          1.89	10.76	10.99	10.63	10.73	    23.62	373629216	  1.99	出版业	海南	3.36	10.79	181876	164406	  1.11	3778	4489	--  	         18.27	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	0	--  	0	0	--  	          9.47	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
002181	粤 传 媒	-0.28	7.20	-0.02	7.20	7.21	26045	189	-0.13	          0.23	7.19	7.23	7.09	7.22	--  	18692818	  0.47	出版业	广东	1.94	7.18	14395	11649	  1.24	859	207	--  	         11.41	
002238	天威视讯	1.72	14.81	0.25	14.80	14.81	36403	251	0.00	          0.65	14.56	14.83	14.45	14.56	    29.64	53465336	  1.60	影视音像	深圳	2.61	14.69	11498	24905	  0.46	280	138	--  	          5.57	
002261	拓维信息	-0.16	12.13	-0.02	12.13	12.14	60972	392	0.08	          0.82	12.17	12.19	12.00	12.15	    61.83	73817440	  0.61	互联网	湖南	1.56	12.11	33652	27319	  1.23	221	522	--  	          7.45	
002292	奥飞娱乐	0.64	22.10	0.14	22.10	22.11	73120	1496	0.18	          1.01	21.91	22.16	21.60	21.96	    49.51	160087040	  0.72	影视音像	广东	2.55	21.89	32846	40273	  0.82	996	169	--  	          7.22	
002502	骅威文化	0.52	11.67	0.06	11.66	11.67	45551	208	0.08	          0.96	11.62	11.68	11.53	11.61	    47.90	52921304	  0.97	影视音像	广东	1.29	11.62	26173	19377	  1.35	69	49	--  	          4.77	
300027	华谊兄弟	0.19	10.63	0.02	10.63	10.64	160738	3568	0.09	          0.84	10.63	10.66	10.48	10.61	    35.69	170106224	  0.69	影视音像	浙江	1.70	10.58	84588	76150	  1.11	878	1384	--  	         19.03	
300052	中青宝	1.55	24.96	0.38	24.96	24.97	98037	1336	0.04	          3.77	24.50	25.20	24.21	24.58	   580.61	243006624	  1.02	互联网	深圳	4.03	24.79	42383	55654	  0.76	1038	536	--  	          2.60	
300148	天舟文化	--  	20.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.29	    86.12	0	  0.00	出版业	湖南	0.00	20.29	0	0	--  	0	0	--  	          5.06	
600037	歌华有线	0.73	15.24	0.11	15.24	15.25	47957	2	0.00	          0.41	15.12	15.25	15.05	15.13	    26.74	72808064	  0.65	影视音像	北京	1.32	15.18	23774	24183	  0.98	211	1966	--  	         11.68	
600088	中视传媒	-0.05	20.44	-0.01	20.45	20.46	10628	1	0.19	          0.32	20.44	20.51	20.10	20.45	--  	21607876	  0.68	影视音像	上海	2.00	20.33	5321	5307	  1.00	4	19	--  	          3.31	
600128	弘业股份	0.27	14.74	0.04	14.74	14.75	27560	100	0.00	          1.12	14.71	14.79	14.50	14.70	    74.33	40432880	  1.10	商贸代理	江苏	1.97	14.67	11910	15649	  0.76	23	860	--  	          2.47	
600386	北巴传媒	0.14	14.26	0.02	14.25	14.26	35762	1	-0.14	          0.89	14.17	14.33	14.06	14.24	    48.05	50813700	  0.52	公共交通	北京	1.90	14.21	19109	16652	  1.15	98	138	--  	          4.03	
600551	时代出版	0.00	20.32	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.32	    25.53	0	  0.00	出版业	安徽	0.00	20.32	0	0	--  	0	0	--  	          5.06	
600633	浙报传媒	1.75	18.63	0.32	18.63	18.64	182060	15	-0.10	          1.53	18.11	18.75	17.93	18.31	    45.68	336685504	  1.27	出版业	浙江	4.48	18.49	85354	96706	  0.88	143	4	--  	         11.88	
