代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000008	神州高铁	1.17	8.67	0.10	8.67	8.68	91970	1337	0.00	          0.46	8.57	8.74	8.42	8.57	    84.21	78601520	  1.63	运输设备	北京	3.73	8.55	44883	47086	  0.95	525	1208	--  	         19.95	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000027	深圳能源	0.86	7.02	0.06	7.02	7.03	102799	264	0.00	          0.26	6.95	7.03	6.81	6.96	    15.60	71411424	  1.57	火力发电	深圳	3.16	6.95	52456	50342	  1.04	392	3512	--  	         39.64	
000062	深圳华强	-0.44	27.41	-0.12	27.41	27.42	16546	302	0.14	          0.25	27.46	27.50	27.10	27.53	    46.43	45278064	  0.66	商贸代理	深圳	1.45	27.36	10229	6317	  1.62	128	74	--  	          6.67	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000100	TCL 集团	0.85	3.58	0.03	3.58	3.59	503236	4821	0.00	          0.56	3.55	3.59	3.51	3.55	    21.32	178647712	  0.92	家用电器	广东	2.25	3.55	210404	292831	  0.72	721	35650	--  	         90.01	
000156	华数传媒	0.68	17.72	0.12	17.71	17.72	30672	234	0.05	          0.31	17.60	17.75	17.38	17.60	    41.55	53883588	  1.11	影视音像	浙江	2.10	17.57	14238	16433	  0.87	280	79	--  	          9.94	
000415	渤海金控	0.28	7.27	0.02	7.26	7.27	159594	3362	0.00	          0.51	7.22	7.27	7.15	7.25	    23.42	114994928	  0.69	多元金融	新疆	1.66	7.21	87159	72434	  1.20	1196	1698	--  	         31.16	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	0	--  	0	0	--  	         19.35	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000539	粤电力Ａ	0.73	5.53	0.04	5.53	5.54	64680	1422	0.00	          0.25	5.49	5.54	5.45	5.49	    14.75	35546316	  0.84	火力发电	广东	1.64	5.50	32739	31941	  1.02	1195	2765	--  	         25.54	
000551	创元科技	0.00	11.08	0.00	11.07	11.08	79711	2531	0.09	          1.99	11.06	11.12	10.90	11.08	    56.38	87884896	  1.03	专用机械	江苏	1.99	11.03	45936	33774	  1.36	145	1196	--  	          4.00	
000603	盛达矿业	3.28	16.98	0.54	16.97	16.98	107884	1119	0.05	          2.63	16.39	17.05	16.30	16.44	    60.71	181311312	  1.71	铅锌	北京	4.56	16.81	42726	65157	  0.66	443	21	--  	          4.09	
000607	华媒控股	0.20	10.17	0.02	10.17	10.18	99210	2019	0.19	          2.04	10.13	10.18	10.01	10.15	    61.10	100232560	  0.53	广告包装	浙江	1.67	10.10	57569	41641	  1.38	2697	650	--  	          4.87	
