代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	0	--  	0	0	--  	          4.54	
000821	京山轻机	--  	16.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.24	   130.09	0	  0.00	轻工机械	湖北	0.00	16.24	0	0	--  	0	0	--  	          3.45	
001696	宗申动力	0.44	9.03	0.04	9.03	9.04	59772	996	-0.11	          0.67	9.02	9.06	8.88	8.99	    31.71	53850128	  0.69	摩托车	重庆	2.00	9.01	24106	35665	  0.68	1099	658	--  	          8.91	
002013	中航机电	1.96	17.72	0.34	17.71	17.72	220396	1515	0.00	          1.58	17.44	17.83	17.44	17.38	    88.81	390419424	  1.82	航空	湖北	2.24	17.71	117399	102997	  1.14	1358	774	--  	         13.97	
002076	雪 莱 特	4.14	13.85	0.55	13.84	13.85	75281	4010	0.50	          3.55	13.40	13.85	13.23	13.30	   103.76	102690536	  1.90	家用电器	广东	4.66	13.64	27074	48206	  0.56	693	1225	--  	          2.12	
002097	山河智能	1.21	9.21	0.11	9.21	9.22	228659	2411	0.10	          3.63	9.10	9.35	9.06	9.10	   152.07	210899008	  0.59	工程机械	湖南	3.19	9.22	117591	111067	  1.06	635	836	--  	          6.29	
002111	威海广泰	0.36	22.13	0.08	22.13	22.14	17868	384	0.04	          0.68	21.91	22.19	21.91	22.05	    48.37	39485900	  0.70	航空	山东	1.27	22.10	9044	8823	  1.03	10	50	--  	          2.64	
002170	芭田股份	0.11	9.31	0.01	9.30	9.31	46493	221	-0.10	          0.70	9.28	9.33	9.17	9.30	    47.11	43046728	  1.06	农药化肥	深圳	1.72	9.26	23425	23068	  1.02	110	353	--  	          6.64	
002224	三 力 士	0.52	15.45	0.08	15.44	15.45	119239	1722	0.12	          2.53	15.23	15.46	15.10	15.37	    49.29	182255280	  0.77	橡胶	浙江	2.34	15.28	61597	57641	  1.07	729	1637	--  	          4.72	
002260	德奥通航	--  	23.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.10	  1453.66	0	  0.00	航空	广东	0.00	23.10	0	0	--  	0	0	--  	          2.65	
002298	中电鑫龙	-0.07	13.41	-0.01	13.41	13.42	54236	1282	0.07	          1.38	13.40	13.45	13.24	13.42	    68.41	72527448	  1.07	软件服务	安徽	1.56	13.37	32056	22179	  1.45	105	252	--  	          3.92	
002361	神剑股份	1.11	8.21	0.09	8.21	8.22	176832	3711	0.00	          3.06	8.12	8.28	8.05	8.12	    49.35	144625152	  0.92	化工原料	安徽	2.83	8.18	89462	87370	  1.02	55	1004	--  	          5.77	
002389	南洋科技	3.06	22.93	0.68	22.93	22.94	304896	3745	0.17	          5.78	22.41	23.29	22.27	22.25	   123.91	699564032	  1.23	元器件	浙江	4.58	22.94	138543	166352	  0.83	400	482	--  	          5.28	
002526	山东矿机	--  	10.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.12	   505.65	0	  0.00	工程机械	山东	0.00	10.12	0	0	--  	0	0	--  	          4.59	
002577	雷柏科技	-0.63	33.19	-0.21	33.19	33.20	114449	1402	0.09	          4.07	33.40	34.41	33.07	33.40	   395.56	385089280	  0.84	电脑设备	深圳	4.01	33.65	61154	53295	  1.15	220	177	--  	          2.81	
002829	星网宇达	5.43	90.35	4.65	90.35	90.38	37688	562	-0.11	         19.84	86.70	91.97	86.10	85.70	    93.64	335471552	  1.06	通信设备	北京	6.85	89.01	17211	20477	  0.84	33	3	--  	          0.19	
300034	钢研高纳	3.53	22.00	0.75	22.00	22.01	77040	1186	-0.04	          1.84	21.20	22.06	21.08	21.25	   101.90	167713648	  1.60	小金属	北京	4.61	21.77	34043	42996	  0.79	255	928	--  	          4.18	
300044	赛为智能	--  	20.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.02	   155.74	0	  0.00	软件服务	深圳	0.00	20.02	0	0	--  	0	0	--  	          2.36	
300079	数码视讯	0.00	7.10	0.00	7.09	7.10	147932	1205	0.14	          1.22	7.10	7.12	7.01	7.10	    50.59	104327904	  1.04	通信设备	北京	1.55	7.05	86972	60959	  1.43	2230	2707	--  	         12.08	
300091	金通灵	0.57	14.04	0.08	14.03	14.04	31525	82	0.07	          0.87	13.92	14.09	13.92	13.96	   109.60	44246604	  1.09	机械基件	江苏	1.22	14.04	14254	17270	  0.83	519	648	--  	          3.61	
300177	中海达	1.10	13.75	0.15	13.75	13.76	34844	762	0.07	          1.11	13.58	13.77	13.50	13.60	   214.38	47695292	  0.57	通信设备	广东	1.99	13.69	15819	19024	  0.83	52	305	--  	          3.13	
300185	通裕重工	-0.65	3.05	-0.02	3.05	3.06	449118	3743	0.00	          1.66	3.03	3.06	3.00	3.07	    64.26	135977264	  1.97	工程机械	山东	1.95	3.03	176650	272468	  0.65	8619	14651	--  	         27.13	
300188	美亚柏科	1.62	20.68	0.33	20.68	20.69	64539	1870	0.14	          2.18	20.25	20.68	19.81	20.35	   167.26	131014224	  0.99	软件服务	福建	4.28	20.30	27167	37371	  0.73	19	683	--  	          2.96	
300213	佳讯飞鸿	1.68	24.25	0.40	24.24	24.25	44313	990	0.12	          2.84	23.86	24.25	23.61	23.85	    71.30	106464360	  0.85	通信设备	北京	2.68	24.03	21336	22977	  0.93	109	189	--  	          1.56	
300367	东方网力	--  	20.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.04	   116.32	0	  0.00	电脑设备	北京	0.00	20.04	0	0	--  	0	0	--  	          3.94	
300438	鹏辉能源	-1.04	33.39	-0.35	33.39	33.40	16889	339	0.27	          1.35	33.70	33.70	33.15	33.74	    72.77	56282008	  0.89	电气设备	广东	1.63	33.32	9066	7823	  1.16	35	6	--  	          1.25	
300581	晨曦航空	3.30	121.66	3.89	121.66	121.67	16954	185	0.10	         15.00	117.00	121.94	115.12	117.77	   190.49	202396992	  0.63	航空	陕西	5.79	119.38	7253	9701	  0.75	13	2	--  	          0.11	
600435	北方导航	0.06	16.28	0.01	16.28	16.29	650072	147	0.18	          4.36	16.30	16.66	16.16	16.27	  4761.61	1064255936	  1.19	专用机械	北京	3.07	16.37	320213	329859	  0.97	778	581	--  	         14.89	
600523	贵航股份	2.30	24.91	0.56	24.91	24.92	67070	8	0.08	          2.32	24.38	24.98	24.30	24.35	    52.48	165566400	  0.78	汽车配件	贵州	2.79	24.69	30341	36728	  0.83	4	227	--  	          2.89	
600565	迪马股份	0.74	6.78	0.05	6.78	6.79	200554	30	0.14	          1.36	6.71	6.79	6.69	6.73	    95.45	135151072	  1.03	全国地产	重庆	1.49	6.74	101032	99521	  1.02	26	5756	--  	         14.72	
600677	航天通信	1.09	18.57	0.20	18.57	18.58	71935	57	-0.10	          1.73	18.28	18.66	18.22	18.37	   362.85	133452024	  0.50	通信设备	浙江	2.40	18.55	33874	38060	  0.89	132	621	--  	          4.16	
600846	同济科技	0.55	9.16	0.05	9.16	9.17	55409	4	0.00	          0.89	9.10	9.17	9.05	9.11	    48.85	50558524	  0.76	综合类	上海	1.32	9.12	22447	32961	  0.68	78	1059	--  	          6.25	
600869	智慧能源	3.02	8.52	0.25	8.51	8.52	631857	4	0.00	          3.09	8.34	8.92	8.34	8.27	    49.92	543232576	  4.99	电气设备	青海	7.01	8.60	257784	374072	  0.69	384	181	--  	         20.42	
600879	航天电子	3.05	18.60	0.55	18.59	18.60	507941	254	0.05	          6.37	18.07	18.64	18.03	18.05	    52.87	936865088	  1.08	航空	湖北	3.38	18.44	235646	272295	  0.87	313	294	--  	          7.98	
601700	风范股份	0.00	8.47	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.47	    41.35	0	  0.00	电气设备	江苏	0.00	8.47	0	0	--  	0	0	--  	         11.33	
603766	隆鑫通用	0.14	21.41	0.03	21.40	21.41	55845	1	0.09	          0.68	21.42	21.46	21.22	21.38	    20.78	119393072	  0.92	摩托车	重庆	1.12	21.38	28897	26948	  1.07	232	293	--  	          8.26	
数据来源:通达信
