代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000008	神州高铁	1.17	8.67	0.10	8.67	8.68	91970	1337	0.00	          0.46	8.57	8.74	8.42	8.57	    84.21	78601520	  1.63	运输设备	北京	3.73	8.55	44883	47086	  0.95	525	1208	--  	         19.95	
000625	长安汽车	0.84	15.62	0.13	15.62	15.63	332306	1602	-0.06	          0.88	15.46	15.65	15.37	15.49	     7.27	516725120	  0.77	汽车整车	重庆	1.81	15.55	154897	177409	  0.87	933	2360	--  	         37.61	
000836	鑫茂科技	3.60	8.35	0.29	8.34	8.35	553755	4768	-0.11	          4.68	8.10	8.65	7.95	8.06	   212.67	456351936	  1.65	通信设备	天津	8.68	8.24	262092	291662	  0.90	1284	3533	--  	         11.83	
000901	航天科技	1.03	36.34	0.37	36.33	36.34	33034	801	0.08	          1.02	36.01	36.39	35.82	35.97	   399.85	119620544	  0.56	航空	黑龙江	1.58	36.21	15431	17603	  0.88	597	146	--  	          3.24	
000909	数源科技	-0.06	15.70	-0.01	15.69	15.70	22471	677	0.12	          0.76	15.71	15.75	15.55	15.71	   162.40	35160216	  0.51	综合类	浙江	1.27	15.65	11893	10577	  1.12	508	188	--  	          2.94	
000925	众合科技	0.54	24.15	0.13	24.15	24.16	59738	1868	-0.12	          1.96	23.82	24.47	23.82	24.02	--  	144512480	  0.84	专用机械	浙江	2.71	24.19	31061	28677	  1.08	181	194	--  	          3.06	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002055	得润电子	4.71	24.01	1.08	24.01	24.02	130972	2279	0.00	          3.25	23.02	24.10	23.02	22.93	   106.05	311023744	  1.27	元器件	深圳	4.71	23.75	51545	79426	  0.65	139	333	--  	          4.03	
002214	大立科技	0.16	12.22	0.02	12.22	12.23	74484	1213	0.16	          2.10	12.19	12.25	12.01	12.20	   145.79	90299104	  0.58	电器仪表	浙江	1.97	12.12	43318	31166	  1.39	372	413	--  	          3.55	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002284	亚太股份	0.52	13.45	0.07	13.45	13.46	54446	1243	0.00	          0.79	13.38	13.49	13.32	13.38	    59.65	73123600	  0.44	汽车配件	浙江	1.27	13.43	26689	27757	  0.96	513	767	--  	          6.86	
002373	千方科技	0.86	14.12	0.12	14.11	14.12	53301	1050	0.07	          0.96	14.05	14.12	13.82	14.00	    53.08	74754048	  0.66	软件服务	北京	2.14	14.02	26782	26519	  1.01	278	683	--  	          5.55	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002414	高德红外	-0.08	24.20	-0.02	24.20	24.21	28933	116	0.04	          0.62	24.60	24.60	24.06	24.22	   270.45	70012216	  1.32	电器仪表	湖北	2.23	24.20	15803	13130	  1.20	191	30	--  	          4.65	
002444	巨星科技	0.78	16.80	0.13	16.80	16.81	157179	2169	-0.05	          1.55	16.75	17.07	16.73	16.67	    29.39	265318400	  0.78	轻工机械	浙江	2.04	16.88	81751	75428	  1.08	688	328	--  	         10.12	
