代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
002073	软控股份	0.95	10.65	0.10	10.64	10.65	42608	461	0.09	          0.68	10.54	10.69	10.51	10.55	--  	45255732	  0.86	软件服务	山东	1.71	10.62	20221	22386	  0.90	557	402	--  	          6.26	
002131	利欧股份	0.47	14.81	0.07	14.80	14.81	186912	2243	0.06	          2.11	14.76	14.87	14.62	14.74	    40.97	275877024	  0.89	互联网	浙江	1.70	14.76	89451	97461	  0.92	629	28	--  	          8.87	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002236	大华股份	8.97	16.40	1.35	16.40	16.41	777384	15409	0.61	          4.55	15.10	16.42	15.10	15.05	    33.34	1237688448	  3.05	电器仪表	浙江	8.77	15.92	268135	509248	  0.53	3587	565	--  	         17.09	
002253	川大智胜	1.85	30.25	0.55	30.25	30.26	145908	1717	0.06	          7.05	29.87	30.70	29.87	29.70	   247.58	442292544	  0.90	软件服务	四川	2.79	30.31	70985	74923	  0.95	704	114	--  	          2.07	
002296	辉煌科技	0.61	14.83	0.09	14.82	14.83	28759	213	0.13	          0.91	14.82	14.87	14.51	14.74	    73.66	42374928	  0.91	通信设备	河南	2.44	14.73	14409	14349	  1.00	110	480	--  	          3.16	
002316	键桥通讯	--  	13.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.65	--  	0	  0.00	软件服务	深圳	0.00	13.65	0	0	--  	0	0	--  	          3.15	
002331	皖通科技	-1.25	17.45	-0.22	17.44	17.45	135554	3042	0.00	          4.86	17.58	17.61	17.23	17.67	    79.52	236060032	  0.54	软件服务	安徽	2.15	17.41	63394	72159	  0.88	237	754	--  	          2.79	
002373	千方科技	0.86	14.12	0.12	14.11	14.12	53301	1050	0.07	          0.96	14.05	14.12	13.82	14.00	    53.08	74754048	  0.66	软件服务	北京	2.14	14.02	26782	26519	  1.01	278	683	--  	          5.55	
002401	中海科技	0.00	17.32	0.00	17.32	17.33	22510	184	0.05	          0.75	17.20	17.35	17.03	17.32	    81.03	38713572	  0.85	软件服务	上海	1.85	17.20	12766	9743	  1.31	709	576	--  	          3.00	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002415	海康威视	2.10	30.18	0.62	30.17	30.18	205430	2868	0.00	          0.42	29.55	30.44	29.51	29.56	    28.73	618551744	  1.39	电器仪表	浙江	3.15	30.11	89812	115617	  0.78	10	502	--  	         48.38	
002512	达华智能	0.13	15.78	0.02	15.78	15.79	49048	1235	0.06	          0.86	15.76	15.85	15.55	15.76	   207.34	77116776	  0.46	元器件	广东	1.90	15.72	27436	21612	  1.27	91	368	--  	          5.72	
002609	捷顺科技	-0.89	16.70	-0.15	16.69	16.70	39092	501	0.11	          1.30	16.85	16.96	16.56	16.85	    76.73	65284684	  1.12	软件服务	深圳	2.37	16.70	24825	14266	  1.74	22	21	--  	          3.01	
300007	汉威电子	1.63	19.97	0.32	19.96	19.97	43931	519	-0.05	          1.96	19.63	20.08	19.26	19.65	    73.57	86488880	  0.96	电器仪表	河南	4.17	19.69	21347	22583	  0.95	307	151	--  	          2.24	
300020	银江股份	1.10	15.68	0.17	15.68	15.69	87285	1871	0.12	          1.41	15.48	15.70	15.35	15.51	    32.55	135941840	  0.79	软件服务	浙江	2.26	15.57	45523	41761	  1.09	260	409	--  	          6.21	
300024	机器人	1.62	22.55	0.36	22.55	22.56	278703	2368	0.04	          1.84	22.38	22.88	22.30	22.19	    85.65	631489984	  0.60	专用机械	辽宁	2.61	22.66	132967	145736	  0.91	1372	850	--  	         15.14	
300098	高新兴	1.36	13.41	0.18	13.41	13.42	139500	2098	0.07	          2.55	13.22	13.47	13.14	13.23	    53.90	186126608	  0.93	通信设备	广东	2.49	13.34	57702	81797	  0.71	286	1096	--  	          5.46	
300168	万达信息	-0.05	18.20	-0.01	18.20	18.21	123949	1053	0.00	          1.23	18.04	18.34	18.01	18.21	   160.80	225205760	  1.02	软件服务	上海	1.81	18.17	65005	58944	  1.10	416	671	--  	         10.09	
300209	天泽信息	--  	27.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.82	   115.15	0	  0.00	软件服务	江苏	0.00	27.82	0	0	--  	0	0	--  	          2.11	
300212	易华录	--  	34.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.00	   113.18	0	  0.00	软件服务	北京	0.00	34.00	0	0	--  	0	0	--  	          3.05	
300270	中威电子	-0.20	14.80	-0.03	14.79	14.80	22597	665	0.27	          1.56	14.81	14.85	14.62	14.83	    92.76	33311690	  0.98	通信设备	浙江	1.55	14.74	11974	10622	  1.13	130	28	--  	          1.45	
300287	飞利信	0.09	10.97	0.01	10.97	10.98	131604	1819	0.00	          1.57	10.91	10.98	10.73	10.96	    38.34	142949488	  1.05	软件服务	北京	2.28	10.86	64285	67318	  0.95	34	903	--  	          8.36	
300552	万集科技	0.00	56.15	0.00	56.15	56.16	36194	419	-0.08	         13.56	56.16	56.30	54.20	56.15	    80.28	200518304	  1.20	软件服务	北京	3.74	55.40	18579	17615	  1.05	83	6	--  	          0.27	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600289	亿阳信通	1.45	13.32	0.19	13.32	13.33	91263	5	0.00	          1.61	13.13	13.40	13.04	13.13	   318.08	121288144	  1.55	软件服务	黑龙江	2.74	13.29	42738	48524	  0.88	100	894	--  	          5.66	
600476	湘邮科技	-0.33	29.79	-0.10	29.79	29.80	30097	2	-0.03	          1.87	29.86	29.87	29.33	29.89	--  	89051888	  1.57	软件服务	湖南	1.81	29.59	12493	17603	  0.71	26	76	--  	          1.61	
600718	东软集团	0.31	19.33	0.06	19.34	19.35	198575	24	0.31	          1.61	19.25	19.35	19.02	19.27	     8.82	381471552	  0.71	软件服务	辽宁	1.71	19.21	102675	95899	  1.07	83	847	--  	         12.32	
600845	宝信软件	1.50	18.90	0.28	18.90	18.91	28534	9	0.15	          0.54	18.62	18.93	18.44	18.62	    44.10	53548860	  0.94	软件服务	上海	2.63	18.77	12479	16055	  0.78	185	37	--  	          5.24	
601989	中国重工	0.41	7.34	0.03	7.34	7.35	803530	178	0.00	          0.44	7.32	7.37	7.25	7.31	   119.37	588544064	  0.76	船舶	北京	1.64	7.32	390537	412992	  0.95	5337	6822	--  	        183.62	
603636	南威软件	-0.11	93.66	-0.10	93.54	93.67	6932	8	0.07	          1.63	93.74	93.98	92.00	93.76	   185.06	64690256	  0.60	软件服务	福建	2.11	93.32	3124	3807	  0.82	3	17	--  	          0.43	
603869	北部湾旅	1.41	30.19	0.42	30.17	30.18	10269	4	0.00	          1.41	29.78	30.39	29.52	29.77	    84.24	30875388	  0.73	旅游服务	广西	2.92	30.07	5005	5263	  0.95	23	4	--  	          0.73	
数据来源:通达信
