代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000150	宜华健康	-0.70	28.46	-0.20	28.45	28.46	30173	868	-0.14	          0.85	28.60	28.63	28.08	28.66	     9.89	85550488	  0.89	医疗保健	广东	1.92	28.35	16144	14028	  1.15	252	105	--  	          3.54	
000503	海虹控股	-0.48	41.78	-0.20	41.70	41.78	43000	562	0.14	          0.48	42.17	42.17	41.00	41.98	--  	178581920	  1.15	医疗保健	海南	2.79	41.53	22785	20215	  1.13	38	241	--  	          8.99	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	0	--  	0	0	--  	         19.35	
000638	万方发展	-0.35	14.35	-0.05	14.35	14.36	43238	509	0.00	          1.40	14.31	14.35	14.00	14.40	   397.63	61409332	  0.41	批发业	辽宁	2.43	14.20	24402	18835	  1.30	202	113	--  	          3.09	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002178	延华智能	0.71	11.31	0.08	11.30	11.31	142920	2002	-0.17	          2.49	11.16	11.45	11.14	11.23	   155.79	161360496	  1.17	建筑施工	上海	2.76	11.29	50746	92173	  0.55	314	1578	--  	          5.74	
002223	鱼跃医疗	0.35	31.45	0.11	31.45	31.46	26112	638	-0.09	          0.53	31.34	31.52	31.05	31.34	    36.49	81810696	  0.84	医疗保健	江苏	1.50	31.33	12186	13925	  0.88	735	35	--  	          4.94	
002262	恩华药业	-0.80	22.22	-0.18	22.22	22.23	23483	274	0.04	          0.44	22.47	22.55	22.21	22.40	    45.25	52465180	  1.27	化学制药	江苏	1.52	22.34	15888	7594	  2.09	55	5	--  	          5.39	
002315	焦点科技	0.46	65.48	0.30	65.47	65.48	13717	133	0.00	          2.26	64.97	65.50	64.24	65.18	   128.70	88948144	  0.97	互联网	江苏	1.93	64.85	7162	6554	  1.09	24	128	--  	          0.61	
002421	达实智能	0.16	6.43	0.01	6.42	6.43	150849	1217	0.15	          1.07	6.41	6.46	6.35	6.42	    54.95	96637304	  0.77	软件服务	深圳	1.71	6.41	91057	59792	  1.52	1753	1026	--  	         14.05	
002432	九安医疗	-0.33	15.23	-0.05	15.23	15.24	28729	531	0.13	          0.77	15.35	15.39	15.04	15.28	--  	43675832	  0.87	医疗保健	天津	2.29	15.20	16981	11748	  1.45	261	128	--  	          3.72	
002551	尚荣医疗	0.71	18.44	0.13	18.44	18.45	36811	1405	-0.05	          1.37	18.26	18.46	18.15	18.31	    47.15	67466696	  0.87	医疗保健	深圳	1.69	18.33	18521	18289	  1.01	119	421	--  	          2.70	
002690	美亚光电	0.62	19.39	0.12	19.38	19.39	35117	356	0.10	          1.08	19.29	19.51	19.17	19.27	    45.16	67810200	  0.97	专用机械	安徽	1.76	19.31	18482	16635	  1.11	37	420	--  	          3.26	
002698	博实股份	1.53	15.88	0.24	15.87	15.88	38350	252	0.12	          0.74	15.56	16.05	15.56	15.64	   116.11	60728504	  1.14	化工机械	黑龙江	3.13	15.84	18378	19971	  0.92	170	98	--  	          5.21	
300020	银江股份	1.10	15.68	0.17	15.68	15.69	87285	1871	0.12	          1.41	15.48	15.70	15.35	15.51	    32.55	135941840	  0.79	软件服务	浙江	2.26	15.57	45523	41761	  1.09	260	409	--  	          6.21	
300049	福瑞股份	-0.29	20.62	-0.06	20.61	20.62	24138	289	-0.14	          1.07	20.54	20.78	20.39	20.68	    76.28	49535876	  1.31	中成药	内蒙	1.89	20.52	16387	7750	  2.11	53	14	--  	          2.26	
300074	华平股份	2.01	9.15	0.18	9.14	9.15	94806	990	0.00	          2.18	8.93	9.18	8.89	8.97	   378.22	85633864	  1.03	通信设备	上海	3.23	9.03	37475	57331	  0.65	168	690	--  	          4.35	
300075	数字政通	1.68	18.17	0.30	18.17	18.18	48787	831	-0.05	          1.81	17.79	18.23	17.64	17.87	    96.28	87774368	  0.98	软件服务	北京	3.30	17.99	21060	27726	  0.76	858	252	--  	          2.69	
300078	思创医惠	4.07	25.30	0.99	25.30	25.31	88219	1193	0.19	          3.21	24.33	25.50	24.32	24.31	    84.72	221588544	  0.88	元器件	浙江	4.85	25.12	38413	49806	  0.77	239	33	--  	          2.74	
300096	易联众	-0.18	16.54	-0.03	16.53	16.54	47561	431	0.12	          1.27	16.57	16.60	16.33	16.57	--  	78215744	  0.47	软件服务	福建	1.63	16.45	27240	20321	  1.34	43	84	--  	          3.73	
300146	汤臣倍健	0.43	11.61	0.05	11.60	11.61	58260	965	0.17	          0.67	11.58	11.62	11.43	11.56	    31.89	67253976	  0.92	食品	广东	1.64	11.54	32184	26075	  1.23	310	241	--  	          8.71	
300168	万达信息	-0.05	18.20	-0.01	18.20	18.21	123949	1053	0.00	          1.23	18.04	18.34	18.01	18.21	   160.80	225205760	  1.02	软件服务	上海	1.81	18.17	65005	58944	  1.10	416	671	--  	         10.09	
300199	翰宇药业	1.37	17.72	0.24	17.72	17.73	51440	821	0.11	          0.92	17.46	17.76	17.44	17.48	    53.04	90635360	  1.00	化学制药	深圳	1.83	17.62	25245	26195	  0.96	19	146	--  	          5.59	
300206	理邦仪器	0.22	9.10	0.02	9.09	9.10	29905	462	0.00	          0.88	9.08	9.14	8.98	9.08	   359.31	27082772	  0.87	医疗保健	深圳	1.76	9.06	14878	15027	  0.99	125	100	--  	          3.40	
300244	迪安诊断	2.21	31.86	0.69	31.86	31.87	46753	1127	0.15	          1.41	31.17	31.98	31.10	31.17	    69.99	148122576	  1.39	医疗保健	浙江	2.82	31.68	19650	27102	  0.73	134	16	--  	          3.31	
300253	卫宁健康	0.52	19.20	0.10	19.20	19.21	60847	1695	0.10	          1.01	19.02	19.25	18.87	19.10	    26.36	116238424	  0.73	软件服务	上海	1.99	19.10	28270	32577	  0.87	130	338	--  	          6.00	
300273	和佳股份	0.07	14.96	0.01	14.95	14.96	68556	977	0.00	          1.23	14.99	15.06	14.87	14.95	    38.83	102574376	  0.98	医疗保健	广东	1.27	14.96	41347	27208	  1.52	1061	303	--  	          5.59	
300288	朗玛信息	0.49	24.48	0.12	24.48	24.49	32034	788	-0.04	          1.82	24.37	24.59	24.01	24.36	    99.58	78008440	  0.63	软件服务	贵州	2.38	24.35	16139	15895	  1.02	858	163	--  	          1.76	
300290	荣科科技	2.11	14.03	0.29	14.03	14.04	31518	670	0.00	          1.97	13.78	14.05	13.51	13.74	   185.27	43693716	  1.13	软件服务	辽宁	3.93	13.86	12361	19156	  0.65	147	129	--  	          1.60	
300298	三诺生物	0.32	19.08	0.06	19.05	19.08	17496	320	0.52	          0.70	19.00	19.08	18.72	19.02	    40.69	33064292	  0.93	医疗保健	湖南	1.89	18.90	9888	7608	  1.30	2	18	--  	          2.51	
300300	汉鼎宇佑	0.42	21.61	0.09	21.60	21.61	27188	219	-0.04	          1.05	21.57	21.73	21.25	21.52	   162.06	58412220	  0.57	软件服务	浙江	2.23	21.48	14464	12724	  1.14	149	36	--  	          2.58	
300310	宜通世纪	10.01	27.80	2.53	27.80	--  	188223	1417	0.00	          8.68	25.15	27.80	25.15	25.27	    67.90	501988288	  2.22	通信设备	广东	10.49	26.67	70505	117717	  0.60	30855	0	--  	          2.17	
300479	神思电子	--  	25.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.57	   307.51	0	  0.00	软件服务	山东	0.00	25.57	0	0	--  	0	0	--  	          0.87	
600572	康恩贝	1.17	6.94	0.08	6.93	6.94	75868	10	0.14	          0.37	6.85	6.94	6.79	6.86	    29.03	52203120	  1.59	中成药	浙江	2.19	6.88	34643	41225	  0.84	223	588	--  	         20.58	
600588	用友网络	0.26	19.27	0.05	19.25	19.29	44671	2	-0.10	          0.31	19.31	19.36	19.02	19.22	--  	85825168	  0.62	软件服务	北京	1.77	19.21	21979	22692	  0.97	16	42	--  	         14.60	
