代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000017	深中华A	-0.80	11.22	-0.09	11.22	11.23	85020	1666	0.26	          2.81	11.29	11.29	10.92	11.31	  2230.04	94405112	  0.74	文教休闲	深圳	3.27	11.10	47244	37775	  1.25	122	76	--  	          3.03	
000521	美菱电器	0.83	7.30	0.06	7.29	7.30	165283	1273	0.13	          2.79	7.25	7.45	7.19	7.24	    34.60	121197200	  2.19	家用电器	安徽	3.59	7.33	74367	90915	  0.82	586	190	--  	          5.92	
000671	阳 光 城	2.30	5.79	0.13	5.79	5.80	276756	1323	0.00	          0.85	5.68	5.83	5.68	5.66	    48.39	159615360	  2.06	区域地产	福建	2.65	5.77	111442	165314	  0.67	1551	1323	--  	         32.45	
002084	海鸥卫浴	0.09	10.79	0.01	10.79	10.80	33313	598	0.27	          0.82	10.84	10.84	10.67	10.78	    58.98	35818144	  0.91	家居用品	广东	1.58	10.75	18350	14963	  1.23	314	183	--  	          4.05	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002280	联络互动	1.31	11.59	0.15	11.59	11.60	346061	6871	0.08	          2.76	11.41	11.60	11.20	11.44	    72.05	395949440	  0.74	软件服务	浙江	3.50	11.44	143969	202092	  0.71	2674	3420	--  	         12.52	
002293	罗莱生活	0.15	13.48	0.02	13.48	13.49	16438	79	0.00	          0.23	13.46	13.53	13.32	13.46	    27.35	22081006	  0.75	纺织	江苏	1.56	13.43	8490	7947	  1.07	65	308	--  	          6.99	
002375	亚厦股份	1.18	11.15	0.13	11.15	11.16	66431	723	0.00	          0.59	10.98	11.20	10.95	11.02	    41.91	73916624	  0.92	装修装饰	浙江	2.27	11.13	23348	43083	  0.54	184	1115	--  	         11.32	
002396	星网锐捷	0.65	20.28	0.13	20.27	20.28	92385	1083	0.00	          1.74	20.09	20.53	20.06	20.15	    46.56	187714368	  0.69	通信设备	福建	2.33	20.32	45165	47219	  0.96	89	27	--  	          5.30	
002402	和而泰	6.35	11.06	0.66	11.06	11.07	402556	4193	0.09	          6.65	10.45	11.35	10.34	10.40	    71.99	436566592	  2.73	元器件	深圳	9.71	10.84	159778	242778	  0.66	2024	608	--  	          6.06	
002421	达实智能	0.16	6.43	0.01	6.42	6.43	150849	1217	0.15	          1.07	6.41	6.46	6.35	6.42	    54.95	96637304	  0.77	软件服务	深圳	1.71	6.41	91057	59792	  1.52	1753	1026	--  	         14.05	
002482	广田集团	0.43	9.30	0.04	9.29	9.30	124220	861	0.10	          0.95	9.23	9.43	9.19	9.26	    36.31	115623464	  1.27	装修装饰	深圳	2.59	9.31	59779	64441	  0.93	41	1342	--  	         13.10	
002631	德尔未来	1.14	18.71	0.21	18.70	18.71	31519	539	0.10	          1.09	18.59	18.78	18.50	18.50	    64.34	58786444	  0.76	家居用品	江苏	1.51	18.65	15790	15729	  1.00	283	382	--  	          2.88	
002681	奋达科技	--  	12.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.93	    50.26	0	  0.00	家用电器	深圳	0.00	12.93	0	0	--  	0	0	--  	          6.01	
002705	新宝股份	3.09	19.00	0.57	19.00	19.01	89162	634	0.15	          5.45	18.48	19.49	18.20	18.43	    25.04	169395136	  2.44	家用电器	广东	7.00	19.00	44053	45108	  0.98	1476	23	--  	          1.64	
002706	良信电器	-0.52	26.60	-0.14	26.60	26.65	9150	67	0.11	          0.40	26.43	26.78	26.37	26.74	    39.27	24316566	  0.95	电气设备	上海	1.53	26.57	5666	3484	  1.63	107	11	--  	          2.28	
300007	汉威电子	1.63	19.97	0.32	19.96	19.97	43931	519	-0.05	          1.96	19.63	20.08	19.26	19.65	    73.57	86488880	  0.96	电器仪表	河南	4.17	19.69	21347	22583	  0.95	307	151	--  	          2.24	
300028	金亚科技	-1.79	13.20	-0.24	13.20	13.21	178070	3051	0.00	          7.19	13.49	13.58	13.11	13.44	   390.45	236503104	  1.06	通信设备	四川	3.50	13.28	95483	82586	  1.16	464	392	--  	          2.48	
300131	英唐智控	1.53	9.93	0.15	9.93	9.94	286826	4299	0.10	          4.57	9.77	9.96	9.69	9.78	    52.73	283606528	  1.27	元器件	深圳	2.76	9.89	131019	155807	  0.84	229	1872	--  	          6.28	
300155	安居宝	0.51	11.92	0.06	11.92	11.93	30529	586	0.16	          1.11	11.85	11.93	11.64	11.86	   363.12	36096688	  0.74	元器件	广东	2.45	11.82	13806	16723	  0.83	533	347	--  	          2.74	
300183	东软载波	1.39	25.55	0.35	25.55	25.56	44116	801	0.19	          1.71	25.20	25.66	24.97	25.20	    36.58	111695328	  1.03	软件服务	山东	2.74	25.32	22415	21701	  1.03	2086	84	--  	          2.58	
300247	乐金健康	0.48	8.41	0.04	8.40	8.41	83552	1552	0.11	          1.77	8.35	8.41	8.21	8.37	   153.86	69590992	  0.73	医疗保健	安徽	2.39	8.33	39483	44068	  0.90	1329	1645	--  	          4.72	
300279	和晶科技	9.99	44.15	4.01	44.15	--  	54951	55	0.00	          6.64	40.37	44.15	40.29	40.14	    75.93	237480032	  5.32	元器件	江苏	9.62	43.22	30753	24197	  1.27	3593	0	--  	          0.83	
300310	宜通世纪	10.01	27.80	2.53	27.80	--  	188223	1417	0.00	          8.68	25.15	27.80	25.15	25.27	    67.90	501988288	  2.22	通信设备	广东	10.49	26.67	70505	117717	  0.60	30855	0	--  	          2.17	
300312	邦讯技术	1.10	17.52	0.19	17.52	17.53	37529	507	0.63	          2.13	17.37	17.68	17.23	17.33	--  	65700668	  0.68	通信设备	北京	2.60	17.51	15707	21821	  0.72	106	102	--  	          1.76	
300342	天银机电	0.64	23.69	0.15	23.68	23.69	13290	161	0.00	          0.47	23.55	23.77	23.41	23.54	    54.21	31371000	  0.74	元器件	江苏	1.53	23.60	6536	6754	  0.97	33	17	--  	          2.81	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600193	创兴资源	3.82	10.05	0.37	10.05	10.06	178948	5	0.29	          4.21	10.14	10.32	9.94	9.68	  1037.25	180316912	  4.19	装修装饰	上海	3.93	10.08	85540	93408	  0.92	424	485	--  	          4.25	
