代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000333	美的集团	-0.94	33.90	-0.32	33.89	33.90	450041	6379	-0.11	          0.71	34.28	34.79	33.74	34.22	    12.75	1537993472	  1.26	家用电器	广东	3.07	34.17	244329	205711	  1.19	248	3540	--  	         63.42	
000410	沈阳机床	0.59	11.93	0.07	11.93	11.94	91546	1164	0.00	          1.24	11.90	12.06	11.86	11.86	--  	109438288	  0.64	机床制造	辽宁	1.69	11.95	48548	42998	  1.13	108	1201	--  	          7.40	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	0	--  	0	0	--  	          6.11	
000725	京东方Ａ	1.91	3.20	0.06	3.20	3.21	3809817	28719	-0.31	          1.59	3.13	3.21	3.12	3.14	   599.76	1206541312	  1.88	元器件	北京	2.87	3.17	1356919	2452897	  0.55	45648	105935	--  	        240.29	
000821	京山轻机	--  	16.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.24	   130.09	0	  0.00	轻工机械	湖北	0.00	16.24	0	0	--  	0	0	--  	          3.45	
000837	秦川机床	0.53	9.45	0.05	9.44	9.45	89219	796	0.10	          1.85	9.41	9.48	9.27	9.40	--  	83674792	  0.85	机床制造	陕西	2.23	9.38	42788	46431	  0.92	468	197	--  	          4.81	
000913	*ST钱江	-1.83	17.75	-0.33	17.75	17.78	22819	762	-0.39	          0.50	18.04	18.04	17.71	18.08	   109.51	40745684	  0.77	摩托车	浙江	1.83	17.86	14290	8528	  1.68	266	1	--  	          4.53	
000938	紫光股份	--  	56.89	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	56.89	    85.57	0	  0.00	软件服务	北京	0.00	56.89	0	0	--  	0	0	--  	          2.06	
000961	中南建设	-3.25	9.82	-0.33	9.82	9.83	691595	11870	-0.60	          2.38	10.13	10.13	9.55	10.15	    55.97	677680384	  0.97	建筑施工	江苏	5.71	9.80	293452	398143	  0.74	556	1075	--  	         29.10	
001696	宗申动力	0.44	9.03	0.04	9.03	9.04	59772	996	-0.11	          0.67	9.02	9.06	8.88	8.99	    31.71	53850128	  0.69	摩托车	重庆	2.00	9.01	24106	35665	  0.68	1099	658	--  	          8.91	
002006	精功科技	0.61	9.96	0.06	9.95	9.96	42807	609	0.10	          0.97	9.88	9.96	9.87	9.90	    64.50	42447372	  0.57	专用机械	浙江	0.91	9.92	25361	17445	  1.45	321	248	--  	          4.43	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002009	天奇股份	1.78	14.87	0.26	14.86	14.87	51004	650	0.13	          1.92	14.60	14.88	14.55	14.61	    62.93	75376616	  1.18	工程机械	江苏	2.26	14.78	18844	32160	  0.59	435	617	--  	          2.66	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002026	山东威达	-0.54	11.13	-0.06	11.13	11.14	74402	994	0.08	          2.10	11.20	11.24	10.99	11.19	    40.56	82557968	  0.70	机械基件	山东	2.23	11.10	46744	27657	  1.69	586	506	--  	          3.54	
002031	巨轮智能	0.29	3.41	0.01	3.40	3.41	157711	1698	0.00	          0.84	3.39	3.43	3.37	3.40	   210.22	53651224	  0.41	汽车配件	广东	1.76	3.40	72858	84853	  0.86	6314	111	--  	         18.72	
002067	景兴纸业	0.44	6.87	0.03	6.86	6.87	159482	1648	0.00	          1.66	6.84	6.88	6.70	6.84	    32.80	108477040	  0.71	造纸	浙江	2.63	6.80	72620	86862	  0.84	1800	699	--  	          9.60	
002073	软控股份	0.95	10.65	0.10	10.64	10.65	42608	461	0.09	          0.68	10.54	10.69	10.51	10.55	--  	45255732	  0.86	软件服务	山东	1.71	10.62	20221	22386	  0.90	557	402	--  	          6.26	
002097	山河智能	1.21	9.21	0.11	9.21	9.22	228659	2411	0.10	          3.63	9.10	9.35	9.06	9.10	   152.07	210899008	  0.59	工程机械	湖南	3.19	9.22	117591	111067	  1.06	635	836	--  	          6.29	
002116	中国海诚	0.66	13.73	0.09	13.73	13.74	21174	567	-0.21	          0.51	13.69	13.79	13.50	13.64	    53.05	28995492	  1.01	建筑施工	上海	2.13	13.69	10786	10387	  1.04	436	39	--  	          4.12	
002122	天马股份	0.18	11.16	0.02	11.16	11.17	68051	1020	0.00	          0.62	11.14	11.25	10.96	11.14	   349.06	75538704	  0.57	机械基件	浙江	2.60	11.10	33792	34258	  0.99	653	1297	--  	         10.92	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002147	新光圆成	0.18	16.25	0.03	16.24	16.25	26705	302	0.06	          1.19	16.20	16.27	16.03	16.22	    35.98	43205044	  0.75	机械基件	安徽	1.48	16.18	14119	12586	  1.12	105	526	--  	          2.24	
002184	海得控制	0.15	19.63	0.03	19.62	19.63	23287	570	0.05	          1.73	19.59	19.73	19.38	19.60	   344.74	45521596	  1.24	软件服务	上海	1.79	19.55	10962	12324	  0.89	31	32	--  	          1.34	
002209	达 意 隆	0.66	18.18	0.12	18.18	18.19	14837	250	0.49	          0.93	18.02	18.23	17.81	18.06	--  	26737780	  0.78	轻工机械	广东	2.33	18.02	5615	9222	  0.61	21	63	--  	          1.59	
002230	科大讯飞	1.08	34.59	0.37	34.59	34.60	633294	6215	0.02	          5.46	34.98	35.97	34.34	34.22	   122.25	2222599680	  0.92	软件服务	安徽	4.76	35.10	325352	307942	  1.06	568	324	--  	         11.60	
002270	华明装备	0.89	14.70	0.13	14.68	14.70	22330	687	0.13	          1.08	14.54	14.79	14.45	14.57	    38.82	32806002	  0.92	电气设备	山东	2.33	14.69	8384	13946	  0.60	49	854	--  	          2.07	
002283	天润曲轴	-0.66	7.50	-0.05	7.50	7.51	194869	5045	-0.13	          1.74	7.57	7.58	7.40	7.55	    50.62	145759840	  0.99	汽车配件	山东	2.38	7.48	111931	82938	  1.35	433	1637	--  	         11.20	
002292	奥飞娱乐	0.64	22.10	0.14	22.10	22.11	73120	1496	0.18	          1.01	21.91	22.16	21.60	21.96	    49.51	160087040	  0.72	影视音像	广东	2.55	21.89	32846	40273	  0.82	996	169	--  	          7.22	
002298	中电鑫龙	-0.07	13.41	-0.01	13.41	13.42	54236	1282	0.07	          1.38	13.40	13.45	13.24	13.42	    68.41	72527448	  1.07	软件服务	安徽	1.56	13.37	32056	22179	  1.45	105	252	--  	          3.92	
002334	英威腾	1.07	8.47	0.09	8.46	8.47	81554	1366	0.11	          1.52	8.35	8.47	8.28	8.38	    81.19	68322976	  0.60	电气设备	深圳	2.27	8.38	43854	37699	  1.16	1153	2005	--  	          5.38	
002337	赛象科技	0.67	7.48	0.05	7.48	7.49	42799	331	-0.26	          0.76	7.42	7.52	7.32	7.43	--  	31900904	  0.78	化工机械	天津	2.69	7.45	21617	21181	  1.02	638	882	--  	          5.66	
002367	康力电梯	0.82	13.56	0.11	13.56	13.57	59688	627	0.00	          1.30	13.55	13.60	13.48	13.45	    22.05	80801216	  1.37	运输设备	江苏	0.89	13.54	31712	27975	  1.13	294	302	--  	          4.60	
002376	新北洋	0.52	13.56	0.07	13.56	13.57	46400	1516	0.22	          0.81	13.47	13.57	13.33	13.49	    46.36	62475744	  0.60	电脑设备	山东	1.78	13.46	22269	24130	  0.92	132	375	--  	          5.72	
002380	科远股份	0.86	27.12	0.23	27.12	27.14	9875	263	0.07	          0.94	27.00	27.12	26.73	26.89	    91.85	26652700	  0.79	电气设备	江苏	1.45	26.99	4195	5679	  0.74	11	28	--  	          1.05	
002403	爱仕达	1.11	14.61	0.16	14.60	14.61	20572	504	0.06	          0.71	14.39	14.68	14.38	14.45	    38.55	29868064	  1.01	家用电器	浙江	2.08	14.52	9792	10780	  0.91	36	18	--  	          2.89	
002406	远东传动	1.62	9.42	0.15	9.42	9.43	69361	1791	0.21	          1.75	9.28	9.43	9.23	9.27	    47.30	64957856	  0.83	汽车配件	河南	2.16	9.37	29038	40323	  0.72	147	837	--  	          3.97	
002415	海康威视	2.10	30.18	0.62	30.17	30.18	205430	2868	0.00	          0.42	29.55	30.44	29.51	29.56	    28.73	618551744	  1.39	电器仪表	浙江	3.15	30.11	89812	115617	  0.78	10	502	--  	         48.38	
002444	巨星科技	0.78	16.80	0.13	16.80	16.81	157179	2169	-0.05	          1.55	16.75	17.07	16.73	16.67	    29.39	265318400	  0.78	轻工机械	浙江	2.04	16.88	81751	75428	  1.08	688	328	--  	         10.12	
