代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000021	深科技	1.44	9.89	0.14	9.89	9.90	94782	1772	0.00	          0.64	9.79	9.91	9.67	9.75	    35.95	92995136	  0.91	电脑设备	深圳	2.46	9.81	42993	51789	  0.83	260	6524	--  	         14.70	
000400	许继电气	0.97	17.65	0.17	17.65	17.66	33942	503	0.05	          0.46	17.42	17.69	17.42	17.48	    54.56	59623092	  0.89	电气设备	河南	1.54	17.57	12016	21926	  0.55	66	246	--  	          7.37	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000551	创元科技	0.00	11.08	0.00	11.07	11.08	79711	2531	0.09	          1.99	11.06	11.12	10.90	11.08	    56.38	87884896	  1.03	专用机械	江苏	1.99	11.03	45936	33774	  1.36	145	1196	--  	          4.00	
000585	东北电气	0.24	8.40	0.02	8.40	8.41	97086	1596	-0.11	          1.59	8.40	8.45	8.21	8.38	--  	80923848	  0.62	电气设备	江苏	2.86	8.34	47581	49505	  0.96	908	1182	--  	          6.09	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	0	--  	0	0	--  	          9.78	
002028	思源电气	5.08	16.35	0.79	16.35	16.36	125669	3467	0.06	          2.17	15.71	16.36	15.45	15.56	    39.15	201148784	  1.11	电气设备	上海	5.85	16.01	50736	74932	  0.68	3	346	--  	          5.79	
002058	威 尔 泰	0.72	26.66	0.19	26.66	26.67	12674	205	0.00	          0.88	26.44	26.69	25.90	26.47	--  	33335118	  1.32	电器仪表	上海	2.98	26.30	5477	7197	  0.76	174	40	--  	          1.43	
002074	国轩高科	2.13	34.04	0.71	34.04	34.05	190563	1230	0.02	          4.04	33.26	34.48	32.90	33.33	    30.38	648235008	  1.42	电气设备	江苏	4.74	34.02	99541	91022	  1.09	902	342	--  	          4.72	
002090	金智科技	-0.81	24.64	-0.20	24.64	24.66	10961	87	0.04	          0.56	24.80	24.81	24.58	24.84	    56.77	27039552	  0.56	软件服务	江苏	0.93	24.67	5614	5347	  1.05	78	15	--  	          1.94	
002112	三变科技	-0.06	17.50	-0.01	17.50	17.52	14193	291	0.05	          0.78	17.60	17.69	17.38	17.51	   142.11	24838544	  0.73	电气设备	浙江	1.77	17.50	6034	8158	  0.74	176	48	--  	          1.83	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002123	梦网荣信	0.74	15.01	0.11	15.00	15.01	46551	430	0.06	          0.76	14.90	15.02	14.79	14.90	    57.54	69485040	  0.67	互联网	辽宁	1.54	14.93	22563	23988	  0.94	440	115	--  	          6.11	
002169	智光电气	-0.58	20.65	-0.12	20.65	20.66	103772	1872	0.09	          4.13	20.74	20.74	20.25	20.77	    67.37	212935968	  0.66	电气设备	广东	2.36	20.52	58498	45274	  1.29	588	236	--  	          2.51	
002180	艾派克	1.24	28.55	0.35	28.55	28.56	37588	185	0.00	          1.95	28.30	28.77	27.80	28.20	    84.25	106780704	  1.27	电脑设备	广东	3.44	28.41	16120	21468	  0.75	92	149	--  	          1.93	
002184	海得控制	0.15	19.63	0.03	19.62	19.63	23287	570	0.05	          1.73	19.59	19.73	19.38	19.60	   344.74	45521596	  1.24	软件服务	上海	1.79	19.55	10962	12324	  0.89	31	32	--  	          1.34	
002322	理工环科	0.98	20.55	0.20	20.55	20.56	36498	157	0.00	          1.28	20.34	20.60	20.04	20.35	    88.84	74317840	  1.14	环境保护	浙江	2.75	20.36	11823	24674	  0.48	280	133	--  	          2.85	
002339	积成电子	1.67	18.91	0.31	18.90	18.91	62722	732	0.05	          2.12	18.62	18.92	18.42	18.60	    67.47	117444640	  1.08	电气设备	山东	2.69	18.72	25061	37660	  0.67	102	482	--  	          2.96	
002356	赫美集团	0.66	26.10	0.17	26.09	26.10	15575	263	0.11	          0.65	25.96	26.30	25.63	25.93	    46.59	40531964	  1.18	服饰	深圳	2.58	26.02	7695	7880	  0.98	194	50	--  	          2.40	
300001	特锐德	0.06	17.81	0.01	17.81	17.82	43832	498	0.11	          0.52	17.62	17.97	17.59	17.80	   105.28	77950672	  0.54	电气设备	山东	2.13	17.78	24539	19293	  1.27	20	106	--  	          8.46	
300014	亿纬锂能	-1.48	37.20	-0.56	37.20	37.21	235720	2040	0.10	          5.75	37.58	38.17	36.93	37.76	    63.10	880687680	  0.95	元器件	广东	3.28	37.36	129553	106167	  1.22	151	111	--  	          4.10	
300018	中元股份	1.15	11.48	0.13	11.47	11.48	46351	323	0.00	          1.40	11.36	11.49	11.24	11.35	    72.85	52879904	  1.02	电气设备	湖北	2.20	11.41	21389	24962	  0.86	539	698	--  	          3.31	
300044	赛为智能	--  	20.02	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.02	   155.74	0	  0.00	软件服务	深圳	0.00	20.02	0	0	--  	0	0	--  	          2.36	
300062	中能电气	-0.28	31.69	-0.09	31.68	31.69	17721	162	0.03	          2.14	31.70	31.89	31.34	31.78	    62.90	55848200	  0.74	电气设备	福建	1.73	31.51	9135	8586	  1.06	14	64	--  	          0.83	
300356	光一科技	0.09	32.88	0.03	32.88	32.89	26001	587	0.15	          2.18	32.96	33.40	32.24	32.85	   166.51	85128040	  0.79	电气设备	江苏	3.53	32.74	13517	12484	  1.08	134	52	--  	          1.19	
300365	恒华科技	-1.69	40.02	-0.69	40.01	40.02	17944	198	0.00	          1.75	40.32	40.80	39.20	40.71	    56.13	71273448	  1.07	软件服务	北京	3.93	39.72	11198	6746	  1.66	19	28	--  	          1.03	
300513	恒泰实达	-0.93	82.42	-0.77	82.42	82.43	14384	179	0.02	          7.55	83.16	83.83	81.01	83.19	  1259.49	118533056	  1.28	软件服务	北京	3.39	82.41	7429	6954	  1.07	7	1	--  	          0.19	
600112	天成控股	0.28	10.84	0.03	10.83	10.84	125285	10	-0.09	          2.46	10.70	10.87	10.65	10.81	   754.37	135066144	  0.63	电气设备	贵州	2.04	10.78	67474	57811	  1.17	1450	652	--  	          5.09	
600192	长城电工	0.81	9.94	0.08	9.93	9.94	42498	26	0.00	          0.96	9.86	9.97	9.76	9.86	   196.77	42061812	  0.78	电气设备	甘肃	2.13	9.90	19491	23007	  0.85	103	198	--  	          4.42	
600268	国电南自	-0.24	8.22	-0.02	8.22	8.23	107010	10	0.00	          1.68	8.24	8.29	8.11	8.24	--  	87615936	  1.42	电气设备	江苏	2.18	8.19	63180	43830	  1.44	112	365	--  	          6.35	
600312	平高电气	0.56	16.29	0.09	16.28	16.29	60820	30	-0.06	          0.74	16.09	16.31	16.09	16.20	    19.00	98832904	  0.99	电气设备	河南	1.36	16.25	29831	30988	  0.96	68	86	--  	          8.19	
600406	国电南瑞	0.00	16.63	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	16.63	    39.46	0	  0.00	软件服务	江苏	0.00	16.63	0	0	--  	0	0	--  	         22.06	
600525	长园集团	3.98	16.20	0.62	16.20	16.21	226837	238	0.18	          2.04	15.56	16.55	15.40	15.58	    35.32	368084128	  1.82	电气设备	深圳	7.38	16.23	98016	128820	  0.76	2	96	--  	         11.12	
600560	金自天正	0.92	16.37	0.15	16.37	16.38	23659	36	0.00	          1.06	16.20	16.38	16.15	16.22	   186.94	38552584	  0.53	电气设备	北京	1.42	16.30	11706	11952	  0.98	239	80	--  	          2.24	
600590	泰豪科技	0.00	15.72	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	15.72	   116.79	0	  0.00	电气设备	江西	0.00	15.72	0	0	--  	0	0	--  	          5.16	
600885	宏发股份	0.87	34.76	0.30	34.72	34.75	10012	40	-0.02	          0.19	34.03	34.83	34.00	34.46	    28.99	34609096	  0.70	电气设备	湖北	2.41	34.57	5458	4553	  1.20	4	60	--  	          5.32	
600973	宝胜股份	2.20	8.82	0.19	8.82	8.83	122522	19	0.00	          1.85	8.63	8.83	8.50	8.63	    33.61	106853400	  0.82	电气设备	江苏	3.82	8.72	50480	72042	  0.70	160	2151	--  	          6.63	
603556	海兴电力	0.38	44.47	0.17	44.47	44.48	33991	20	0.06	          3.64	44.10	44.50	43.30	44.30	    34.39	149288400	  0.78	电器仪表	浙江	2.71	43.92	16508	17483	  0.94	4	41	--  	          0.93	
数据来源:通达信
