代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000026	飞亚达Ａ	1.19	14.46	0.17	14.45	14.46	84189	713	0.06	          2.36	14.25	14.52	14.14	14.29	    57.33	121192872	  0.84	其他商业	深圳	2.66	14.40	37726	46462	  0.81	414	765	--  	          3.57	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000636	风华高科	2.00	10.72	0.21	10.72	10.73	153875	926	-0.09	          1.89	10.56	10.78	10.43	10.51	    65.01	163933632	  1.06	元器件	广东	3.33	10.65	66422	87452	  0.76	1708	258	--  	          8.13	
000670	*ST盈方	1.85	7.72	0.14	7.72	7.73	240105	5484	0.12	          4.00	7.50	7.83	7.45	7.58	   283.15	184048832	  1.12	元器件	湖北	5.01	7.67	116533	123571	  0.94	257	1280	--  	          6.00	
000725	京东方Ａ	1.91	3.20	0.06	3.20	3.21	3809817	28719	-0.31	          1.59	3.13	3.21	3.12	3.14	   599.76	1206541312	  1.88	元器件	北京	2.87	3.17	1356919	2452897	  0.55	45648	105935	--  	        240.29	
002027	分众传媒	-0.60	11.63	-0.07	11.63	11.64	277595	2338	0.08	          0.78	11.73	11.73	11.50	11.70	    24.22	322380288	  1.01	软件服务	广东	1.97	11.61	160843	116752	  1.38	2886	1262	--  	         35.43	
002055	得润电子	4.71	24.01	1.08	24.01	24.02	130972	2279	0.00	          3.25	23.02	24.10	23.02	22.93	   106.05	311023744	  1.27	元器件	深圳	4.71	23.75	51545	79426	  0.65	139	333	--  	          4.03	
002217	合力泰	-0.82	19.45	-0.16	19.44	19.45	111693	1735	0.15	          2.39	19.50	19.52	19.17	19.61	    39.46	216111200	  0.77	元器件	山东	1.78	19.35	57575	54117	  1.06	362	65	--  	          4.67	
002230	科大讯飞	1.08	34.59	0.37	34.59	34.60	633294	6215	0.02	          5.46	34.98	35.97	34.34	34.22	   122.25	2222599680	  0.92	软件服务	安徽	4.76	35.10	325352	307942	  1.06	568	324	--  	         11.60	
002241	歌尔股份	3.62	32.62	1.14	32.62	32.63	155813	567	0.09	          1.23	31.46	32.99	31.43	31.48	    36.04	506591232	  1.43	元器件	山东	4.96	32.51	56835	98977	  0.57	32	88	--  	         12.64	
002273	水晶光电	3.20	22.27	0.69	22.27	22.28	183297	1111	0.04	          3.00	21.58	22.33	21.40	21.58	    65.26	403571840	  0.93	元器件	浙江	4.31	22.02	76144	107152	  0.71	555	565	--  	          6.10	
