代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000777	中核科技	0.23	21.83	0.05	21.83	21.84	55444	491	0.00	          1.45	21.78	21.85	21.43	21.78	   133.00	120138016	  0.88	机械基件	江苏	1.93	21.67	26956	28487	  0.95	35	158	--  	          3.83	
000825	太钢不锈	1.23	4.93	0.06	4.92	4.93	488516	18776	0.00	          0.86	4.88	4.93	4.79	4.87	    25.01	237969616	  0.90	特种钢	山西	2.87	4.87	242302	246213	  0.98	8724	1610	--  	         56.96	
000881	中广核技	-0.19	26.71	-0.05	26.71	26.72	27830	531	0.03	          0.90	26.54	26.85	26.29	26.76	 35504.14	74101056	  0.52	综合类	辽宁	2.09	26.63	13058	14771	  0.88	336	374	--  	          3.08	
000883	湖北能源	0.63	4.78	0.03	4.77	4.78	107673	992	0.00	          0.20	4.76	4.79	4.71	4.75	    12.75	51197832	  0.97	火力发电	湖北	1.68	4.75	53728	53944	  1.00	2871	1811	--  	         53.46	
000899	赣能股份	1.37	9.62	0.13	9.62	9.63	138545	984	0.00	          2.14	9.42	9.66	9.40	9.49	    17.92	132654456	  1.71	火力发电	江西	2.74	9.57	77148	61397	  1.26	438	287	--  	          6.47	
000922	佳电股份	0.09	10.79	0.01	10.79	10.80	133364	3238	0.18	          2.91	10.78	10.83	10.57	10.78	--  	142758848	  0.59	电气设备	黑龙江	2.41	10.70	62691	70673	  0.89	433	977	--  	          4.58	
000967	盈峰环境	0.32	15.65	0.05	15.65	15.66	48623	538	0.12	          1.09	15.51	15.78	15.40	15.60	    52.53	75776632	  0.76	电气设备	浙江	2.44	15.58	22408	26214	  0.85	272	302	--  	          4.45	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000993	闽东电力	-0.98	14.20	-0.14	14.20	14.21	139111	2290	0.00	          3.73	14.21	14.29	13.95	14.34	    33.01	196420384	  0.80	水力发电	福建	2.37	14.12	82015	57096	  1.44	941	381	--  	          3.73	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002058	威 尔 泰	0.72	26.66	0.19	26.66	26.67	12674	205	0.00	          0.88	26.44	26.69	25.90	26.47	--  	33335118	  1.32	电器仪表	上海	2.98	26.30	5477	7197	  0.76	174	40	--  	          1.43	
002130	沃尔核材	0.21	14.11	0.03	14.10	14.11	42850	461	0.14	          0.99	14.11	14.12	13.88	14.08	    72.62	60074388	  0.64	电气设备	深圳	1.70	14.02	23699	19150	  1.24	463	206	--  	          4.32	
002149	西部材料	1.33	29.74	0.39	29.74	29.75	19046	585	0.06	          1.09	29.40	29.95	29.20	29.35	   561.74	56463972	  0.55	小金属	陕西	2.56	29.65	8587	10458	  0.82	87	134	--  	          1.75	
002167	东方锆业	2.43	12.63	0.30	12.62	12.63	129148	1862	-0.07	          2.74	12.33	12.74	12.16	12.33	  1948.17	161180528	  0.72	小金属	广东	4.70	12.48	53021	76127	  0.70	213	1035	--  	          4.72	
002212	南洋股份	0.00	17.70	0.00	17.69	17.70	35702	788	0.05	          1.19	17.75	17.88	17.55	17.70	   224.81	63269836	  1.00	电气设备	广东	1.86	17.72	16543	19158	  0.86	93	954	--  	          3.01	
002227	奥 特 迅	-0.23	25.60	-0.06	25.59	25.60	20518	312	0.03	          0.93	25.60	25.76	25.30	25.66	--  	52411248	  0.86	电气设备	深圳	1.79	25.54	11225	9293	  1.21	363	467	--  	          2.20	
002248	华东数控	--  	10.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.84	--  	0	  0.00	机床制造	山东	0.00	10.84	0	0	--  	0	0	--  	          2.37	
002255	海陆重工	--  	10.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.06	    91.10	0	  0.00	专用机械	江苏	0.00	10.06	0	0	--  	0	0	--  	          4.42	
002266	浙富控股	1.26	5.64	0.07	5.64	5.65	83893	1976	0.00	          0.57	5.60	5.64	5.55	5.57	   165.90	47007812	  0.97	电气设备	浙江	1.62	5.60	47266	36626	  1.29	297	2727	--  	         14.80	
002276	万马股份	0.40	15.00	0.06	15.00	15.01	82115	2814	0.06	          0.89	14.90	15.01	14.71	14.94	    80.64	122196680	  0.68	电气设备	浙江	2.01	14.88	40824	41291	  0.99	1212	381	--  	          9.26	
002318	久立特材	0.50	10.07	0.05	10.06	10.07	97736	152	0.00	          1.20	10.02	10.09	9.89	10.02	    59.38	97735064	  1.08	特种钢	浙江	2.00	10.00	52355	45380	  1.15	971	201	--  	          8.16	
002364	中恒电气	0.05	19.00	0.01	18.99	19.00	26237	937	0.15	          0.61	19.00	19.05	18.68	18.99	    60.89	49531540	  0.67	电气设备	浙江	1.95	18.88	14542	11695	  1.24	230	29	--  	          4.27	
002366	台海核电	0.57	47.74	0.27	47.74	47.75	19028	147	0.00	          0.82	47.43	47.95	47.15	47.47	    43.88	90624208	  0.59	专用机械	四川	1.69	47.63	9749	9278	  1.05	222	156	--  	          2.31	
002438	江苏神通	-0.05	20.82	-0.01	20.81	20.82	18530	172	0.04	          1.36	20.80	20.93	20.50	20.83	   117.86	38310384	  1.14	机械基件	江苏	2.06	20.68	10212	8317	  1.23	45	9	--  	          1.36	
002478	常宝股份	0.13	16.02	0.02	16.02	16.03	98642	1293	0.18	          3.27	16.00	16.23	15.71	16.00	    58.43	157473328	  0.66	普钢	江苏	3.25	15.96	52236	46406	  1.13	246	100	--  	          3.02	
002534	杭锅股份	0.49	12.25	0.06	12.25	12.26	36525	499	0.00	          0.62	12.18	12.30	12.01	12.19	    36.87	44464316	  0.91	专用机械	浙江	2.38	12.17	17872	18652	  0.96	306	201	--  	          5.93	
002564	天沃科技	0.55	11.05	0.06	11.04	11.05	139547	2450	0.27	          2.69	10.89	11.05	10.89	10.99	--  	152790160	  0.68	化工机械	江苏	1.46	10.95	71190	68356	  1.04	208	963	--  	          5.19	
002665	首航节能	0.70	8.58	0.06	8.58	8.59	71662	1087	0.23	          0.47	8.51	8.61	8.38	8.52	   119.82	60781504	  1.82	电气设备	北京	2.70	8.48	33944	37718	  0.90	170	438	--  	         15.41	
300004	南风股份	0.68	14.86	0.10	14.86	14.87	21730	408	-0.06	          0.57	14.88	14.92	14.72	14.76	   259.74	32271886	  0.65	电气设备	广东	1.36	14.85	10835	10894	  0.99	111	190	--  	          3.83	
300084	海默科技	-1.36	12.31	-0.17	12.31	12.32	31491	322	0.00	          1.26	12.49	12.49	12.25	12.48	  1696.44	38794876	  0.69	石油开采	甘肃	1.92	12.32	19158	12333	  1.55	402	93	--  	          2.50	
300092	科新机电	-0.75	13.28	-0.10	13.28	13.29	31406	245	0.07	          1.92	13.29	13.43	12.94	13.38	   176.30	41239852	  1.22	专用机械	四川	3.66	13.13	14241	17165	  0.83	615	86	--  	          1.64	
300153	科泰电源	-0.40	17.32	-0.07	17.32	17.33	91892	1058	-0.05	          2.88	17.21	17.79	17.01	17.39	   286.56	160009168	  0.72	电气设备	上海	4.49	17.41	45927	45965	  1.00	632	171	--  	          3.20	
300185	通裕重工	-0.65	3.05	-0.02	3.05	3.06	449118	3743	0.00	          1.66	3.03	3.06	3.00	3.07	    64.26	135977264	  1.97	工程机械	山东	1.95	3.03	176650	272468	  0.65	8619	14651	--  	         27.13	
300411	金盾股份	-1.07	38.67	-0.42	38.67	38.68	23352	902	0.70	          3.85	38.91	39.07	37.96	39.09	   145.05	89528472	  1.62	专用机械	浙江	2.84	38.34	12887	10465	  1.23	18	119	--  	          0.61	
300489	中飞股份	0.80	35.48	0.28	35.47	35.48	13901	203	0.05	          3.03	35.72	35.72	35.12	35.20	   127.37	49263112	  0.74	铝	黑龙江	1.70	35.44	6052	7848	  0.77	1	65	--  	          0.46	
600023	浙能电力	0.35	5.72	0.02	5.71	5.72	160610	46	0.00	          0.12	5.68	5.73	5.65	5.70	     9.99	91479960	  0.84	火力发电	浙江	1.40	5.70	73625	86984	  0.85	6121	5229	--  	        136.01	
600089	特变电工	1.06	10.53	0.11	10.54	10.55	437797	51	0.19	          1.37	10.46	10.62	10.36	10.42	    14.47	458537184	  1.35	电气设备	新疆	2.50	10.47	222598	215198	  1.03	1480	1624	--  	         32.00	
600157	永泰能源	0.75	4.04	0.03	4.03	4.04	162240	12	0.00	          0.35	4.00	4.04	3.99	4.01	    81.64	65213908	  0.95	煤炭开采	山西	1.25	4.02	70247	91993	  0.76	2874	9880	--  	         45.96	
600202	哈空调	1.08	13.05	0.14	13.04	13.05	65004	20	0.00	          1.70	12.92	13.12	12.72	12.91	--  	84511288	  0.60	电气设备	黑龙江	3.10	13.00	29969	35035	  0.86	121	94	--  	          3.83	
600226	升华拜克	2.03	11.07	0.22	11.06	11.07	222435	3	0.27	          2.03	10.85	11.12	10.69	10.85	    51.45	243889792	  1.28	农药化肥	浙江	3.96	10.96	92277	130157	  0.71	233	350	--  	         10.95	
600269	赣粤高速	0.75	5.34	0.04	5.33	5.34	120348	20	0.00	          0.52	5.30	5.34	5.25	5.30	    12.02	63881420	  0.61	路桥	江西	1.70	5.31	60286	60061	  1.00	2250	6710	--  	         23.35	
600292	远达环保	0.84	12.04	0.10	12.04	12.05	40525	96	0.24	          0.52	11.95	12.04	11.87	11.94	    62.24	48482376	  0.74	环境保护	重庆	1.42	11.96	15176	25349	  0.60	458	333	--  	          7.81	
600307	酒钢宏兴	1.60	3.18	0.05	3.17	3.18	805161	48	0.31	          1.29	3.12	3.18	3.09	3.13	    33.09	253109872	  1.14	普钢	甘肃	2.88	3.14	376621	428540	  0.88	9662	12089	--  	         62.63	
600328	兰太实业	0.92	12.08	0.11	12.09	12.10	42517	551	0.08	          0.97	11.95	12.11	11.85	11.97	    65.79	51025484	  0.58	化工原料	内蒙	2.17	12.00	19225	23291	  0.83	1	238	--  	          4.38	
600416	湘电股份	1.89	17.23	0.32	17.22	17.23	170118	60	0.34	          2.42	16.90	17.39	16.84	16.91	   125.36	292364608	  1.21	电气设备	湖南	3.25	17.19	77617	92501	  0.84	7	242	--  	          7.03	
600483	福能股份	1.67	11.60	0.19	11.58	11.59	37256	27	0.00	          1.29	11.48	11.63	11.31	11.41	    19.27	42946092	  0.89	火力发电	福建	2.80	11.53	18000	19256	  0.93	130	78	--  	          2.88	
